gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster
Fasn	0	0.255941903	0.306	0.034	0	HCC
Tfg	0	0.255935359	0.435	0.089	0	HCC
Baat	0	0.255438891	0.302	0.024	0	HCC
Pex16	0	0.255361902	0.385	0.05	0	HCC
Psma6	0	0.254939042	0.549	0.15	0	HCC
Ddrgk1	0	0.253779305	0.592	0.174	0	HCC
Snrpd2	0	0.253694004	0.453	0.114	0	HCC
Ccdc107	0	0.253343561	0.453	0.096	0	HCC
Ergic3	0	0.25333777	0.485	0.112	0	HCC
Ndufb4	0	0.252971329	0.733	0.285	0	HCC
Acadm	0	0.252734783	0.588	0.161	0	HCC
Habp2	0	0.252508655	0.365	0.058	0	HCC
Ppcs	0	0.2523759	0.332	0.042	0	HCC
Slc25a15	0	0.251819938	0.288	0.041	0	HCC
Pla1a	0	0.250310714	0.362	0.053	0	HCC
Mcee	0	0.250122914	0.442	0.093	0	HCC
Rpl11	6.66E-291	0.29141	0.929	0.615	2.07E-286	HCC
Rpl13	9.26E-252	0.261485589	0.926	0.634	2.87E-247	HCC
Atp5e	5.92E-250	0.298742255	0.931	0.57	1.84E-245	HCC
Rps26	4.65E-249	0.326982412	0.911	0.532	1.44E-244	HCC
Fabp4	0	2.544549817	0.704	0.097	0	Endo
Ptprb	0	2.389898701	0.649	0.051	0	Endo
Aqp1	0	2.366459777	0.661	0.052	0	Endo
Kdr	0	2.264370299	0.657	0.052	0	Endo
Ehd3	0	2.225065486	0.649	0.067	0	Endo
Maf	0	2.053239228	0.695	0.119	0	Endo
Egfl7	0	1.943819202	0.55	0.078	0	Endo
Stab2	0	1.939119221	0.521	0.045	0	Endo
Mrc1	0	1.850058839	0.549	0.065	0	Endo
Ets1	0	1.771564637	0.503	0.071	0	Endo
Stab1	0	1.746957746	0.483	0.07	0	Endo
Cdh5	0	1.741002885	0.472	0.045	0	Endo
Adgrf5	0	1.723205269	0.437	0.03	0	Endo
Sparc	0	1.712675395	0.655	0.096	0	Endo
Gng11	0	1.698564075	0.499	0.166	0	Endo
Arhgap31	0	1.698230167	0.451	0.045	0	Endo
Dnase1l3	0	1.691958106	0.387	0.029	0	Endo
Flt1	0	1.685589943	0.403	0.031	0	Endo
Sptbn1	0	1.67981223	0.569	0.298	0	Endo
Plpp3	0	1.679591276	0.476	0.218	0	Endo
Col4a1	0	1.675445939	0.52	0.073	0	Endo
Gpr182	0	1.671016387	0.408	0.038	0	Endo
Igfbp7	0	1.648267875	0.581	0.125	0	Endo
Snrk	0	1.635386496	0.436	0.087	0	Endo
Pcdh17	0	1.614713976	0.38	0.027	0	Endo
Rapgef5	0	1.613563101	0.414	0.053	0	Endo
Clec4g	0	1.608226865	0.353	0.027	0	Endo
Pecam1	0	1.599075226	0.396	0.029	0	Endo
Fcgr2b	0	1.597951262	0.388	0.075	0	Endo
Cd55	0	1.584634292	0.379	0.032	0	Endo
Oit3	0	1.583843896	0.365	0.026	0	Endo
Tcf4	0	1.578300929	0.478	0.116	0	Endo
Plxnd1	0	1.57796457	0.416	0.04	0	Endo
Lyve1	0	1.563201462	0.329	0.026	0	Endo
Timp3	0	1.552494173	0.4	0.048	0	Endo
Cavin2	0	1.537332934	0.379	0.096	0	Endo
Ccnd1	0	1.53685161	0.437	0.23	0	Endo
Macf1	0	1.529549095	0.505	0.163	0	Endo
Gpihbp1	0	1.520377397	0.341	0.031	0	Endo
Flt4	0	1.489742643	0.344	0.028	0	Endo
Nr2f2	0	1.479442767	0.397	0.125	0	Endo
Hmcn1	0	1.468600015	0.314	0.026	0	Endo
Marcks	0	1.460352396	0.52	0.097	0	Endo
Nrp1	0	1.443011133	0.367	0.068	0	Endo
Fyn	0	1.433124116	0.353	0.033	0	Endo
Ramp2	0	1.432779932	0.337	0.047	0	Endo
Col4a2	0	1.428642774	0.385	0.047	0	Endo
Malat1	0	1.427204949	0.999	0.668	0	Endo
Calcrl	0	1.417427988	0.304	0.021	0	Endo
Hspg2	0	1.414815715	0.352	0.041	0	Endo
Bmp2	0	1.414497435	0.321	0.024	0	Endo
Eng	0	1.409660141	0.344	0.031	0	Endo
Lrrc58	0	1.394124413	0.414	0.203	0	Endo
Fus	0	1.385675438	0.562	0.369	0	Endo
Meis2	0	1.383898702	0.308	0.035	0	Endo
Arap3	0	1.375850571	0.329	0.028	0	Endo
Sash1	0	1.372152318	0.419	0.129	0	Endo
Plk2	0	1.369008238	0.329	0.081	0	Endo
Tpm4	0	1.365869147	0.442	0.198	0	Endo
Dlc1	0	1.364451613	0.36	0.125	0	Endo
Gatm	0	1.363532831	0.325	0.043	0	Endo
Cldn5	0	1.351903647	0.287	0.02	0	Endo
Ccnd2	0	1.35175408	0.324	0.042	0	Endo
Rasip1	0	1.348858867	0.316	0.026	0	Endo
Mmrn2	0	1.346508694	0.299	0.018	0	Endo
Plpp1	0	1.345495681	0.313	0.109	0	Endo
Esam	0	1.341475555	0.31	0.024	0	Endo
Dab2	0	1.33678254	0.33	0.035	0	Endo
Akap12	0	1.320590116	0.283	0.023	0	Endo
Nrp2	0	1.302311877	0.293	0.024	0	Endo
Adgrl4	0	1.298070847	0.282	0.018	0	Endo
Ushbp1	0	1.286508313	0.281	0.022	0	Endo
Elk3	0	1.282030362	0.299	0.035	0	Endo
Tinagl1	0	1.281107416	0.303	0.04	0	Endo
Cd36	0	1.281014497	0.317	0.09	0	Endo
Fam167b	0	1.279661962	0.281	0.024	0	Endo
Tmem2	0	1.276854229	0.288	0.038	0	Endo
Mef2c	0	1.276407927	0.345	0.05	0	Endo
Plekhg1	0	1.269016623	0.278	0.022	0	Endo
Ltbp4	0	1.266558463	0.272	0.03	0	Endo
Acer2	0	1.266490116	0.268	0.035	0	Endo
Cd38	0	1.259561939	0.314	0.037	0	Endo
Tacc1	0	1.258345634	0.345	0.117	0	Endo
Il6st	0	1.237626943	0.301	0.104	0	Endo
Amotl1	0	1.225660736	0.278	0.03	0	Endo
Sgk1	0	1.193785268	0.324	0.108	0	Endo
Msn	0	1.190401013	0.327	0.055	0	Endo
Heg1	0	1.188308213	0.28	0.061	0	Endo
Prex2	0	1.184499947	0.261	0.024	0	Endo
Epb41l2	0	1.160681849	0.293	0.061	0	Endo
Rgl1	0	1.159987746	0.289	0.072	0	Endo
Itga1	0	1.128464764	0.301	0.093	0	Endo
Gm42418	0	1.125068974	1	1	0	Endo
Pkm	0	1.09971158	0.318	0.103	0	Endo
Map4k4	0	1.093940517	0.286	0.079	0	Endo
Klf7	0	1.078811348	0.261	0.057	0	Endo
Marcksl1	0	1.074128938	0.279	0.067	0	Endo
Tmsb4x	0	0.993046209	0.663	0.225	0	Endo
Sdc3	0	0.846106037	0.297	0.079	0	Endo
Rpl38	0	0.626645897	0.879	0.925	0	Endo
mt-Co1	0	0.597242488	0.998	0.987	0	Endo
mt-Atp6	5.64E-290	0.546309155	0.854	0.858	1.75E-285	Endo
Adgrl2	4.58E-286	1.143337685	0.27	0.094	1.42E-281	Endo
Sh3bp5	2.75E-269	1.322684185	0.4	0.217	8.52E-265	Endo
Sem1	7.13E-268	0.720376188	0.743	0.827	2.21E-263	Endo
Tspan7	1.50E-264	1.332173552	0.331	0.152	4.64E-260	Endo
Tmsb10	5.60E-250	0.812098543	0.642	0.535	1.74E-245	Endo
App	9.06E-243	1.287485546	0.442	0.278	2.81E-238	Endo
mt-Nd1	2.31E-241	0.376098154	0.892	0.859	7.16E-237	Endo
Mef2a	5.25E-228	1.11181139	0.332	0.16	1.63E-223	Endo
Myo10	5.10E-225	1.120155546	0.283	0.121	1.58E-220	Endo
Qk	9.12E-216	1.093809571	0.289	0.129	2.83E-211	Endo
Rpl37a	4.94E-215	0.594380486	0.778	0.872	1.53E-210	Endo
Nfib	1.35E-210	1.151145528	0.389	0.229	4.18E-206	Endo
Son	1.55E-196	1.069083088	0.534	0.451	4.81E-192	Endo
Arhgap29	4.61E-182	1.148715279	0.289	0.145	1.43E-177	Endo
Rbms1	2.02E-181	1.216409738	0.426	0.299	6.27E-177	Endo
Dusp3	8.87E-181	1.153861902	0.317	0.171	2.75E-176	Endo
Ralgapa2	5.78E-178	1.078491918	0.259	0.119	1.80E-173	Endo
Itgb1	1.66E-176	1.162041465	0.497	0.417	5.14E-172	Endo
Rplp2	3.77E-175	0.455004214	0.773	0.903	1.17E-170	Endo
Tln1	1.87E-168	1.004302419	0.343	0.196	5.81E-164	Endo
Sirpa	8.33E-166	0.922979896	0.29	0.143	2.59E-161	Endo
Atrx	7.69E-162	1.153305077	0.392	0.266	2.39E-157	Endo
Gm10076	5.13E-154	0.30188288	0.902	0.976	1.59E-149	Endo
Spag9	1.74E-153	1.111932046	0.324	0.192	5.40E-149	Endo
Hnrnpa0	5.70E-143	0.956714251	0.307	0.174	1.77E-138	Endo
Ppp3ca	5.22E-138	1.003722497	0.285	0.158	1.62E-133	Endo
Rps28	1.96E-137	0.616809581	0.7	0.811	6.09E-133	Endo
Gm26917	4.97E-137	1.020125546	0.462	0.364	1.54E-132	Endo
Rps21	9.01E-136	0.530365721	0.729	0.856	2.80E-131	Endo
Rpl35a	7.34E-133	0.590752764	0.691	0.799	2.28E-128	Endo
Wasl	1.13E-125	0.260893068	0.126	0.365	3.52E-121	Endo
Gnai2	1.18E-125	1.044145848	0.364	0.254	3.66E-121	Endo
Txnip	1.41E-123	1.09420685	0.38	0.28	4.38E-119	Endo
Nfe2l1	9.77E-123	0.999276267	0.277	0.16	3.03E-118	Endo
Nxf1	4.02E-120	0.258447944	0.169	0.432	1.25E-115	Endo
Id3	4.38E-120	0.935413172	0.439	0.356	1.36E-115	Endo
Ptbp3	1.21E-119	1.038932757	0.364	0.261	3.75E-115	Endo
Clic4	2.26E-116	1.023615833	0.302	0.19	7.02E-112	Endo
Ctsb	1.46E-115	0.708061717	0.59	0.672	4.52E-111	Endo
mt-Co3	1.78E-115	0.291430684	0.932	0.966	5.53E-111	Endo
Rpl23	2.34E-115	0.322429378	0.789	0.932	7.27E-111	Endo
Ktn1	3.54E-114	0.95655893	0.291	0.177	1.10E-109	Endo
Tpm3	4.36E-114	1.021594748	0.514	0.531	1.35E-109	Endo
Psap	1.79E-113	0.606445384	0.566	0.592	5.55E-109	Endo
Pttg1ip	2.55E-112	0.293907995	0.158	0.407	7.92E-108	Endo
Ggnbp2	6.44E-108	0.263843955	0.132	0.351	2.00E-103	Endo
Cmtm8	1.51E-107	0.309810771	0.186	0.454	4.70E-103	Endo
Dynll2	4.03E-107	0.259120355	0.177	0.432	1.25E-102	Endo
Rab11b	1.11E-106	0.267244878	0.157	0.397	3.45E-102	Endo
Rdx	4.97E-106	0.277657143	0.19	0.457	1.54E-101	Endo
Cdc37	3.12E-104	0.262658228	0.14	0.363	9.69E-100	Endo
Rps29	7.51E-104	0.564404594	0.676	0.792	2.33E-99	Endo
Arpc4	2.25E-103	0.252407645	0.156	0.389	6.99E-99	Endo
Tpst2	2.34E-103	0.305863455	0.134	0.353	7.28E-99	Endo
Calm1	2.01E-101	0.725722106	0.596	0.713	6.25E-97	Endo
Arhgef12	3.26E-101	0.957212611	0.259	0.156	1.01E-96	Endo
Tm9sf2	5.73E-101	0.278614747	0.163	0.4	1.78E-96	Endo
Aph1a	2.12E-98	0.255968644	0.098	0.282	6.58E-94	Endo
Eif4a1	2.69E-97	0.254492064	0.178	0.421	8.35E-93	Endo
Pdcd10	5.91E-97	0.271837681	0.141	0.355	1.84E-92	Endo
Tsc22d4	2.32E-96	0.942590848	0.295	0.194	7.21E-92	Endo
Gm16286	6.71E-96	0.289628424	0.126	0.328	2.08E-91	Endo
Sypl	1.19E-95	0.296367131	0.163	0.395	3.69E-91	Endo
Rbm39	3.10E-95	0.928764382	0.493	0.498	9.62E-91	Endo
Arpc3	1.33E-94	0.254029556	0.218	0.493	4.13E-90	Endo
Mycbp2	1.82E-94	0.850463958	0.269	0.165	5.66E-90	Endo
Sat1	9.19E-94	0.291022527	0.252	0.547	2.86E-89	Endo
Rab2a	2.17E-92	0.252868261	0.232	0.516	6.73E-88	Endo
Ier3ip1	1.43E-91	0.251656764	0.177	0.409	4.45E-87	Endo
Adipor1	2.74E-91	0.344551425	0.195	0.449	8.52E-87	Endo
St3gal5	8.00E-91	0.256065895	0.202	0.452	2.48E-86	Endo
Dusp6	8.22E-91	0.252583975	0.107	0.29	2.55E-86	Endo
Golga7	3.92E-89	0.361502551	0.152	0.367	1.22E-84	Endo
Jak1	3.19E-88	1.24794848	0.391	0.346	9.90E-84	Endo
Psmd2	2.90E-87	0.269637599	0.137	0.336	8.99E-83	Endo
St3gal4	3.51E-87	0.251482662	0.123	0.311	1.09E-82	Endo
Slc39a7	9.61E-87	0.27424753	0.13	0.323	2.99E-82	Endo
Smap1	1.01E-85	0.366396618	0.167	0.392	3.12E-81	Endo
Dazap2	3.38E-85	0.299138261	0.174	0.398	1.05E-80	Endo
Epn1	9.52E-85	0.331548259	0.141	0.34	2.96E-80	Endo
Chic2	1.46E-84	0.250407921	0.108	0.282	4.53E-80	Endo
Sri	2.52E-83	0.267039474	0.123	0.306	7.83E-79	Endo
Adss	1.03E-82	0.250213615	0.114	0.29	3.20E-78	Endo
Eef1g	2.99E-82	0.268673701	0.249	0.533	9.29E-78	Endo
Tor1aip2	3.90E-82	0.329096039	0.141	0.337	1.21E-77	Endo
Phf20l1	4.57E-82	1.004775944	0.304	0.219	1.42E-77	Endo
Atp6v1d	1.77E-80	0.35837319	0.16	0.37	5.50E-76	Endo
Dnajb6	2.42E-80	0.362374916	0.17	0.387	7.52E-76	Endo
Pcbp2	8.35E-80	0.342027997	0.188	0.417	2.59E-75	Endo
Hnrnph1	1.92E-79	0.873450509	0.265	0.173	5.95E-75	Endo
Rpn1	1.52E-78	0.265011611	0.253	0.53	4.71E-74	Endo
Srrm2	2.01E-78	0.954142032	0.471	0.491	6.23E-74	Endo
St13	3.39E-78	0.329852011	0.22	0.472	1.05E-73	Endo
Dpm3	1.73E-77	0.281900867	0.274	0.562	5.38E-73	Endo
Rab5a	4.80E-77	0.316055453	0.119	0.293	1.49E-72	Endo
Bax	1.14E-76	0.27469226	0.186	0.406	3.55E-72	Endo
Bhlhe40	1.38E-76	0.351414607	0.146	0.339	4.28E-72	Endo
Nostrin	1.83E-76	0.37296951	0.148	0.345	5.69E-72	Endo
Twf1	6.65E-76	0.29760376	0.13	0.311	2.06E-71	Endo
Serinc3	7.22E-76	1.029396813	0.389	0.345	2.24E-71	Endo
Osbpl9	8.51E-76	0.297063899	0.127	0.304	2.64E-71	Endo
Desi2	9.81E-76	0.271381458	0.113	0.281	3.05E-71	Endo
Dhrs3	2.87E-75	0.344187385	0.114	0.282	8.92E-71	Endo
Ccdc59	3.09E-75	0.28156406	0.118	0.287	9.59E-71	Endo
Dnajc7	1.66E-74	0.28501513	0.097	0.253	5.16E-70	Endo
Reep3	1.67E-74	0.348231538	0.221	0.471	5.19E-70	Endo
Epas1	1.64E-73	1.048710449	0.298	0.224	5.10E-69	Endo
mt-Nd4	1.69E-72	0.281952308	0.726	0.767	5.26E-68	Endo
Pafah1b1	2.30E-71	0.968472009	0.444	0.445	7.15E-67	Endo
Wbp4	1.41E-70	0.290598098	0.104	0.258	4.37E-66	Endo
Ccdc12	6.73E-68	0.298697183	0.122	0.285	2.09E-63	Endo
Actr3	2.30E-67	0.304394159	0.183	0.387	7.16E-63	Endo
Arpc5	5.15E-67	0.356423175	0.201	0.421	1.60E-62	Endo
Atp5k	9.18E-67	0.262989147	0.3	0.586	2.85E-62	Endo
Actb	2.25E-66	0.263404898	0.791	0.885	6.99E-62	Endo
Atf4	1.32E-65	0.35232802	0.157	0.341	4.10E-61	Endo
Rab10	1.48E-65	0.322340035	0.13	0.296	4.60E-61	Endo
Setd3	1.20E-64	0.319504023	0.126	0.288	3.73E-60	Endo
Ddb1	4.50E-64	0.26443127	0.113	0.265	1.40E-59	Endo
F11r	7.25E-64	0.390083712	0.242	0.494	2.25E-59	Endo
Ctsd	8.01E-64	0.254213277	0.266	0.532	2.49E-59	Endo
Sumo3	5.63E-63	0.340111029	0.14	0.309	1.75E-58	Endo
Rap1a	1.36E-62	0.384864774	0.217	0.447	4.24E-58	Endo
Clta	4.19E-62	0.255151425	0.277	0.552	1.30E-57	Endo
Cebpg	5.02E-62	0.331846486	0.107	0.253	1.56E-57	Endo
Xrn2	1.48E-61	0.334276614	0.134	0.296	4.59E-57	Endo
Rab14	4.38E-61	0.384002571	0.245	0.495	1.36E-56	Endo
Usp16	1.05E-60	0.328560361	0.117	0.267	3.25E-56	Endo
Nr3c1	3.31E-59	0.366675937	0.122	0.274	1.03E-54	Endo
Zmat2	6.59E-59	0.263031588	0.111	0.253	2.05E-54	Endo
Rpl41	9.39E-59	0.330400357	0.715	0.899	2.92E-54	Endo
Eif3b	1.26E-57	0.327585297	0.113	0.255	3.90E-53	Endo
Prrc2c	6.84E-56	0.900144919	0.278	0.213	2.12E-51	Endo
Dnajc1	1.68E-55	0.349540507	0.137	0.293	5.23E-51	Endo
Npm1	7.43E-54	0.305941952	0.29	0.559	2.31E-49	Endo
Ralgps2	1.92E-53	1.000685755	0.268	0.207	5.96E-49	Endo
Vps36	2.23E-53	0.328731289	0.119	0.26	6.94E-49	Endo
Tmem30a	2.15E-52	0.396375534	0.261	0.512	6.68E-48	Endo
H2afy	3.90E-52	0.304302286	0.126	0.268	1.21E-47	Endo
Ap2a2	3.90E-52	0.875613912	0.265	0.202	1.21E-47	Endo
Pcmtd1	7.54E-51	0.426690395	0.156	0.319	2.34E-46	Endo
Dhx15	2.29E-50	0.839013999	0.32	0.268	7.10E-46	Endo
Rhoa	5.83E-50	0.331015823	0.281	0.541	1.81E-45	Endo
Wwp1	1.84E-49	0.369477656	0.209	0.402	5.70E-45	Endo
Mapk1	3.39E-49	0.41011747	0.145	0.297	1.05E-44	Endo
Sft2d1	3.46E-49	0.479679698	0.221	0.433	1.07E-44	Endo
Gnb2	7.56E-49	0.331646078	0.292	0.558	2.35E-44	Endo
Nfe2l2	2.79E-48	0.339238029	0.151	0.303	8.68E-44	Endo
Nol7	5.95E-48	0.337031474	0.314	0.591	1.85E-43	Endo
Snrnp70	1.02E-47	0.894543074	0.413	0.422	3.17E-43	Endo
Cdk4	1.65E-47	0.374815909	0.13	0.27	5.11E-43	Endo
Cnn3	2.65E-47	0.434291045	0.219	0.423	8.24E-43	Endo
Etnk1	1.72E-46	0.305646133	0.124	0.257	5.34E-42	Endo
Vps35	5.25E-45	0.366176	0.126	0.259	1.63E-40	Endo
Sec63	8.10E-45	0.318233754	0.127	0.259	2.51E-40	Endo
Rbm8a	2.29E-44	0.392446574	0.16	0.312	7.10E-40	Endo
Eif4ebp2	3.82E-44	0.34271477	0.128	0.26	1.18E-39	Endo
Dnaja1	8.92E-44	0.333493119	0.31	0.581	2.77E-39	Endo
Kras	4.94E-43	0.353605554	0.127	0.257	1.53E-38	Endo
Klf3	1.38E-42	0.439137441	0.175	0.336	4.30E-38	Endo
Nono	3.40E-42	0.363370134	0.13	0.26	1.06E-37	Endo
Zcchc6	3.88E-42	0.862948674	0.266	0.215	1.20E-37	Endo
Eif4h	4.03E-42	0.415216124	0.142	0.28	1.25E-37	Endo
Bcl10	9.15E-42	0.367473034	0.125	0.252	2.84E-37	Endo
Tceal9	1.21E-41	0.426782632	0.245	0.459	3.75E-37	Endo
Spop	3.12E-41	0.367307798	0.142	0.277	9.70E-37	Endo
Hp1bp3	4.73E-41	0.37788634	0.15	0.291	1.47E-36	Endo
Ywhaz	9.07E-41	0.369301481	0.286	0.529	2.82E-36	Endo
Sf1	1.74E-40	0.387819286	0.141	0.275	5.42E-36	Endo
Hnrnpdl	1.91E-40	0.44570802	0.186	0.351	5.93E-36	Endo
Xiap	3.44E-40	0.91225695	0.28	0.237	1.07E-35	Endo
Fkbp1a	7.86E-40	0.938094724	0.439	0.518	2.44E-35	Endo
Morf4l1	8.50E-39	0.75153198	0.505	0.639	2.64E-34	Endo
Ythdc1	1.58E-38	0.809537548	0.253	0.203	4.92E-34	Endo
Dnajc10	2.88E-38	0.369107918	0.142	0.273	8.94E-34	Endo
Golgb1	2.90E-38	0.462935149	0.183	0.344	9.01E-34	Endo
Ssb	3.80E-38	0.481728608	0.239	0.442	1.18E-33	Endo
H1f0	1.31E-37	0.325761203	0.33	0.595	4.08E-33	Endo
Grn	1.38E-37	0.41642946	0.234	0.423	4.28E-33	Endo
Igfbp4	2.67E-37	0.51148999	0.559	0.701	8.29E-33	Endo
Myl6	8.25E-37	0.386138017	0.613	0.812	2.56E-32	Endo
Wdr1	2.63E-36	0.445681836	0.169	0.314	8.18E-32	Endo
Nsa2	3.04E-36	0.411962042	0.265	0.48	9.44E-32	Endo
Lgmn	3.26E-36	0.828149405	0.406	0.428	1.01E-31	Endo
Atxn7l3b	1.48E-35	0.469898906	0.228	0.416	4.59E-31	Endo
Cdk11b	1.61E-35	0.882486654	0.303	0.274	5.01E-31	Endo
Gcc2	3.60E-35	0.46597035	0.19	0.348	1.12E-30	Endo
Hsp90aa1	4.67E-35	0.300015693	0.197	0.35	1.45E-30	Endo
Tnfrsf1a	5.35E-35	0.517753371	0.223	0.411	1.66E-30	Endo
Frmd4b	9.28E-34	0.424579418	0.147	0.272	2.88E-29	Endo
Nucb1	2.60E-33	0.462027203	0.147	0.275	8.07E-29	Endo
Sec31a	6.52E-33	0.41348019	0.143	0.265	2.03E-28	Endo
Eif3c	1.06E-32	0.433981029	0.265	0.476	3.29E-28	Endo
Rpl22	1.82E-32	0.386363847	0.618	0.828	5.66E-28	Endo
Copa	2.25E-32	0.406733489	0.141	0.261	6.98E-28	Endo
Man2a1	9.09E-31	0.843467524	0.298	0.275	2.82E-26	Endo
Srrm1	1.12E-30	0.494137439	0.218	0.389	3.47E-26	Endo
Arl6ip1	1.06E-29	0.414497288	0.261	0.455	3.29E-25	Endo
Nedd4	1.12E-29	0.918862548	0.416	0.486	3.47E-25	Endo
Mbnl1	1.71E-29	0.753583981	0.275	0.24	5.32E-25	Endo
Ptma	2.06E-29	0.365789277	0.592	0.764	6.41E-25	Endo
Tomm7	2.90E-29	0.357433044	0.358	0.629	8.99E-25	Endo
Rac1	4.03E-29	0.447353142	0.301	0.538	1.25E-24	Endo
Serbp1	4.11E-29	0.395441068	0.322	0.574	1.28E-24	Endo
Metap2	4.16E-29	0.85594461	0.431	0.509	1.29E-24	Endo
Sfpq	7.35E-29	0.828484952	0.282	0.254	2.28E-24	Endo
Ube3a	1.71E-28	0.384364954	0.141	0.252	5.32E-24	Endo
Fcgrt	2.88E-28	1.01779428	0.316	0.316	8.94E-24	Endo
mt-Nd3	3.30E-28	0.351567785	0.2	0.339	1.02E-23	Endo
Degs1	4.46E-28	0.602718186	0.214	0.382	1.39E-23	Endo
Bclaf1	5.19E-28	0.794558369	0.251	0.216	1.61E-23	Endo
Csnk1a1	1.70E-27	0.838621231	0.381	0.414	5.27E-23	Endo
Dusp11	5.54E-27	0.490939278	0.188	0.327	1.72E-22	Endo
Arhgdia	9.69E-27	0.516017456	0.216	0.376	3.01E-22	Endo
Prkar1a	1.21E-26	0.409407984	0.327	0.581	3.76E-22	Endo
Mtdh	1.40E-26	0.429438361	0.268	0.462	4.35E-22	Endo
Smarca5	2.12E-26	0.402703698	0.163	0.282	6.58E-22	Endo
Srsf2	2.79E-26	0.540391893	0.22	0.381	8.68E-22	Endo
Matr3	3.47E-26	0.422992821	0.143	0.251	1.08E-21	Endo
Rab5c	5.73E-26	0.502263275	0.168	0.293	1.78E-21	Endo
Rbm25	1.28E-25	0.867188019	0.353	0.37	3.97E-21	Endo
Lars2	1.95E-25	0.531845569	0.515	0.614	6.05E-21	Endo
S100a13	3.78E-25	0.811122321	0.272	0.248	1.18E-20	Endo
Sh3glb1	1.19E-24	0.509753835	0.286	0.497	3.68E-20	Endo
AC149090.1	1.24E-24	0.852361178	0.257	0.229	3.86E-20	Endo
Cdipt	6.81E-24	0.541978753	0.163	0.281	2.11E-19	Endo
Llph	7.55E-24	0.493325607	0.298	0.512	2.34E-19	Endo
Tcea1	8.05E-24	0.463990632	0.308	0.531	2.50E-19	Endo
Eif2s2	1.20E-23	0.619212009	0.514	0.677	3.72E-19	Endo
Tgoln1	2.83E-23	0.478951752	0.173	0.296	8.80E-19	Endo
Rplp1	9.11E-23	0.289946938	0.641	0.853	2.83E-18	Endo
Zranb2	9.53E-23	0.500102807	0.214	0.359	2.96E-18	Endo
Ostf1	1.44E-22	0.541821539	0.186	0.315	4.49E-18	Endo
B230219D22Rik	1.62E-22	0.880987313	0.309	0.311	5.03E-18	Endo
Cops9	1.90E-22	0.329566077	0.378	0.636	5.91E-18	Endo
Ywhah	2.98E-22	0.495698137	0.261	0.442	9.25E-18	Endo
Pdcd6ip	5.87E-22	0.437586196	0.165	0.277	1.82E-17	Endo
Ddx50	7.44E-22	0.53049877	0.184	0.31	2.31E-17	Endo
Rap1b	8.76E-22	0.442967902	0.159	0.267	2.72E-17	Endo
Bnip2	4.41E-21	0.881621109	0.267	0.255	1.37E-16	Endo
Ddx39b	4.44E-21	0.542947149	0.211	0.35	1.38E-16	Endo
Dek	9.60E-21	0.488337957	0.198	0.328	2.98E-16	Endo
Hnrnpk	1.03E-20	0.385580116	0.36	0.62	3.20E-16	Endo
Actn4	1.31E-20	0.865976117	0.283	0.276	4.06E-16	Endo
Bola2	2.36E-20	0.470769797	0.275	0.452	7.32E-16	Endo
Cox17	4.65E-20	0.387632173	0.341	0.563	1.44E-15	Endo
Set	6.32E-20	0.480623013	0.205	0.337	1.96E-15	Endo
Caprin1	1.27E-19	0.493008428	0.187	0.307	3.93E-15	Endo
Srsf3	1.42E-19	0.469333433	0.211	0.344	4.40E-15	Endo
Cdc42	3.36E-19	0.624265902	0.492	0.664	1.04E-14	Endo
Hes1	6.36E-19	0.394955019	0.228	0.362	1.97E-14	Endo
G3bp2	1.51E-18	0.580066754	0.201	0.33	4.70E-14	Endo
Eif3a	4.92E-18	0.763979317	0.372	0.417	1.53E-13	Endo
Luc7l2	6.15E-18	0.844426904	0.328	0.349	1.91E-13	Endo
Capza2	8.79E-18	0.540486857	0.267	0.44	2.73E-13	Endo
Ppp1r2	3.34E-17	0.970799563	0.293	0.307	1.04E-12	Endo
Eif4a2	3.39E-17	0.757762797	0.256	0.242	1.05E-12	Endo
Smc1a	3.52E-17	0.496254957	0.161	0.261	1.09E-12	Endo
Hectd1	9.97E-17	0.46059685	0.162	0.259	3.10E-12	Endo
Romo1	1.20E-16	0.336425813	0.407	0.67	3.73E-12	Endo
Slc29a1	1.85E-16	0.989159356	0.31	0.336	5.74E-12	Endo
Ddx24	3.16E-16	0.58538595	0.222	0.359	9.82E-12	Endo
1700020I14Rik	5.30E-16	0.833834167	0.258	0.253	1.65E-11	Endo
Ap2s1	1.61E-15	0.631496989	0.249	0.406	5.00E-11	Endo
Sdcbp	9.57E-15	0.539300621	0.251	0.401	2.97E-10	Endo
Vcp	1.63E-14	0.47327498	0.314	0.508	5.07E-10	Endo
Csde1	2.52E-14	0.47833412	0.197	0.307	7.83E-10	Endo
Sec62	4.62E-14	0.505174857	0.33	0.546	1.44E-09	Endo
Dnajc8	5.52E-14	0.542718632	0.199	0.311	1.71E-09	Endo
Srsf5	5.70E-14	0.750926191	0.366	0.419	1.77E-09	Endo
Calu	6.25E-14	0.517516922	0.19	0.296	1.94E-09	Endo
Csnk2a1	7.54E-14	0.485241214	0.175	0.271	2.34E-09	Endo
Dusp1	1.06E-13	0.753465345	0.27	0.269	3.28E-09	Endo
Hnrnpu	1.59E-13	0.559345052	0.273	0.437	4.93E-09	Endo
Serpinb6a	2.18E-12	0.475463966	0.197	0.301	6.77E-08	Endo
U2surp	2.37E-12	0.536957203	0.182	0.279	7.35E-08	Endo
