	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	TFs	Tclin
Rps10	1.03E-204	0.265613253	1	0.987	1.47E-200	1	Rps10	#N/A	#N/A
Rpl36a	1.89E-201	0.270145146	0.992	0.877	2.70E-197	1	Rpl36a	#N/A	#N/A
Ndufb10	4.41E-195	0.26572841	0.923	0.755	6.30E-191	1	Ndufb10	#N/A	NDUFB10
Atp5h	6.52E-195	0.272989268	0.991	0.884	9.32E-191	1	Atp5h	#N/A	#N/A
Elob	3.48E-193	0.271176269	0.972	0.892	4.97E-189	1	Elob	#N/A	#N/A
Rps19	4.10E-193	0.237787292	0.969	0.793	5.87E-189	1	Rps19	#N/A	#N/A
Rplp2	8.40E-183	0.233757384	0.999	0.966	1.20E-178	1	Rplp2	#N/A	#N/A
Pold4	8.91E-183	0.230927998	0.936	0.749	1.27E-178	1	Pold4	#N/A	#N/A
2010107E04Rik	6.76E-180	0.282453649	0.991	0.868	9.67E-176	1	2010107E04Rik	#N/A	#N/A
Atpif1	1.55E-179	0.257104645	0.909	0.698	2.22E-175	1	Atpif1	#N/A	#N/A
Mif	1.50E-175	0.285724506	0.952	0.829	2.14E-171	1	Mif	#N/A	#N/A
Bloc1s1	1.41E-169	0.27398579	0.909	0.721	2.01E-165	1	Bloc1s1	#N/A	#N/A
Atp5o.1	2.06E-168	0.259086746	0.94	0.774	2.95E-164	1	Atp5o.1	#N/A	#N/A
Rpl28	4.07E-167	0.228637623	0.995	0.94	5.82E-163	1	Rpl28	#N/A	#N/A
Ndufa6	4.47E-167	0.264416124	0.998	0.946	6.38E-163	1	Ndufa6	#N/A	NDUFA6
Mrpl52	8.57E-165	0.247935121	0.994	0.925	1.22E-160	1	Mrpl52	#N/A	#N/A
Ssr4	9.02E-161	0.222962717	0.951	0.848	1.29E-156	1	Ssr4	#N/A	#N/A
Psmb1	1.37E-153	0.218566017	0.914	0.73	1.95E-149	1	Psmb1	#N/A	PSMB1
Rpl19	1.74E-148	0.230865573	0.992	0.934	2.48E-144	1	Rpl19	#N/A	#N/A
Ybx1	3.42E-134	0.203400728	0.933	0.762	4.89E-130	1	Ybx1	YBX1	#N/A
Ndufb5	9.71E-132	0.252616975	0.881	0.71	1.39E-127	1	Ndufb5	#N/A	NDUFB5
Rps9	1.15E-129	0.221678864	0.988	0.875	1.64E-125	1	Rps9	#N/A	#N/A
Dynll1	6.12E-126	0.298196454	0.666	0.55	8.75E-122	1	Dynll1	#N/A	#N/A
Pdcd5	4.11E-125	0.238460626	0.871	0.701	5.87E-121	1	Pdcd5	#N/A	#N/A
Cox8a	2.08E-114	0.204318165	1	0.987	2.98E-110	1	Cox8a	#N/A	#N/A
Ndufb6	4.66E-114	0.225600054	0.926	0.76	6.66E-110	1	Ndufb6	#N/A	NDUFB6
Uqcc2	5.70E-107	0.284466998	0.641	0.539	8.15E-103	1	Uqcc2	#N/A	#N/A
Dnajc19	2.60E-103	0.213057368	0.851	0.707	3.71E-99	1	Dnajc19	#N/A	#N/A
Timm8b	1.42E-102	0.274199499	0.623	0.517	2.03E-98	1	Timm8b	#N/A	#N/A
Ndufb2	9.43E-101	0.280648552	0.693	0.608	1.35E-96	1	Ndufb2	#N/A	NDUFB2
Rps27	2.54E-98	0.252905174	0.588	0.487	3.64E-94	1	Rps27	#N/A	#N/A
Pfdn5	3.96E-97	0.242066428	0.74	0.629	5.66E-93	1	Pfdn5	#N/A	#N/A
Polr2l	5.08E-91	0.234331188	0.716	0.631	7.26E-87	1	Polr2l	#N/A	#N/A
Higd1a	4.83E-86	0.225699644	0.699	0.617	6.91E-82	1	Higd1a	#N/A	#N/A
Tomm7	2.87E-85	0.251298635	0.697	0.626	4.10E-81	1	Tomm7	#N/A	#N/A
Tmem256	1.36E-81	0.230727337	0.744	0.669	1.95E-77	1	Tmem256	#N/A	#N/A
Rpl12	7.38E-75	0.237243028	0.656	0.574	1.06E-70	1	Rpl12	#N/A	#N/A
Mrpl14	2.88E-72	0.252334732	0.62	0.534	4.11E-68	1	Mrpl14	#N/A	#N/A
Rps25	4.19E-50	0.216120743	0.688	0.641	5.99E-46	1	Rps25	#N/A	#N/A
Gstm1	0	1.352044185	0.99	0.907	0	2	Gstm1	#N/A	#N/A
Rida	0	0.633829134	0.998	0.965	0	2	Rida	#N/A	#N/A
Cbr3	0	0.566165182	0.242	0.056	0	2	Cbr3	#N/A	#N/A
Bhmt	0	0.525280303	0.889	0.75	0	2	Bhmt	#N/A	#N/A
Cat	0	0.481435746	0.93	0.863	0	2	Cat	#N/A	#N/A
Gsta2	0	0.36696237	0.201	0.033	0	2	Gsta2	#N/A	#N/A
Orm1	6.57E-278	0.572692132	0.929	0.801	9.38E-274	2	Orm1	#N/A	#N/A
Pgrmc1	6.25E-273	0.388952917	0.934	0.867	8.93E-269	2	Pgrmc1	#N/A	#N/A
Selenop	1.51E-268	0.419406386	1	1	2.16E-264	2	Selenop	#N/A	#N/A
Gstm3	4.62E-262	1.636202057	0.552	0.353	6.60E-258	2	Gstm3	#N/A	#N/A
Phyh	9.14E-255	0.373899141	0.97	0.942	1.31E-250	2	Phyh	#N/A	#N/A
Mgst1	7.09E-240	0.590074891	0.999	0.991	1.01E-235	2	Mgst1	#N/A	#N/A
Gm3776	1.78E-225	0.210812601	0.147	0.029	2.54E-221	2	Gm3776	#N/A	#N/A
Psen2	1.74E-218	0.350910167	0.881	0.782	2.49E-214	2	Psen2	#N/A	#N/A
Gstt3	6.93E-215	0.377109936	0.663	0.493	9.90E-211	2	Gstt3	#N/A	#N/A
Nqo1	1.08E-211	0.506946072	0.293	0.126	1.55E-207	2	Nqo1	#N/A	#N/A
Fbp1	7.41E-206	0.371286065	0.948	0.874	1.06E-201	2	Fbp1	#N/A	#N/A
Cyp1a2	2.02E-205	0.731187918	0.486	0.284	2.89E-201	2	Cyp1a2	#N/A	#N/A
Ces1g	1.29E-201	0.24403422	0.195	0.059	1.85E-197	2	Ces1g	#N/A	#N/A
Scp2	1.61E-198	0.348424706	0.998	0.99	2.30E-194	2	Scp2	#N/A	#N/A
Cpb2	1.18E-184	0.315279219	0.924	0.9	1.69E-180	2	Cpb2	#N/A	#N/A
Cyb5a	1.70E-182	0.318975723	0.998	0.991	2.44E-178	2	Cyb5a	#N/A	#N/A
Ass1	8.78E-182	0.490554184	0.994	0.972	1.25E-177	2	Ass1	#N/A	#N/A
Mup20	2.98E-180	0.58227108	0.977	0.894	4.26E-176	2	Mup20	#N/A	#N/A
Mrap	1.04E-178	0.331047329	0.542	0.341	1.48E-174	2	Mrap	#N/A	#N/A
Cbr1	1.62E-178	0.607006674	0.761	0.722	2.32E-174	2	Cbr1	#N/A	#N/A
Gpx1	1.46E-175	0.452013271	0.994	0.977	2.08E-171	2	Gpx1	#N/A	#N/A
Arg1	5.06E-175	0.274813511	0.93	0.849	7.23E-171	2	Arg1	#N/A	#N/A
Tdo2	1.06E-174	0.353288731	0.973	0.916	1.52E-170	2	Tdo2	#N/A	#N/A
Gsta4	1.40E-174	0.473858116	0.731	0.626	2.00E-170	2	Gsta4	#N/A	#N/A
Ugp2	2.56E-172	0.319336853	0.919	0.857	3.66E-168	2	Ugp2	#N/A	#N/A
Gstm4	5.34E-171	0.408769677	0.438	0.266	7.63E-167	2	Gstm4	#N/A	#N/A
Cdo1	6.80E-168	0.26926994	0.923	0.857	9.72E-164	2	Cdo1	#N/A	#N/A
Ly6e	7.32E-166	0.331713125	0.979	0.94	1.05E-161	2	Ly6e	#N/A	#N/A
Mup3	1.64E-163	0.398933036	0.744	0.554	2.35E-159	2	Mup3	#N/A	#N/A
Selenow	7.47E-158	0.341126296	0.759	0.672	1.07E-153	2	Selenow	#N/A	#N/A
Aldh1l1	2.21E-156	0.300067745	0.723	0.582	3.16E-152	2	Aldh1l1	#N/A	#N/A
Gnmt	2.62E-156	0.364935463	0.922	0.904	3.75E-152	2	Gnmt	#N/A	#N/A
Igf1	6.86E-154	0.324714622	0.696	0.527	9.80E-150	2	Igf1	#N/A	#N/A
Sqor	2.07E-149	0.288497029	0.744	0.623	2.97E-145	2	Sqor	#N/A	#N/A
Cycs	9.07E-148	0.257365585	0.981	0.953	1.30E-143	2	Cycs	#N/A	#N/A
Gsta3	2.96E-147	0.410931091	0.885	0.845	4.24E-143	2	Gsta3	#N/A	#N/A
Adh1	4.28E-143	0.259530238	0.992	0.974	6.12E-139	2	Adh1	#N/A	#N/A
Anp32a	1.77E-141	0.286800872	0.673	0.56	2.52E-137	2	Anp32a	#N/A	#N/A
Gstm6	1.78E-141	0.326203235	0.604	0.474	2.54E-137	2	Gstm6	#N/A	#N/A
Cyb5r3	8.69E-140	0.369081745	0.819	0.834	1.24E-135	2	Cyb5r3	#N/A	#N/A
Dstn	1.68E-138	0.224838898	0.815	0.669	2.40E-134	2	Dstn	#N/A	#N/A
Ftl1	5.62E-138	0.607819241	1	0.993	8.04E-134	2	Ftl1	#N/A	#N/A
Reep6	2.57E-136	0.297423013	0.692	0.573	3.67E-132	2	Reep6	#N/A	#N/A
Sult1a1	1.71E-134	0.300230084	0.856	0.836	2.45E-130	2	Sult1a1	#N/A	#N/A
Esd	1.51E-133	0.501459228	0.87	0.872	2.15E-129	2	Esd	#N/A	#N/A
Lgals9	2.82E-129	0.26972171	0.922	0.896	4.02E-125	2	Lgals9	#N/A	#N/A
Idi1	6.20E-127	0.243426913	0.848	0.776	8.86E-123	2	Idi1	#N/A	#N/A
Slc10a1	1.40E-125	0.270750003	0.593	0.448	2.01E-121	2	Slc10a1	#N/A	#N/A
Ywhae	1.97E-125	0.226048857	0.819	0.69	2.81E-121	2	Ywhae	#N/A	#N/A
Wfdc21	2.29E-125	0.217050382	0.883	0.732	3.28E-121	2	Wfdc21	#N/A	#N/A
Lamp1	1.17E-124	0.230492611	0.968	0.955	1.68E-120	2	Lamp1	#N/A	#N/A
Angptl3	5.97E-122	0.28686513	0.921	0.872	8.53E-118	2	Angptl3	#N/A	#N/A
Gapdh	9.38E-121	0.345951783	0.981	0.963	1.34E-116	2	Gapdh	#N/A	#N/A
Hebp1	1.23E-120	0.27968246	0.797	0.754	1.75E-116	2	Hebp1	#N/A	#N/A
Fth1	1.40E-120	0.328438534	0.999	0.991	2.00E-116	2	Fth1	#N/A	#N/A
Cyp2j5	1.10E-119	0.212795118	0.34	0.192	1.58E-115	2	Cyp2j5	#N/A	#N/A
Serpina1d	1.95E-118	0.322249475	0.999	0.992	2.78E-114	2	Serpina1d	#N/A	#N/A
Akr1c18	3.48E-118	0.24572173	0.947	0.911	4.98E-114	2	Akr1c18	#N/A	#N/A
Thrsp	1.55E-116	0.364805	0.324	0.185	2.22E-112	2	Thrsp	#N/A	#N/A
Cdc42	8.91E-115	0.218650168	0.812	0.689	1.27E-110	2	Cdc42	#N/A	#N/A
Uox	1.17E-114	0.341832925	0.992	0.974	1.67E-110	2	Uox	#N/A	#N/A
Gchfr	2.32E-111	0.222471473	0.944	0.898	3.32E-107	2	Gchfr	#N/A	#N/A
Hsd11b1	8.38E-110	0.221956334	0.775	0.627	1.20E-105	2	Hsd11b1	#N/A	HSD11B1
Prdx6	1.46E-109	0.31520123	0.881	0.892	2.09E-105	2	Prdx6	#N/A	#N/A
Txn1	2.60E-107	0.211545302	0.748	0.617	3.71E-103	2	Txn1	#N/A	#N/A
Bola3	8.58E-106	0.221111954	0.751	0.668	1.23E-101	2	Bola3	#N/A	#N/A
Vdac1	2.48E-105	0.21108053	0.773	0.661	3.55E-101	2	Vdac1	#N/A	#N/A
Ccl9	3.64E-105	0.235251572	0.679	0.567	5.21E-101	2	Ccl9	#N/A	#N/A
Etfb	1.44E-104	0.267556381	0.831	0.703	2.05E-100	2	Etfb	#N/A	#N/A
Serpina3k1	1.55E-104	0.225260451	0.998	0.985	2.22E-100	2	Serpina3k	#N/A	#N/A
Prdx5	2.14E-103	0.241491343	0.912	0.912	3.06E-99	2	Prdx5	#N/A	#N/A
Mdh1	2.24E-103	0.23368587	0.953	0.944	3.20E-99	2	Mdh1	#N/A	#N/A
Prdx1	1.53E-102	0.358738227	0.999	0.993	2.18E-98	2	Prdx1	#N/A	#N/A
Ybx11	4.70E-102	0.28287019	0.805	0.815	6.71E-98	2	Ybx1	YBX1	#N/A
Psme1	1.05E-101	0.225733574	0.711	0.598	1.50E-97	2	Psme1	#N/A	#N/A
Tuba1c	1.48E-101	0.317820379	0.755	0.747	2.12E-97	2	Tuba1c	#N/A	#N/A
Hspd1	6.97E-101	0.216366888	0.955	0.939	9.96E-97	2	Hspd1	#N/A	#N/A
Asgr1	8.70E-101	0.200332484	0.979	0.941	1.24E-96	2	Asgr1	#N/A	#N/A
Copz1	1.86E-100	0.22202136	0.717	0.62	2.66E-96	2	Copz1	#N/A	#N/A
Car3	9.40E-100	0.233621925	0.234	0.117	1.34E-95	2	Car3	#N/A	#N/A
Dap	1.24E-99	0.27224648	0.779	0.785	1.77E-95	2	Dap	#N/A	#N/A
Cyp3a11	3.47E-99	0.218449921	0.882	0.782	4.96E-95	2	Cyp3a11	#N/A	#N/A
Akr1c6	3.96E-99	0.26288866	0.899	0.808	5.65E-95	2	Akr1c6	#N/A	#N/A
Glo1	1.12E-98	0.22126087	0.711	0.613	1.60E-94	2	Glo1	#N/A	#N/A
Mpc1	3.73E-95	0.238092682	0.97	0.955	5.33E-91	2	Mpc1	#N/A	#N/A
Blvrb	1.28E-94	0.472632839	0.668	0.586	1.83E-90	2	Blvrb	#N/A	#N/A
Aldob	3.17E-94	0.248971861	0.989	0.969	4.53E-90	2	Aldob	#N/A	#N/A
Ifitm3	5.61E-94	0.237845367	0.994	0.982	8.01E-90	2	Ifitm3	#N/A	#N/A
Gpx41	2.89E-93	0.278536571	0.968	0.936	4.13E-89	2	Gpx4	#N/A	#N/A
Atp5f1	2.31E-92	0.207333287	0.953	0.934	3.30E-88	2	Atp5f1	#N/A	#N/A
Cyp2a12	5.62E-92	0.26143757	0.819	0.788	8.03E-88	2	Cyp2a12	#N/A	#N/A
Glyat	1.08E-91	0.234118728	0.64	0.529	1.54E-87	2	Glyat	#N/A	#N/A
Alb	1.11E-90	0.210889396	1	1	1.58E-86	2	Alb	#N/A	#N/A
Ttpa	1.53E-89	0.220156904	0.55	0.445	2.19E-85	2	Ttpa	#N/A	#N/A
Qdpr	4.01E-89	0.24834696	0.857	0.871	5.73E-85	2	Qdpr	#N/A	#N/A
Serpina12	6.82E-89	0.246186961	0.887	0.832	9.74E-85	2	Serpina12	#N/A	#N/A
Fxyd1	4.12E-88	0.215974581	0.691	0.584	5.89E-84	2	Fxyd1	#N/A	#N/A
Haao	4.59E-87	0.258343468	0.723	0.664	6.56E-83	2	Haao	#N/A	#N/A
Srxn1	6.39E-86	0.229067424	0.231	0.127	9.14E-82	2	Srxn1	#N/A	#N/A
Cyp2c70	6.87E-86	0.254907649	0.931	0.925	9.82E-82	2	Cyp2c70	#N/A	#N/A
S100a101	1.72E-85	0.243041955	0.857	0.819	2.46E-81	2	S100a10	#N/A	#N/A
Hibadh	1.89E-85	0.213272694	0.602	0.508	2.70E-81	2	Hibadh	#N/A	#N/A
Cmbl	1.03E-84	0.218888901	0.559	0.451	1.47E-80	2	Cmbl	#N/A	#N/A
Ube2v1	2.69E-84	0.236068671	0.567	0.467	3.85E-80	2	Ube2v1	#N/A	#N/A
Nit2	5.07E-82	0.232693903	0.663	0.573	7.24E-78	2	Nit2	#N/A	#N/A
Etfa	6.97E-82	0.237041579	0.823	0.85	9.97E-78	2	Etfa	#N/A	#N/A
Ttc36	1.64E-81	0.218684134	0.984	0.961	2.35E-77	2	Ttc36	#N/A	#N/A
Scd11	5.60E-80	0.252010273	0.92	0.907	8.00E-76	2	Scd1	#N/A	#N/A
Hpd	1.18E-79	0.258914278	0.746	0.713	1.69E-75	2	Hpd	#N/A	HPD
Bnip3	2.90E-79	0.201224719	0.636	0.537	4.14E-75	2	Bnip3	#N/A	#N/A
Adk	6.00E-77	0.203973083	0.867	0.866	8.57E-73	2	Adk	#N/A	#N/A
Eif5a	7.21E-77	0.22360842	0.894	0.915	1.03E-72	2	Eif5a	#N/A	#N/A
Gdi2	2.46E-75	0.206425157	0.691	0.614	3.52E-71	2	Gdi2	#N/A	#N/A
Serpina1e	3.11E-75	0.479568272	0.996	0.982	4.44E-71	2	Serpina1e	#N/A	#N/A
A2ml1	1.18E-73	0.258938689	0.8	0.745	1.69E-69	2	A2ml1	#N/A	#N/A
Cops6	2.64E-73	0.201623198	0.655	0.564	3.78E-69	2	Cops6	#N/A	#N/A
Lcn2	1.04E-72	0.326831289	0.973	0.914	1.49E-68	2	Lcn2	#N/A	#N/A
Bag1	1.61E-71	0.211503669	0.634	0.549	2.30E-67	2	Bag1	#N/A	#N/A
Cyp2a5	9.00E-70	0.584491049	0.326	0.224	1.29E-65	2	Cyp2a5	#N/A	#N/A
Hrg1	8.94E-69	0.238678468	0.897	0.906	1.28E-64	2	Hrg	#N/A	#N/A
Atp5c1	9.29E-69	0.229698307	0.827	0.855	1.33E-64	2	Atp5c1	#N/A	#N/A
Slpi	7.09E-68	0.261205805	0.664	0.553	1.01E-63	2	Slpi	#N/A	#N/A
Taldo1	2.88E-67	0.265625602	0.653	0.596	4.12E-63	2	Taldo1	#N/A	#N/A
Tecr	2.99E-67	0.234397083	0.79	0.818	4.28E-63	2	Tecr	#N/A	#N/A
Gstm2	4.04E-67	0.530540396	0.506	0.404	5.77E-63	2	Gstm2	#N/A	#N/A
Adh5	1.31E-66	0.226506967	0.79	0.821	1.88E-62	2	Adh5	#N/A	#N/A
Arl6ip5	1.93E-65	0.219713318	0.473	0.368	2.75E-61	2	Arl6ip5	#N/A	#N/A
Creg1	9.79E-65	0.26175684	0.923	0.897	1.40E-60	2	Creg1	#N/A	#N/A
Sumo2	6.86E-64	0.202746739	0.667	0.594	9.81E-60	2	Sumo2	#N/A	#N/A
Vapa	6.40E-63	0.209978616	0.742	0.753	9.15E-59	2	Vapa	#N/A	#N/A
Uqcrfs1	2.95E-60	0.201093258	0.853	0.882	4.22E-56	2	Uqcrfs1	#N/A	#N/A
Serpina1b	5.56E-60	0.238362316	1	1	7.95E-56	2	Serpina1b	#N/A	#N/A
Comt	2.32E-57	0.203364547	0.833	0.856	3.32E-53	2	Comt	#N/A	COMT
Sod2	2.45E-57	0.206825057	0.642	0.572	3.51E-53	2	Sod2	#N/A	#N/A
Slc48a1	1.33E-54	0.2277623	0.56	0.49	1.90E-50	2	Slc48a1	#N/A	#N/A
Cstb	4.54E-53	0.209108732	0.757	0.74	6.49E-49	2	Cstb	#N/A	#N/A
Mgst3	2.95E-48	0.217127521	0.582	0.504	4.22E-44	2	Mgst3	#N/A	#N/A
Myl12b	4.33E-47	0.21757298	0.768	0.78	6.18E-43	2	Myl12b	#N/A	#N/A
Gstp1	1.54E-37	0.400090602	1	0.999	2.20E-33	2	Gstp1	#N/A	#N/A
Gclc	5.28E-23	0.200797302	0.311	0.252	7.55E-19	2	Gclc	#N/A	#N/A
Cd9	1.12E-18	0.217963648	0.782	0.828	1.60E-14	2	Cd9	#N/A	#N/A
Cyp2e1	0	2.036410622	0.801	0.105	0	3	Cyp2e1	#N/A	#N/A
Serpina7	0	1.364159622	0.675	0.13	0	3	Serpina7	#N/A	#N/A
Lect2	0	1.354989778	0.861	0.615	0	3	Lect2	#N/A	#N/A
Rnase4	0	1.302149651	0.788	0.5	0	3	Rnase4	#N/A	#N/A
Ang	0	1.208240012	0.743	0.357	0	3	Ang	#N/A	#N/A
Rgn	0	1.087101086	0.54	0.176	0	3	Rgn	#N/A	#N/A
Hspa5	0	0.997682	0.97	0.954	0	3	Hspa5	#N/A	#N/A
Igfbp11	0	0.992711592	0.996	0.996	0	3	Igfbp1	#N/A	#N/A
Pon1	0	0.991738759	0.758	0.306	0	3	Pon1	#N/A	#N/A
Gulo	0	0.970453552	0.807	0.295	0	3	Gulo	#N/A	#N/A
Slco1b2	0	0.945706274	0.598	0.126	0	3	Slco1b2	#N/A	#N/A
P4hb	0	0.807381064	0.999	0.994	0	3	P4hb	#N/A	#N/A
Dnajc3	0	0.796637958	0.944	0.915	0	3	Dnajc3	#N/A	#N/A
Gpc3	0	0.731370941	0.601	0.26	0	3	Gpc3	#N/A	#N/A
Srpr	0	0.721992021	0.886	0.603	0	3	Srpr	#N/A	#N/A
Hsp90b1	0	0.696386507	0.999	0.995	0	3	Hsp90b1	#N/A	#N/A
H13	0	0.599039574	0.844	0.582	0	3	H13	#N/A	#N/A
Oat	0	0.592745847	0.47	0.054	0	3	Oat	#N/A	#N/A
Hdlbp	0	0.589647569	0.872	0.607	0	3	Hdlbp	#N/A	#N/A
Lman1	0	0.588151027	0.856	0.609	0	3	Lman1	#N/A	#N/A
Tmed9	0	0.582274988	0.827	0.54	0	3	Tmed9	#N/A	#N/A
Trabd	0	0.578547185	0.639	0.241	0	3	Trabd	#N/A	#N/A
Neat11	0	0.56684398	0.719	0.318	0	3	Neat1	#N/A	#N/A
Sec61a1	0	0.563472249	0.755	0.32	0	3	Sec61a1	#N/A	#N/A
Selenos	0	0.561795533	0.944	0.886	0	3	Selenos	#N/A	#N/A
Vcp	0	0.55614851	0.839	0.501	0	3	Vcp	#N/A	#N/A
Ssr3	0	0.55541695	0.871	0.623	0	3	Ssr3	#N/A	#N/A
Abcc2	0	0.530516095	0.751	0.31	0	3	Abcc2	#N/A	#N/A
Slc13a3	0	0.523193792	0.427	0.058	0	3	Slc13a3	#N/A	#N/A
Slc22a1	0	0.482802429	0.547	0.191	0	3	Slc22a1	#N/A	#N/A
Ugt2b34	0	0.482583437	0.682	0.282	0	3	Ugt2b34	#N/A	#N/A
Tmed3	0	0.482348628	0.588	0.201	0	3	Tmed3	#N/A	#N/A
Plpp5	0	0.471461579	0.552	0.197	0	3	Plpp5	#N/A	#N/A
Edem2	0	0.465683523	0.573	0.177	0	3	Edem2	#N/A	#N/A
Clptm1l	0	0.46175611	0.596	0.171	0	3	Clptm1l	#N/A	#N/A
Saraf	0	0.459689962	0.536	0.169	0	3	Saraf	#N/A	#N/A
Cyp27a1	0	0.444493726	0.553	0.141	0	3	Cyp27a1	#N/A	#N/A
Por	0	0.44259639	0.606	0.208	0	3	Por	#N/A	#N/A
Tmem56	0	0.429032241	0.557	0.2	0	3	Tmem56	#N/A	#N/A
Rab3d	0	0.425716527	0.491	0.1	0	3	Rab3d	#N/A	#N/A
Nucb2	0	0.424227008	0.486	0.116	0	3	Nucb2	#N/A	#N/A
Tcf25	0	0.423580897	0.685	0.298	0	3	Tcf25	#N/A	#N/A
Lonp1	0	0.373201389	0.429	0.101	0	3	Lonp1	#N/A	#N/A
Mia3	0	0.370105833	0.502	0.166	0	3	Mia3	#N/A	#N/A
Plbd1	0	0.369229288	0.429	0.094	0	3	Plbd1	#N/A	#N/A
Ssr1	0	0.356575548	0.581	0.201	0	3	Ssr1	#N/A	#N/A
Cdh17	0	0.309641887	0.276	0.039	0	3	Cdh17	#N/A	#N/A
Reln	0	0.306842206	0.306	0.054	0	3	Reln	#N/A	#N/A
Aox3	0	0.285401513	0.354	0.079	0	3	Aox3	#N/A	#N/A
Asns	0	0.248815502	0.296	0.054	0	3	Asns	#N/A	#N/A
Avpr1a	0	0.230697798	0.256	0.022	0	3	Avpr1a	#N/A	AVPR1A
Eef2	8.15E-308	0.633860131	0.905	0.701	1.17E-303	3	Eef2	#N/A	#N/A
Hsp90ab1	9.46E-306	0.590444988	0.989	0.984	1.35E-301	3	Hsp90ab1	#N/A	#N/A
Slc39a7	1.40E-305	0.348322138	0.532	0.186	2.00E-301	3	Slc39a7	#N/A	#N/A
Aqp9	4.68E-305	0.289052008	0.374	0.097	6.69E-301	3	Aqp9	#N/A	#N/A
Srm	5.10E-305	0.709542541	0.677	0.356	7.29E-301	3	Srm	#N/A	#N/A
Rplp0	9.51E-304	0.734422277	0.97	0.945	1.36E-299	3	Rplp0	#N/A	#N/A
Slc38a10	4.07E-303	0.238515204	0.304	0.065	5.82E-299	3	Slc38a10	#N/A	#N/A
Psat1	2.37E-302	0.301936763	0.378	0.099	3.39E-298	3	Psat1	#N/A	#N/A
Rps8	1.17E-296	0.443070201	1	1	1.67E-292	3	Rps8	#N/A	#N/A
Cpox	5.44E-296	0.24405853	0.319	0.073	7.78E-292	3	Cpox	#N/A	#N/A
Gmppb	1.56E-294	0.330955449	0.422	0.127	2.23E-290	3	Gmppb	#N/A	#N/A
Insc	4.63E-294	0.228965538	0.314	0.071	6.61E-290	3	Insc	#N/A	#N/A
Surf4	4.89E-292	0.489691665	0.893	0.676	6.99E-288	3	Surf4	#N/A	#N/A
Get4	6.75E-289	0.401923451	0.595	0.247	9.65E-285	3	Get4	#N/A	#N/A
Calr	1.93E-287	0.537281947	0.875	0.714	2.76E-283	3	Calr	#N/A	#N/A
Npdc1	2.47E-287	0.293223792	0.339	0.085	3.54E-283	3	Npdc1	#N/A	#N/A
Nans	3.22E-284	0.323717399	0.485	0.162	4.60E-280	3	Nans	#N/A	#N/A
Cyp2a22	3.25E-283	0.311816457	0.163	0.019	4.65E-279	3	Cyp2a22	#N/A	#N/A
BC003331	1.71E-281	0.261519161	0.392	0.111	2.44E-277	3	BC003331	#N/A	#N/A
Uba5	7.50E-280	0.395715623	0.587	0.244	1.07E-275	3	Uba5	#N/A	#N/A
Rpn2	2.92E-279	0.442068121	0.768	0.448	4.17E-275	3	Rpn2	#N/A	#N/A
Pkm	4.05E-278	0.262612323	0.193	0.028	5.79E-274	3	Pkm	#N/A	#N/A
Akr1b3	2.57E-276	0.362150407	0.47	0.159	3.67E-272	3	Akr1b3	#N/A	#N/A
Hspa13	4.48E-276	0.261230522	0.375	0.105	6.40E-272	3	Hspa13	#N/A	#N/A
Rack1	1.23E-275	0.495727549	0.884	0.676	1.76E-271	3	Rack1	#N/A	#N/A
Ica1	9.87E-273	0.221798466	0.269	0.056	1.41E-268	3	Ica1	#N/A	#N/A
Apob1	8.36E-272	0.499639197	0.968	0.902	1.20E-267	3	Apob	#N/A	#N/A
Gstm21	1.33E-270	0.69767885	0.722	0.396	1.90E-266	3	Gstm2	#N/A	#N/A
Preb	2.19E-270	0.327317742	0.533	0.201	3.13E-266	3	Preb	PREB	#N/A
Lmna	5.11E-270	0.316176918	0.466	0.159	7.30E-266	3	Lmna	#N/A	#N/A
Fbxw9	7.95E-269	0.339516313	0.461	0.159	1.14E-264	3	Fbxw9	#N/A	#N/A
Fermt2	3.29E-267	0.333365089	0.554	0.215	4.70E-263	3	Fermt2	#N/A	#N/A
Hid1	2.06E-265	0.21119142	0.256	0.052	2.94E-261	3	Hid1	#N/A	#N/A
Os9	3.45E-265	0.367564643	0.616	0.266	4.93E-261	3	Os9	#N/A	#N/A
Ctsl	2.20E-264	1.103652313	0.964	0.958	3.15E-260	3	Ctsl	#N/A	#N/A
Eef1a1	4.57E-264	0.516535182	0.999	0.998	6.53E-260	3	Eef1a1	#N/A	#N/A
Eif2b4	5.24E-262	0.232551308	0.338	0.089	7.49E-258	3	Eif2b4	#N/A	#N/A
Rpsa	6.36E-260	0.548391938	0.994	0.988	9.09E-256	3	Rpsa	#N/A	#N/A
Ccnd1	6.81E-259	0.280074259	0.379	0.11	9.74E-255	3	Ccnd1	#N/A	#N/A
Pla2g12a	2.26E-257	0.237775297	0.307	0.075	3.23E-253	3	Pla2g12a	#N/A	#N/A
Rpn1	1.01E-256	0.436734112	0.83	0.584	1.44E-252	3	Rpn1	#N/A	#N/A
Phgdh	1.51E-256	0.216369597	0.253	0.052	2.16E-252	3	Phgdh	#N/A	#N/A
Rpl18	3.15E-256	0.51418709	0.993	0.987	4.50E-252	3	Rpl18	#N/A	#N/A
Nars	4.94E-256	0.416959817	0.69	0.339	7.07E-252	3	Nars	#N/A	#N/A
