gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster
Hebp1	2.08E-199	0.327845251	0.916	0.832	2.98E-195	2
Slc10a1	3.78E-197	0.326236099	0.75	0.536	5.40E-193	2
Angptl3	7.54E-156	0.321310757	0.963	0.919	1.08E-151	2
Dap	3.77E-203	0.320438561	0.929	0.9	5.39E-199	2
Taldo1	9.14E-113	0.315189298	0.777	0.672	1.31E-108	2
Gpx4	2.56E-178	0.313761132	0.996	0.987	3.65E-174	2
Slpi	1.73E-83	0.311895573	0.721	0.583	2.47E-79	2
Haao	2.84E-170	0.310928603	0.89	0.771	4.06E-166	2
Hpd	8.43E-173	0.308166263	0.928	0.84	1.21E-168	2
Arg1	4.94E-159	0.306244558	0.914	0.848	7.06E-155	2
Cdo1	3.97E-174	0.305928113	0.917	0.858	5.68E-170	2
Etfb	1.46E-114	0.30524454	0.833	0.691	2.09E-110	2
Lgals9	3.76E-187	0.305094177	0.966	0.95	5.37E-183	2
Cyp2a12	2.73E-166	0.30414453	0.948	0.883	3.91E-162	2
A2ml1	7.72E-101	0.298838851	0.86	0.791	1.10E-96	2
Cyp2c70	1.71E-181	0.295926137	0.995	0.986	2.45E-177	2
Adh1	1.46E-153	0.292936531	0.991	0.978	2.09E-149	2
Akr1c6	7.45E-108	0.292372107	0.925	0.857	1.07E-103	2
Qdpr	7.08E-165	0.291081943	0.958	0.955	1.01E-160	2
Glyat	1.52E-161	0.290516207	0.795	0.613	2.17E-157	2
Ces1g	2.80E-207	0.289591396	0.222	0.061	4.00E-203	2
Akr1c18	1.71E-170	0.289321896	0.971	0.947	2.44E-166	2
Aldob	1.45E-152	0.289155381	0.996	0.991	2.07E-148	2
Cycs	5.33E-216	0.288594412	0.996	0.983	7.62E-212	2
Creg1	3.26E-70	0.287893103	0.94	0.94	4.66E-66	2
Nit2	1.15E-152	0.287352951	0.824	0.664	1.64E-148	2
Ube2v1	4.85E-146	0.286292524	0.727	0.573	6.93E-142	2
Etfa	6.33E-181	0.28526989	0.963	0.953	9.04E-177	2
Ccl9	4.60E-160	0.28338084	0.807	0.632	6.57E-156	2
Serpina12	1.34E-129	0.282211446	0.958	0.894	1.92E-125	2
Car3	1.79E-118	0.281930545	0.284	0.13	2.56E-114	2
Tecr	5.26E-164	0.281209974	0.958	0.945	7.51E-160	2
S100a10	4.41E-140	0.279137665	0.973	0.904	6.30E-136	2
Prdx5	2.82E-182	0.27807325	0.989	0.982	4.04E-178	2
Hrg	5.01E-171	0.277580283	0.999	0.985	7.15E-167	2
Slc48a1	1.11E-84	0.275474412	0.655	0.545	1.58E-80	2
Cyp3a11	1.17E-93	0.274470501	0.875	0.798	1.67E-89	2
Serpina1b	3.11E-159	0.274065369	1	1	4.44E-155	2
Ifitm3	2.83E-189	0.27373501	1	0.999	4.05E-185	2
Lamp1	1.98E-156	0.273482044	0.967	0.967	2.82E-152	2
Mpc1	8.12E-184	0.272263972	0.999	0.995	1.16E-179	2
Atp5c1	4.15E-167	0.271968023	0.989	0.978	5.93E-163	2
Adh5	7.88E-152	0.271447951	0.936	0.932	1.13E-147	2
Cmbl	1.33E-136	0.270635595	0.684	0.516	1.90E-132	2
Mdh1	2.47E-196	0.270397472	0.997	0.994	3.53E-192	2
Glo1	5.32E-159	0.269461368	0.843	0.676	7.61E-155	2
Arl6ip5	8.54E-95	0.269054535	0.567	0.415	1.22E-90	2
Psme1	2.51E-143	0.267283529	0.823	0.654	3.59E-139	2
Idi1	7.37E-113	0.266291384	0.828	0.775	1.05E-108	2
Myl12b	4.80E-113	0.265875924	0.927	0.892	6.85E-109	2
Ttpa	2.88E-125	0.265683962	0.619	0.461	4.11E-121	2
Copz1	4.43E-138	0.26489978	0.796	0.648	6.34E-134	2
Eif5a	4.42E-166	0.264764118	0.993	0.996	6.32E-162	2
Fxyd1	7.98E-143	0.264723992	0.828	0.656	1.14E-138	2
Mgst3	2.62E-78	0.264638042	0.694	0.57	3.74E-74	2
Serpina3k	7.65E-192	0.263472706	1	0.993	1.09E-187	2
Hibadh	9.56E-133	0.262106956	0.707	0.557	1.37E-128	2
Alb	2.15E-138	0.26201968	1	1	3.07E-134	2
Cd9	1.37E-45	0.261910543	0.902	0.92	1.96E-41	2
Bola3	1.16E-154	0.261247254	0.86	0.726	1.66E-150	2
Cyp2j5	2.70E-148	0.260709935	0.398	0.201	3.86E-144	2
Bag1	1.07E-123	0.260680953	0.77	0.627	1.52E-119	2
Ywhae	4.30E-127	0.258000649	0.821	0.681	6.15E-123	2
Dstn	1.07E-140	0.257664964	0.817	0.653	1.53E-136	2
Cdc42	2.44E-129	0.257300048	0.837	0.688	3.49E-125	2
Gdi2	5.23E-131	0.257059946	0.822	0.68	7.48E-127	2
Vapa	2.40E-127	0.257011977	0.874	0.842	3.43E-123	2
Sod2	1.21E-100	0.254906836	0.77	0.648	1.73E-96	2
Adk	4.08E-129	0.253601328	0.911	0.9	5.82E-125	2
Sumo2	6.56E-119	0.253004829	0.815	0.681	9.38E-115	2
Hsd11b1	1.56E-125	0.252756856	0.851	0.664	2.23E-121	2
Bnip3	3.49E-121	0.250721446	0.729	0.571	4.99E-117	2
Ttc36	1.46E-171	0.250710681	1	0.994	2.08E-167	2
Litaf	2.33E-135	0.249972138	0.765	0.608	3.33E-131	2
Hspd1	7.34E-129	0.248971924	0.961	0.966	1.05E-124	2
Hadh	1.47E-115	0.248327855	0.781	0.642	2.10E-111	2
Gchfr	4.32E-151	0.248127523	0.981	0.949	6.18E-147	2
Comt	2.17E-133	0.247863765	0.973	0.958	3.11E-129	2
Cops6	7.77E-129	0.246557646	0.818	0.667	1.11E-124	2
Hmgcl	7.19E-103	0.244831898	0.891	0.89	1.03E-98	2
Ndufv2	4.82E-130	0.243165134	0.829	0.679	6.89E-126	2
Cstb	8.74E-76	0.241850759	0.846	0.806	1.25E-71	2
Fah	5.70E-124	0.241593158	0.962	0.961	8.14E-120	2
Aldh8a1	1.10E-106	0.241466142	0.705	0.564	1.58E-102	2
Khk	9.27E-98	0.2413212	0.79	0.639	1.32E-93	2
Vdac1	1.18E-111	0.23995038	0.794	0.66	1.68E-107	2
Hal	8.01E-114	0.239538135	0.745	0.574	1.14E-109	2
Uqcrfs1	3.07E-126	0.239288452	0.975	0.978	4.38E-122	2
Tubb2a	5.37E-96	0.239223367	0.949	0.954	7.67E-92	2
Serping1	5.77E-109	0.239045388	0.963	0.937	8.24E-105	2
Mrpl42	1.50E-112	0.237658963	0.809	0.661	2.14E-108	2
Atp5f1	1.67E-134	0.237402416	0.98	0.975	2.39E-130	2
Sdhd	5.14E-117	0.237049365	0.817	0.673	7.35E-113	2
Gstt1	1.91E-125	0.236495488	0.962	0.946	2.74E-121	2
Ces2c	5.81E-88	0.236326627	0.535	0.372	8.30E-84	2
Ap3s1	5.29E-107	0.235743821	0.555	0.388	7.56E-103	2
Msra	6.08E-102	0.235296567	0.664	0.531	8.68E-98	2
Atp6v0c	6.60E-136	0.234633435	0.97	0.97	9.43E-132	2
Akr1d1	2.08E-161	0.233900019	0.33	0.145	2.98E-157	2
Aes	4.69E-112	0.232644895	0.928	0.924	6.70E-108	2
Cyp2f2	7.15E-182	0.23252378	0.159	0.034	1.02E-177	2
Bccip	1.39E-101	0.23238072	0.71	0.582	1.98E-97	2
Otc	2.26E-85	0.231640109	0.583	0.458	3.24E-81	2
Cd302	1.30E-138	0.231591889	0.991	0.984	1.86E-134	2
Pygl	8.09E-89	0.230904563	0.687	0.568	1.16E-84	2
Dynlrb1	1.37E-101	0.230399476	0.788	0.656	1.96E-97	2
Hnrnpa3	3.76E-99	0.230224566	0.906	0.881	5.37E-95	2
Cnbp	3.09E-99	0.229946606	0.918	0.909	4.41E-95	2
Rarres1	1.03E-113	0.22911611	0.521	0.337	1.47E-109	2
Asgr1	1.17E-135	0.228379933	0.99	0.974	1.67E-131	2
Calm2	8.49E-103	0.228249045	0.906	0.872	1.21E-98	2
Gm3776	1.16E-199	0.228193807	0.157	0.03	1.66E-195	2
Tspan31	5.39E-114	0.227643192	0.8	0.65	7.70E-110	2
Ube2d3	1.83E-104	0.226714358	0.886	0.867	2.62E-100	2
Idh1	8.14E-91	0.226668931	0.825	0.737	1.16E-86	2
Gclm	3.44E-79	0.225757936	0.787	0.67	4.92E-75	2
Pnpla7	6.41E-100	0.225637683	0.987	0.979	9.16E-96	2
Gstz1	6.33E-118	0.224995398	0.948	0.93	9.05E-114	2
Snx3	1.69E-97	0.224366131	0.761	0.638	2.42E-93	2
Wfdc21	8.21E-95	0.224328884	0.871	0.73	1.17E-90	2
Glrx	4.70E-99	0.223579833	0.392	0.238	6.72E-95	2
Tpi1	4.90E-106	0.223576782	0.983	0.991	7.01E-102	2
Txn1	3.90E-88	0.223238111	0.742	0.61	5.57E-84	2
Cyp2a4	5.60E-38	0.221839211	0.935	0.92	8.00E-34	2
Ubxn1	3.46E-86	0.221542441	0.897	0.872	4.95E-82	2
B2m	3.17E-145	0.22130838	1	0.998	4.53E-141	2
Hp	4.15E-88	0.220121087	1	0.997	5.93E-84	2
Skp1a	2.59E-113	0.219276488	0.865	0.757	3.71E-109	2
Prdx3	1.64E-72	0.219087615	0.859	0.857	2.34E-68	2
Car8	5.27E-89	0.218211508	0.792	0.66	7.53E-85	2
Rarres2	6.85E-121	0.216844223	0.984	0.947	9.79E-117	2
Park7	2.70E-87	0.21634527	0.912	0.906	3.86E-83	2
Decr2	7.85E-115	0.216019078	0.391	0.22	1.12E-110	2
Hao1	1.09E-98	0.215835856	0.742	0.599	1.55E-94	2
Srxn1	2.64E-81	0.215660468	0.217	0.106	3.77E-77	2
Scd1	1.36E-39	0.215458437	0.9	0.903	1.95E-35	2
Ran	1.33E-74	0.215321798	0.897	0.887	1.91E-70	2
Pfn1	2.46E-100	0.215314232	0.961	0.957	3.51E-96	2
Glrx5	5.68E-75	0.21308805	0.752	0.64	8.12E-71	2
Mpc2	4.28E-135	0.213053765	0.995	0.969	6.12E-131	2
Hgd	2.87E-74	0.21302837	0.627	0.517	4.11E-70	2
Cfhr2	1.10E-109	0.212356525	0.967	0.963	1.57E-105	2
Acy3	1.91E-73	0.212349384	0.484	0.346	2.74E-69	2
Msrb1	6.99E-99	0.212030446	0.79	0.646	9.99E-95	2
Bst2	1.32E-79	0.211981334	0.941	0.925	1.89E-75	2
Vdac3	1.52E-83	0.211801926	0.773	0.659	2.17E-79	2
Atp5g3	5.41E-137	0.210663594	1	1	7.73E-133	2
Perp	8.28E-91	0.210457247	0.724	0.597	1.18E-86	2
Gsr	4.54E-73	0.209413816	0.319	0.195	6.49E-69	2
Cth	1.20E-78	0.209145933	0.712	0.597	1.71E-74	2
Echs1	4.38E-99	0.208833238	0.951	0.956	6.27E-95	2
Selenbp1	1.19E-31	0.208110944	0.841	0.874	1.70E-27	2
Acp1	1.54E-88	0.207793047	0.759	0.643	2.20E-84	2
Fam162a	1.34E-87	0.206280283	0.773	0.642	1.91E-83	2
Mtch2	1.61E-86	0.205225479	0.797	0.676	2.30E-82	2
Cmpk1	1.01E-87	0.20511896	0.698	0.58	1.45E-83	2
Ugdh	2.43E-78	0.204696707	0.276	0.153	3.47E-74	2
Ugt2b36	3.73E-79	0.204481749	0.808	0.673	5.33E-75	2
Lap3	4.63E-87	0.204391835	0.89	0.855	6.62E-83	2
Suclg2	1.76E-65	0.203979813	0.564	0.463	2.52E-61	2
Gbe1	2.66E-99	0.203665491	0.264	0.131	3.80E-95	2
Insig2	1.41E-80	0.203653701	0.673	0.548	2.01E-76	2
Hnrnpk	4.62E-91	0.203016827	0.807	0.68	6.60E-87	2
Qprt	1.92E-78	0.202713566	0.833	0.696	2.74E-74	2
Azgp1	1.56E-113	0.201294045	1	0.998	2.23E-109	2
Pgam1	6.99E-84	0.200763787	0.814	0.691	1.00E-79	2
Gng12	4.00E-78	0.200530856	0.589	0.443	5.72E-74	2
Cyp2e1	0	2.162738225	0.832	0.121	0	3
Lect2	0	1.463561056	0.976	0.743	0	3
Serpina7	0	1.450505695	0.693	0.135	0	3
Hamp	3.00E-30	1.44222112	0.391	0.303	4.28E-26	3
Rnase4	0	1.402747082	0.858	0.596	0	3
Ang	0	1.316324234	0.814	0.423	0	3
Afp	1.84E-67	1.236227919	0.736	0.718	2.63E-63	3
Ctsl	0	1.187555213	0.995	0.99	0	3
Rgn	1.25E-298	1.176104959	0.572	0.196	1.79E-294	3
Pon1	0	1.099178038	0.864	0.366	0	3
Hspa5	0	1.094281749	0.985	0.962	0	3
Igfbp1	0	1.090117105	0.998	0.996	0	3
Gulo	0	1.045938494	0.849	0.323	0	3
Slco1b2	0	0.898193727	0.609	0.128	0	3
Sprr1a	7.93E-17	0.881620706	0.114	0.062	1.13E-12	3
Dnajc3	0	0.881584302	0.992	0.963	0	3
P4hb	0	0.876927965	0.999	0.999	0	3
Sqstm1	1.01E-212	0.828682734	0.849	0.618	1.44E-208	3
Gpc3	1.50E-301	0.822578118	0.649	0.262	2.15E-297	3
Srm	0	0.815014338	0.802	0.428	0	3
Rplp0	0	0.804777004	0.999	0.987	0	3
Srpr	0	0.788433689	0.909	0.594	0	3
Gstm2	7.33E-296	0.787188984	0.839	0.473	1.05E-291	3
Hsp90b1	0	0.778386972	0.999	0.994	0	3
Cyp1a2	5.97E-133	0.743772279	0.608	0.341	8.53E-129	3
Eef2	0	0.72714363	0.96	0.735	0	3
Atf5	4.61E-210	0.708327534	0.772	0.506	6.58E-206	3
Derl1	5.43E-291	0.704052714	0.897	0.658	7.76E-287	3
Nupr1	2.47E-198	0.699660331	0.222	0.041	3.53E-194	3
Creld2	2.18E-114	0.690044701	0.702	0.503	3.11E-110	3
Fkbp11	1.02E-220	0.687521499	0.953	0.918	1.46E-216	3
Lman1	0	0.672959417	0.907	0.625	0	3
Hsp90ab1	0	0.670794914	0.999	0.991	0	3
Hdlbp	0	0.668872937	0.921	0.63	0	3
Igfbp2	6.71E-131	0.666590203	0.842	0.714	9.59E-127	3
Sdf2l1	4.10E-223	0.663843474	0.732	0.431	5.86E-219	3
Trabd	0	0.6595612	0.711	0.262	0	3
Oat	0	0.659069635	0.542	0.058	0	3
H13	4.98E-280	0.650311281	0.872	0.61	7.11E-276	3
Akr1c6	4.64E-100	0.649534625	0.842	0.876	6.63E-96	3
Tmed9	0	0.64349995	0.866	0.564	0	3
Neat1	0	0.621227884	0.667	0.189	0	3
Apob	6.85E-282	0.620174347	0.966	0.883	9.78E-278	3
Agt	1.94E-199	0.619627339	0.959	0.934	2.77E-195	3
Rpsa	0	0.613312824	1	0.997	0	3
Anxa2	2.31E-207	0.613243031	0.875	0.635	3.31E-203	3
Pdia6	2.80E-304	0.611882812	0.994	0.989	4.01E-300	3
Krt8	1.84E-129	0.608501341	0.917	0.869	2.63E-125	3
Gm26917	1.99E-198	0.605225772	0.538	0.239	2.85E-194	3
Calr	7.42E-287	0.60350126	0.911	0.714	1.06E-282	3
Malat1	3.56E-225	0.602448515	0.948	0.851	5.09E-221	3
Sec61a1	0	0.600611454	0.757	0.281	0	3
Mettl7b	3.91E-160	0.598986844	0.934	0.892	5.59E-156	3
Slc13a3	0	0.598803446	0.478	0.061	0	3
Ldha	2.84E-255	0.590917102	0.995	0.993	4.06E-251	3
Serp1	4.80E-185	0.587511101	0.94	0.914	6.86E-181	3
Eef1a1	1.80E-302	0.583584537	1	0.999	2.58E-298	3
Vcp	0	0.58102445	0.821	0.441	0	3
Abcc2	0	0.579645833	0.729	0.217	0	3
Cope	0	0.579164078	0.981	0.889	0	3
Ddost	1.04E-301	0.577526167	0.921	0.656	1.49E-297	3
Selenos	4.83E-264	0.576744227	0.948	0.883	6.90E-260	3
Cyp2a5	1.45E-136	0.573408556	0.523	0.247	2.07E-132	3
Slc35b1	1.74E-281	0.571632402	0.912	0.648	2.48E-277	3
Ssr3	1.64E-261	0.570266868	0.856	0.569	2.34E-257	3
Rpl18	0	0.568022548	1	0.998	0	3
H2-D1	1.34E-201	0.565809795	0.966	0.925	1.92E-197	3
Id3	2.79E-79	0.565308394	0.473	0.277	3.99E-75	3
Pdia3	8.19E-236	0.562697568	0.984	0.966	1.17E-231	3
Fn1	8.65E-188	0.561435804	0.859	0.666	1.24E-183	3
Rack1	1.30E-274	0.561225114	0.923	0.673	1.86E-270	3
Rpl18a	0	0.560400341	1	0.999	0	3
Tmed3	0	0.553279759	0.675	0.226	0	3
Edem2	0	0.552560887	0.679	0.195	0	3
Lrg1	1.64E-98	0.548785088	0.913	0.993	2.34E-94	3
Plpp5	0	0.546900888	0.637	0.22	0	3
Mcfd2	1.12E-220	0.546259094	0.89	0.655	1.61E-216	3
Surf4	8.07E-290	0.544085816	0.941	0.714	1.15E-285	3
Creg1	7.90E-199	0.541145382	0.974	0.937	1.13E-194	3
Rpl8	1.52E-300	0.53947985	0.997	0.989	2.17E-296	3
Manf	3.76E-101	0.536642069	0.914	0.934	5.37E-97	3
Saraf	0	0.535279609	0.605	0.178	0	3
Actb	1.84E-244	0.527883921	1	0.998	2.63E-240	3
Ier3	9.05E-93	0.527722788	0.417	0.201	1.29E-88	3
Sord	1.01E-153	0.526384886	0.753	0.543	1.45E-149	3
Cd14	1.20E-231	0.52461501	0.46	0.144	1.72E-227	3
Slc22a1	3.95E-291	0.51736155	0.597	0.207	5.65E-287	3
Cp	3.24E-149	0.517200193	0.915	0.897	4.63E-145	3
Smim14	6.94E-211	0.51289551	0.849	0.615	9.92E-207	3
Csn3	4.16E-187	0.51209774	0.429	0.15	5.94E-183	3
Itih2	7.06E-266	0.51204631	0.974	0.886	1.01E-261	3
Serpinb6a	3.76E-181	0.511557145	0.5	0.199	5.38E-177	3
Ugt2b34	1.30E-299	0.511035747	0.706	0.283	1.86E-295	3
Kyat1	2.57E-90	0.502483224	0.689	0.527	3.67E-86	3
Glud1	3.32E-177	0.501492355	0.995	0.999	4.74E-173	3
Cyp2d9	2.06E-139	0.501380201	0.75	0.531	2.94E-135	3
1810058I24Rik	2.69E-183	0.499207439	0.853	0.595	3.85E-179	3
Rpn2	2.19E-264	0.495743853	0.819	0.478	3.12E-260	3
Ssr2	1.80E-227	0.495270206	0.929	0.773	2.57E-223	3
Mdh2	7.53E-219	0.490396779	0.937	0.758	1.08E-214	3
Hsd3b7	7.55E-171	0.490106456	0.747	0.482	1.08E-166	3
Angptl8	7.74E-08	0.490077639	0.706	0.812	0.001106247	3
Clptm1l	0	0.488664027	0.618	0.159	0	3
Slc48a1	4.82E-160	0.488053448	0.794	0.548	6.89E-156	3
Cyp27a1	0	0.487723648	0.612	0.15	0	3
Erp29	9.85E-227	0.48763893	0.823	0.529	1.41E-222	3
Rpl4	3.96E-264	0.486939479	0.976	0.865	5.66E-260	3
Eif5	1.42E-158	0.485958717	0.849	0.615	2.04E-154	3
Cyp2c29	1.60E-97	0.483454105	0.393	0.183	2.29E-93	3
Rpl13	3.13E-290	0.483131694	1	0.999	4.47E-286	3
Eif4ebp1	5.55E-191	0.480404806	0.889	0.655	7.93E-187	3
Eif3f	2.03E-193	0.47880036	0.833	0.581	2.90E-189	3
Rpn1	2.78E-236	0.478116379	0.844	0.549	3.97E-232	3
Rab3d	0	0.475425335	0.532	0.097	0	3
Rnh1	2.59E-223	0.475246568	0.831	0.536	3.70E-219	3
Get4	2.52E-302	0.474961016	0.691	0.272	3.61E-298	3
H2-K1	5.53E-231	0.474642597	0.994	0.975	7.90E-227	3
Tubb5	4.05E-121	0.474004543	0.784	0.608	5.78E-117	3
Rabac1	2.89E-239	0.470405961	0.655	0.282	4.13E-235	3
Ctsd	3.99E-231	0.466175421	0.87	0.593	5.70E-227	3
Vmp1	7.46E-155	0.465539217	0.82	0.605	1.07E-150	3
Stard10	5.86E-185	0.465249294	0.967	0.973	8.37E-181	3
Rps8	9.84E-302	0.464849509	1	1	1.41E-297	3
Eef1g	2.31E-225	0.464782341	0.874	0.596	3.31E-221	3
Sult1e1	2.18E-133	0.463201076	0.249	0.071	3.11E-129	3
Hspa9	1.05E-146	0.462216544	0.785	0.561	1.49E-142	3
Guk1	1.23E-214	0.46201337	0.839	0.558	1.75E-210	3
Cebpb	8.45E-190	0.46152567	0.891	0.718	1.21E-185	3
Nucb2	0	0.46090557	0.525	0.115	0	3
Tst	1.76E-235	0.458360998	0.982	0.94	2.51E-231	3
Rexo2	3.79E-187	0.457273085	0.912	0.735	5.41E-183	3
Tmem56	0	0.456629424	0.567	0.179	0	3
Id1	2.42E-142	0.455892101	0.321	0.107	3.45E-138	3
Akr1a1	9.60E-266	0.454880521	0.99	0.936	1.37E-261	3
Map2k2	3.05E-234	0.451019352	0.872	0.576	4.36E-230	3
Dad1	5.49E-248	0.448891073	0.996	0.98	7.85E-244	3
Tcf25	0	0.448142419	0.688	0.255	0	3
C3	1.28E-159	0.447804054	0.966	0.946	1.83E-155	3
S100g	1.44E-149	0.447745831	0.209	0.046	2.06E-145	3
Rps4x	2.66E-250	0.446798045	0.998	0.998	3.81E-246	3
Reep5	2.48E-200	0.446472599	0.846	0.565	3.54E-196	3
Plbd1	0	0.445400689	0.524	0.108	0	3
Uba5	1.64E-262	0.443657475	0.648	0.257	2.35E-258	3
Eif3c	3.16E-207	0.441132077	0.758	0.433	4.51E-203	3
Por	0	0.440443426	0.597	0.178	0	3
Pebp1	2.20E-208	0.436147581	0.899	0.643	3.14E-204	3
Tmsb10	1.88E-27	0.435154842	0.499	0.381	2.69E-23	3
Id2	2.59E-73	0.432828614	0.733	0.61	3.70E-69	3
Tmed2	2.50E-153	0.429889499	0.962	0.936	3.57E-149	3
Osgin1	1.30E-225	0.429046026	0.533	0.192	1.86E-221	3
Pah	1.35E-142	0.427575283	0.742	0.498	1.93E-138	3
Eif6	2.40E-159	0.427263908	0.855	0.623	3.43E-155	3
Sec11c	2.86E-172	0.425804062	0.856	0.629	4.09E-168	3
Akr1b3	2.15E-285	0.425691029	0.54	0.166	3.08E-281	3
Chchd10	1.64E-116	0.425454311	0.983	0.981	2.34E-112	3
Ssr4	7.43E-224	0.422012211	0.999	0.99	1.06E-219	3
Rab2a	1.44E-188	0.421881768	0.849	0.593	2.05E-184	3
Pdia4	1.48E-121	0.421612865	0.771	0.554	2.12E-117	3
Pgk1	1.23E-197	0.421317666	0.977	0.903	1.76E-193	3
Tram1	2.92E-204	0.421061934	0.823	0.534	4.17E-200	3
Eef1b2	6.48E-153	0.417022306	0.948	0.863	9.26E-149	3
Kdelr1	1.62E-171	0.416460442	0.899	0.687	2.32E-167	3
Ubxn4	2.24E-176	0.414090898	0.778	0.49	3.20E-172	3
Txndc5	2.32E-196	0.412754701	0.692	0.364	3.31E-192	3
Rrbp1	4.28E-201	0.412248184	0.985	0.948	6.11E-197	3
Eif5a	1.71E-226	0.411515462	0.997	0.995	2.45E-222	3
Adrm1	1.77E-175	0.409212949	0.79	0.516	2.53E-171	3
Serpinf2	2.91E-202	0.407655278	0.996	0.99	4.16E-198	3
Serpina6	1.90E-187	0.406994505	0.286	0.07	2.72E-183	3
Tubb4b	2.13E-110	0.405481282	0.893	0.848	3.04E-106	3
mt-Cytb	1.25E-181	0.404836883	0.997	0.983	1.79E-177	3
Ift20	2.24E-157	0.403952164	0.861	0.644	3.20E-153	3
Rpl10a	4.15E-199	0.40250905	0.996	0.98	5.93E-195	3
Os9	1.32E-238	0.399828829	0.637	0.256	1.88E-234	3
Gmppb	0	0.399634574	0.516	0.145	0	3
Fbxw9	2.25E-268	0.399038508	0.527	0.169	3.22E-264	3
Spcs2	7.85E-215	0.398899861	0.997	0.991	1.12E-210	3
Nars	2.47E-239	0.39858989	0.659	0.268	3.53E-235	3
Lpl	1.02E-199	0.394854346	0.644	0.29	1.46E-195	3
Mfge8	1.39E-226	0.391760703	0.45	0.141	1.98E-222	3
Serpina3n	6.27E-50	0.391595838	0.732	0.656	8.96E-46	3
Slc25a39	1.94E-208	0.391239699	0.996	0.985	2.77E-204	3
Bdh1	2.06E-149	0.391126335	0.711	0.446	2.95E-145	3
Lonp1	0	0.390775142	0.426	0.088	0	3
Spint2	2.17E-186	0.39049631	0.832	0.551	3.11E-182	3
Cyp2a22	5.53E-282	0.390320854	0.201	0.022	7.91E-278	3
Nans	1.75E-298	0.3901209	0.587	0.184	2.50E-294	3
Stt3a	5.63E-248	0.389255701	0.64	0.25	8.05E-244	3
Trib3	3.38E-120	0.389131072	0.283	0.096	4.83E-116	3
Slc6a13	1.09E-123	0.38904859	0.859	0.697	1.56E-119	3
Pzp	5.33E-99	0.3874071	0.966	0.974	7.62E-95	3
Rplp1	9.32E-139	0.386876727	0.982	0.936	1.33E-134	3
Mia3	1.79E-301	0.384531026	0.493	0.136	2.56E-297	3
Aldh2	2.29E-145	0.381107617	0.988	0.971	3.27E-141	3
Chd9	1.56E-93	0.377768332	0.675	0.479	2.22E-89	3
S100a11	5.86E-51	0.376666872	0.568	0.392	8.37E-47	3
Ahsg	1.91E-133	0.375777632	1	1	2.73E-129	3
Ghitm	6.28E-107	0.374327739	0.859	0.723	8.98E-103	3
Fermt2	5.71E-263	0.372603344	0.598	0.21	8.16E-259	3
Gabarap	7.53E-158	0.372164604	0.99	0.971	1.08E-153	3
Rps3	4.22E-143	0.369676414	0.994	0.979	6.03E-139	3
Rpl3	3.79E-159	0.369242153	0.983	0.948	5.41E-155	3
Rpl29	1.23E-186	0.368060262	1	0.994	1.76E-182	3
Tmem97	2.33E-120	0.367406629	0.861	0.675	3.33E-116	3
Mia2	1.26E-159	0.367398781	0.694	0.395	1.80E-155	3
Yipf5	4.16E-138	0.367147212	0.704	0.428	5.95E-134	3
Arpc1b	2.80E-147	0.366878703	0.956	0.906	4.01E-143	3
Preb	4.23E-259	0.365140418	0.563	0.191	6.04E-255	3
Srp9	8.95E-159	0.365045237	0.976	0.956	1.28E-154	3
Psat1	0	0.364908044	0.453	0.109	0	3
Ccdc47	1.02E-220	0.36404989	0.56	0.212	1.45E-216	3
Prkcsh	1.03E-165	0.36346563	0.723	0.421	1.48E-161	3
Grhpr	5.83E-153	0.361114586	0.974	0.944	8.33E-149	3
Npdc1	0	0.360497078	0.412	0.092	0	3
Rpl9-ps6	1.30E-161	0.359865889	1	0.993	1.86E-157	3
Prdx3	1.92E-147	0.359835721	0.938	0.849	2.75E-143	3
Prdx4	3.10E-160	0.359689235	0.939	0.828	4.44E-156	3
Gps1	8.45E-234	0.358459996	0.58	0.216	1.21E-229	3
Calm1	2.70E-135	0.358197026	0.976	0.967	3.86E-131	3
Pabpc1	1.76E-115	0.358126537	0.769	0.552	2.51E-111	3
Aldoa	1.46E-95	0.357767817	0.788	0.608	2.08E-91	3
Ssr1	1.34E-293	0.357763185	0.577	0.179	1.92E-289	3
Tspo	2.22E-123	0.357550888	0.919	0.787	3.17E-119	3
Nme6	2.22E-164	0.357167787	0.564	0.248	3.17E-160	3
Trmt112	2.35E-147	0.357044738	0.895	0.691	3.36E-143	3
Eprs	3.46E-151	0.355851026	0.672	0.373	4.94E-147	3
Rps3a1	9.95E-175	0.354168285	1	0.999	1.42E-170	3
Lman2	2.50E-156	0.353449323	0.74	0.46	3.57E-152	3
Itih4	2.60E-115	0.353243659	0.917	0.835	3.72E-111	3
Txn2	1.95E-85	0.351340513	0.929	0.896	2.78E-81	3
Rps2	3.95E-165	0.349938148	1	1	5.65E-161	3
Eif4g2	3.86E-189	0.347510546	0.621	0.274	5.51E-185	3
mt-Nd4l	4.36E-155	0.347455724	0.995	0.966	6.23E-151	3
Selenom	8.62E-235	0.346532772	0.435	0.125	1.23E-230	3
Rpl7	5.16E-131	0.346082972	0.97	0.902	7.37E-127	3
Arpc5l	1.83E-111	0.345778039	0.767	0.562	2.62E-107	3
Slc39a7	8.14E-255	0.345645523	0.513	0.162	1.16E-250	3
