	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	TFs	Tclin
Rps25	5.67E-42	0.376116855	0.737	0.514	8.10E-38	3	Rps25	#N/A	#N/A
Hspa9	1.21E-41	0.402951898	0.866	0.799	1.72E-37	3	Hspa9	#N/A	#N/A
Plpp5	2.03E-41	0.222708274	0.312	0.109	2.91E-37	3	Plpp5	#N/A	#N/A
Abcc2	2.09E-41	0.338551531	0.811	0.678	2.99E-37	3	Abcc2	#N/A	#N/A
Cdh17	2.12E-41	0.230805649	0.238	0.068	3.03E-37	3	Cdh17	#N/A	#N/A
Creg1	2.18E-41	0.441103288	0.831	0.753	3.11E-37	3	Creg1	#N/A	#N/A
Tram1	6.23E-41	0.354702463	0.704	0.486	8.91E-37	3	Tram1	#N/A	#N/A
1110008F13Rik	1.00E-40	0.267767046	0.503	0.238	1.43E-36	3	1110008F13Rik	#N/A	#N/A
Rexo2	1.96E-40	0.354992424	0.624	0.365	2.80E-36	3	Rexo2	#N/A	#N/A
Rpl23	2.54E-40	0.365537512	0.998	0.991	3.63E-36	3	Rpl23	#N/A	#N/A
Rpl36al	2.59E-40	0.323579291	0.975	0.949	3.70E-36	3	Rpl36al	#N/A	#N/A
Slc38a10	2.61E-40	0.200552687	0.28	0.092	3.73E-36	3	Slc38a10	#N/A	#N/A
Dhrs7	3.00E-40	0.209113126	0.36	0.138	4.29E-36	3	Dhrs7	#N/A	#N/A
Apoc4	4.90E-40	0.310618984	0.995	0.995	7.00E-36	3	Apoc4	#N/A	#N/A
Me1	7.47E-40	0.215424766	0.293	0.099	1.07E-35	3	Me1	#N/A	#N/A
Alas1	9.51E-40	0.358824029	0.455	0.218	1.36E-35	3	Alas1	#N/A	#N/A
Ccnd1	1.03E-39	0.26899796	0.462	0.211	1.48E-35	3	Ccnd1	#N/A	#N/A
Hspa5	4.55E-39	0.629617719	0.926	0.923	6.50E-35	3	Hspa5	#N/A	#N/A
Sord	5.34E-39	0.471109253	0.755	0.639	7.64E-35	3	Sord	#N/A	#N/A
Rpl11	5.43E-39	0.351429308	0.975	0.943	7.76E-35	3	Rpl11	#N/A	#N/A
Tst	5.53E-39	0.287469193	0.718	0.464	7.91E-35	3	Tst	#N/A	#N/A
Rpl28	1.35E-38	0.371479734	0.885	0.809	1.93E-34	3	Rpl28	#N/A	#N/A
Eef1g	1.65E-38	0.321025497	0.688	0.443	2.36E-34	3	Eef1g	#N/A	#N/A
Rps14	4.99E-38	0.388471718	0.908	0.863	7.13E-34	3	Rps14	#N/A	#N/A
Saraf	5.19E-38	0.209731057	0.339	0.131	7.42E-34	3	Saraf	#N/A	#N/A
Reep5	5.45E-38	0.297792625	0.469	0.229	7.79E-34	3	Reep5	#N/A	#N/A
Rps5	6.74E-38	0.420822131	0.822	0.669	9.63E-34	3	Rps5	#N/A	#N/A
Cyp2c50	7.66E-38	0.24641734	0.208	0.057	1.10E-33	3	Cyp2c50	#N/A	#N/A
Nme1	8.61E-38	0.330531299	0.767	0.559	1.23E-33	3	Nme1	#N/A	#N/A
Rps23	9.31E-38	0.3528361	0.892	0.84	1.33E-33	3	Rps23	#N/A	#N/A
Rps2	1.28E-37	0.291733361	0.979	0.964	1.83E-33	3	Rps2	#N/A	#N/A
Rpl37a1	1.49E-37	0.277027203	0.996	0.992	2.13E-33	3	Rpl37a	#N/A	#N/A
Magt1	1.83E-37	0.259079236	0.492	0.245	2.62E-33	3	Magt1	#N/A	#N/A
Rps241	2.26E-37	0.348688488	0.981	0.967	3.23E-33	3	Rps24	#N/A	#N/A
Lars	3.31E-37	0.20314768	0.37	0.152	4.73E-33	3	Lars	#N/A	#N/A
Cdh2	3.48E-37	0.221380184	0.411	0.18	4.97E-33	3	Cdh2	#N/A	#N/A
Dad1	5.18E-37	0.375268998	0.778	0.625	7.41E-33	3	Dad1	#N/A	#N/A
Nme2	5.25E-37	0.372604761	0.702	0.46	7.51E-33	3	Nme2	#N/A	#N/A
Hsp90b1	5.25E-37	0.422283376	0.998	0.999	7.51E-33	3	Hsp90b1	#N/A	#N/A
Tmem56	5.51E-37	0.327944004	0.531	0.284	7.87E-33	3	Tmem56	#N/A	#N/A
Nars	6.66E-37	0.37588475	0.78	0.615	9.51E-33	3	Nars	#N/A	#N/A
Rps3a1	6.71E-37	0.316197539	0.977	0.976	9.59E-33	3	Rps3a1	#N/A	#N/A
Uba5	8.04E-37	0.256425126	0.414	0.19	1.15E-32	3	Uba5	#N/A	#N/A
Hid1	9.93E-37	0.203229598	0.31	0.115	1.42E-32	3	Hid1	#N/A	#N/A
Ddost	1.58E-36	0.248290584	0.554	0.293	2.26E-32	3	Ddost	#N/A	#N/A
Uso1	1.83E-36	0.270673158	0.494	0.249	2.61E-32	3	Uso1	#N/A	#N/A
Mia3	2.18E-36	0.297540087	0.527	0.281	3.11E-32	3	Mia3	#N/A	#N/A
Agmat	2.20E-36	0.209449651	0.365	0.151	3.14E-32	3	Agmat	#N/A	#N/A
Sec63	2.35E-36	0.284607544	0.577	0.32	3.35E-32	3	Sec63	#N/A	#N/A
Rps12	2.50E-36	0.392506506	0.887	0.839	3.58E-32	3	Rps12	#N/A	#N/A
Syvn1	3.57E-36	0.249117013	0.441	0.205	5.10E-32	3	Syvn1	#N/A	#N/A
Fmc1	5.49E-36	0.204514838	0.39	0.165	7.84E-32	3	Fmc1	#N/A	#N/A
Rps7	5.86E-36	0.389665559	0.903	0.848	8.37E-32	3	Rps7	#N/A	#N/A
Chp1	6.31E-36	0.259427137	0.549	0.288	9.02E-32	3	Chp1	#N/A	#N/A
Rps26	6.46E-36	0.410669817	0.869	0.823	9.23E-32	3	Rps26	#N/A	#N/A
Psmd2	1.11E-35	0.228631037	0.526	0.265	1.59E-31	3	Psmd2	#N/A	#N/A
Txndc5	1.22E-35	0.253246114	0.522	0.27	1.74E-31	3	Txndc5	#N/A	#N/A
Rpl12	1.24E-35	0.31399515	0.626	0.378	1.77E-31	3	Rpl12	#N/A	#N/A
Hyou1	1.36E-35	0.206925505	0.309	0.116	1.95E-31	3	Hyou1	#N/A	#N/A
Krtcap2	1.49E-35	0.352029402	0.774	0.586	2.13E-31	3	Krtcap2	#N/A	#N/A
Eif3b	1.58E-35	0.210969448	0.437	0.201	2.27E-31	3	Eif3b	#N/A	#N/A
Akr1c6	1.87E-35	0.535086066	0.746	0.654	2.67E-31	3	Akr1c6	#N/A	#N/A
Hdlbp	2.38E-35	0.323405	0.734	0.517	3.41E-31	3	Hdlbp	#N/A	#N/A
Kdelr1	2.70E-35	0.265534298	0.543	0.291	3.86E-31	3	Kdelr1	#N/A	#N/A
Hsp90ab1	3.15E-35	0.312263937	0.959	0.959	4.50E-31	3	Hsp90ab1	#N/A	#N/A
Nat8f2	5.42E-35	0.365974682	0.374	0.171	7.75E-31	3	Nat8f2	#N/A	#N/A
Bckdha	6.50E-35	0.231092033	0.429	0.2	9.30E-31	3	Bckdha	#N/A	#N/A
Larp4	8.10E-35	0.219447189	0.439	0.206	1.16E-30	3	Larp4	#N/A	#N/A
Sqstm1	8.52E-35	0.387148091	0.635	0.402	1.22E-30	3	Sqstm1	#N/A	#N/A
Tmed2	1.01E-34	0.294431345	0.693	0.455	1.45E-30	3	Tmed2	#N/A	#N/A
Spcs3	1.31E-34	0.257215898	0.527	0.279	1.88E-30	3	Spcs3	#N/A	#N/A
Eif3j1	3.12E-34	0.316866876	0.882	0.793	4.46E-30	3	Eif3j1	#N/A	#N/A
Os9	3.25E-34	0.262744725	0.557	0.304	4.65E-30	3	Os9	#N/A	#N/A
Rps10	4.85E-34	0.319421082	0.981	0.964	6.94E-30	3	Rps10	#N/A	#N/A
Bola2	5.07E-34	0.334371107	0.743	0.56	7.24E-30	3	Bola2	#N/A	#N/A
Entpd5	5.41E-34	0.230776226	0.335	0.139	7.73E-30	3	Entpd5	#N/A	#N/A
Erp29	1.31E-33	0.242909348	0.43	0.208	1.88E-29	3	Erp29	#N/A	#N/A
Fau	1.61E-33	0.316243353	0.995	0.985	2.30E-29	3	Fau	#N/A	#N/A
Rps19	3.34E-33	0.327790934	0.825	0.705	4.77E-29	3	Rps19	#N/A	#N/A
Slc25a22	4.57E-33	0.23248869	0.377	0.169	6.53E-29	3	Slc25a22	#N/A	#N/A
Tmed5	5.96E-33	0.207183219	0.45	0.214	8.51E-29	3	Tmed5	#N/A	#N/A
Rps4x	7.29E-33	0.335787152	0.905	0.852	1.04E-28	3	Rps4x	#N/A	#N/A
Spint2	2.02E-32	0.240533499	0.503	0.262	2.88E-28	3	Spint2	#N/A	#N/A
Gpc3	3.34E-32	0.415594621	0.466	0.252	4.78E-28	3	Gpc3	#N/A	#N/A
Adrm1	3.37E-32	0.210678989	0.446	0.217	4.82E-28	3	Adrm1	#N/A	#N/A
Sel1l	4.02E-32	0.245349253	0.436	0.215	5.74E-28	3	Sel1l	#N/A	#N/A
Sys1	4.72E-32	0.211596735	0.354	0.154	6.75E-28	3	Sys1	#N/A	#N/A
Tcf25	4.92E-32	0.312414734	0.677	0.466	7.03E-28	3	Tcf25	#N/A	#N/A
Rpl9-ps6	5.24E-32	0.327611374	0.688	0.446	7.48E-28	3	Rpl9-ps6	#N/A	#N/A
Rps9	6.85E-32	0.313083028	0.922	0.888	9.79E-28	3	Rps9	#N/A	#N/A
Manf	7.18E-32	0.418914283	0.728	0.561	1.03E-27	3	Manf	#N/A	#N/A
Atp2a2	8.98E-32	0.308185653	0.6	0.376	1.28E-27	3	Atp2a2	#N/A	#N/A
Hint1	1.30E-31	0.307194825	0.972	0.961	1.86E-27	3	Hint1	#N/A	#N/A
Ssr2	1.86E-31	0.246118818	0.467	0.241	2.66E-27	3	Ssr2	#N/A	#N/A
Tmem160	1.89E-31	0.217608661	0.522	0.274	2.71E-27	3	Tmem160	#N/A	#N/A
Map2k2	1.95E-31	0.213390469	0.462	0.232	2.78E-27	3	Map2k2	#N/A	MAP2K2
Gm26917	2.28E-31	0.643564671	0.743	0.636	3.25E-27	3	Gm26917	#N/A	#N/A
Ftl11	2.40E-31	0.314667026	0.984	0.975	3.43E-27	3	Ftl1	#N/A	#N/A
Guk1	2.51E-31	0.232948354	0.46	0.234	3.59E-27	3	Guk1	#N/A	#N/A
Ghitm	2.72E-31	0.266183226	0.619	0.382	3.89E-27	3	Ghitm	#N/A	#N/A
Psmb5	2.81E-31	0.298370919	0.7	0.48	4.02E-27	3	Psmb5	#N/A	PSMB5
Hsp90aa1	4.03E-31	0.291402377	0.644	0.405	5.76E-27	3	Hsp90aa1	#N/A	#N/A
Cope	6.82E-31	0.238328374	0.476	0.251	9.74E-27	3	Cope	#N/A	#N/A
Akr1a1	9.38E-31	0.269820347	0.829	0.715	1.34E-26	3	Akr1a1	#N/A	#N/A
Eif5a	1.00E-30	0.284512088	0.765	0.559	1.43E-26	3	Eif5a	#N/A	#N/A
Odc1	1.39E-30	0.223339495	0.384	0.18	1.99E-26	3	Odc1	#N/A	ODC1
Rpl34	2.25E-30	0.328567625	0.852	0.741	3.21E-26	3	Rpl34	#N/A	#N/A
Mien1	2.35E-30	0.236392434	0.559	0.311	3.37E-26	3	Mien1	#N/A	#N/A
Anxa7	2.51E-30	0.213859345	0.439	0.219	3.58E-26	3	Anxa7	#N/A	#N/A
Mrps12	2.55E-30	0.21947775	0.466	0.237	3.65E-26	3	Mrps12	#N/A	#N/A
Vkorc1	3.66E-30	0.303584612	0.677	0.456	5.23E-26	3	Vkorc1	#N/A	VKORC1
Psmd1	3.67E-30	0.241332796	0.545	0.307	5.25E-26	3	Psmd1	#N/A	#N/A
Neat11	7.86E-30	0.348517775	0.868	0.826	1.12E-25	3	Neat1	#N/A	#N/A
Rps27	8.18E-30	0.359647098	0.771	0.61	1.17E-25	3	Rps27	#N/A	#N/A
Iqgap2	9.49E-30	0.238316171	0.52	0.297	1.36E-25	3	Iqgap2	#N/A	#N/A
Gabarap	1.48E-29	0.326038777	0.66	0.473	2.12E-25	3	Gabarap	#N/A	#N/A
Luc7l2	1.58E-29	0.282982593	0.649	0.433	2.25E-25	3	Luc7l2	#N/A	#N/A
Cyb5a1	1.64E-29	0.284244238	0.968	0.966	2.34E-25	3	Cyb5a	#N/A	#N/A
Lman2	2.22E-29	0.202119832	0.45	0.229	3.17E-25	3	Lman2	#N/A	#N/A
Rpl19	2.92E-29	0.316496872	0.864	0.762	4.17E-25	3	Rpl19	#N/A	#N/A
Sult1e1	4.38E-29	0.272481775	0.205	0.067	6.27E-25	3	Sult1e1	#N/A	#N/A
Rpl381	4.75E-29	0.271508657	0.998	0.998	6.79E-25	3	Rpl38	#N/A	#N/A
Rps18	5.68E-29	0.279717001	0.739	0.563	8.13E-25	3	Rps18	#N/A	#N/A
Sod1	5.91E-29	0.312726178	0.877	0.835	8.44E-25	3	Sod1	#N/A	#N/A
Rpl31	7.92E-29	0.257544938	0.608	0.367	1.13E-24	3	Rpl31	#N/A	#N/A
Tm9sf2	1.48E-28	0.212934372	0.564	0.326	2.11E-24	3	Tm9sf2	#N/A	#N/A
Rpl10	1.83E-28	0.285833325	0.938	0.918	2.62E-24	3	Rpl10	#N/A	#N/A
Dnajc1	1.89E-28	0.225068278	0.455	0.239	2.69E-24	3	Dnajc1	#N/A	#N/A
Ctsd	3.06E-28	0.25591502	0.683	0.458	4.37E-24	3	Ctsd	#N/A	#N/A
Tm9sf3	3.13E-28	0.244548869	0.718	0.491	4.48E-24	3	Tm9sf3	#N/A	#N/A
Txn2	3.51E-28	0.223731699	0.474	0.254	5.02E-24	3	Txn2	#N/A	#N/A
Rps27a	3.65E-28	0.31026915	1	0.998	5.22E-24	3	Rps27a	#N/A	#N/A
Rps281	3.97E-28	0.304091764	0.974	0.954	5.67E-24	3	Rps28	#N/A	#N/A
Rps15	6.28E-28	0.260946086	0.834	0.753	8.97E-24	3	Rps15	#N/A	#N/A
Lman1	6.85E-28	0.297729856	0.713	0.547	9.79E-24	3	Lman1	#N/A	#N/A
BC005537	8.77E-28	0.206008917	0.489	0.262	1.25E-23	3	BC005537	#N/A	#N/A
Rps13	1.41E-27	0.330517155	0.891	0.862	2.01E-23	3	Rps13	#N/A	#N/A
Rpl29	2.21E-27	0.248428718	0.616	0.388	3.16E-23	3	Rpl29	#N/A	#N/A
Gfpt1	2.52E-27	0.331287392	0.437	0.237	3.60E-23	3	Gfpt1	#N/A	#N/A
Slc25a39	2.58E-27	0.283019008	0.905	0.889	3.69E-23	3	Slc25a39	#N/A	#N/A
Eef2	3.08E-27	0.286990702	0.75	0.566	4.40E-23	3	Eef2	#N/A	#N/A
Eif3c	3.96E-27	0.315971401	0.667	0.478	5.66E-23	3	Eif3c	#N/A	#N/A
Ccdc47	4.09E-27	0.219961159	0.469	0.256	5.85E-23	3	Ccdc47	#N/A	#N/A
Rpn1	4.48E-27	0.288443336	0.79	0.721	6.40E-23	3	Rpn1	#N/A	#N/A
Lmna	4.81E-27	0.220037706	0.457	0.246	6.87E-23	3	Lmna	#N/A	#N/A
Rpl36	4.93E-27	0.289116848	0.869	0.786	7.04E-23	3	Rpl36	#N/A	#N/A
Rpl271	5.58E-27	0.256724708	0.917	0.863	7.98E-23	3	Rpl27	#N/A	#N/A
Rpl36a	6.22E-27	0.293677639	0.921	0.884	8.89E-23	3	Rpl36a	#N/A	#N/A
Mcfd2	7.33E-27	0.304953557	0.799	0.737	1.05E-22	3	Mcfd2	#N/A	#N/A
Psma7	1.59E-26	0.252571626	0.564	0.344	2.27E-22	3	Psma7	#N/A	#N/A
Preb	2.05E-26	0.206972868	0.448	0.24	2.94E-22	3	Preb	PREB	#N/A
Rpl4	2.25E-26	0.281746441	0.804	0.721	3.21E-22	3	Rpl4	#N/A	#N/A
Anxa2	2.50E-26	0.285062287	0.511	0.304	3.58E-22	3	Anxa2	#N/A	#N/A
Ncl	4.29E-26	0.266780246	0.695	0.472	6.13E-22	3	Ncl	#N/A	#N/A
Cox16	7.65E-26	0.233479402	0.633	0.409	1.09E-21	3	Cox16	#N/A	#N/A
Hypk	7.79E-26	0.20790786	0.616	0.371	1.11E-21	3	Hypk	#N/A	#N/A
Acadvl	9.57E-26	0.207240616	0.614	0.369	1.37E-21	3	Acadvl	#N/A	#N/A
Grina	9.89E-26	0.230945669	0.533	0.319	1.41E-21	3	Grina	#N/A	#N/A
Tmem167	1.82E-25	0.248948696	0.661	0.451	2.60E-21	3	Tmem167	#N/A	#N/A
Mrpl57	2.04E-25	0.219202922	0.571	0.345	2.92E-21	3	Mrpl57	#N/A	#N/A
Mdh2	2.07E-25	0.205189085	0.49	0.276	2.96E-21	3	Mdh2	#N/A	#N/A
Tmem258	2.43E-25	0.312954618	0.743	0.591	3.47E-21	3	Tmem258	#N/A	#N/A
Trp53inp11	2.54E-25	0.266117288	0.61	0.404	3.63E-21	3	Trp53inp1	#N/A	#N/A
Creld2	3.59E-25	0.308386354	0.374	0.194	5.13E-21	3	Creld2	#N/A	#N/A
Serpinb6a	3.92E-25	0.231252444	0.316	0.147	5.60E-21	3	Serpinb6a	#N/A	#N/A
Pgk1	5.36E-25	0.235221428	0.67	0.471	7.67E-21	3	Pgk1	#N/A	#N/A
Dnajb11	5.92E-25	0.226738385	0.501	0.288	8.46E-21	3	Dnajb11	#N/A	#N/A
Igfbp2	6.46E-25	0.399682458	0.631	0.463	9.23E-21	3	Igfbp2	#N/A	#N/A
Eprs	6.48E-25	0.219914522	0.496	0.285	9.26E-21	3	Eprs	#N/A	#N/A
Dpm3	6.85E-25	0.264705839	0.7	0.517	9.79E-21	3	Dpm3	#N/A	#N/A
Rps3	6.95E-25	0.28858202	0.801	0.691	9.93E-21	3	Rps3	#N/A	#N/A
Fkbp2	8.54E-25	0.236808686	0.598	0.38	1.22E-20	3	Fkbp2	#N/A	#N/A
Rpl24	1.06E-24	0.317438448	0.891	0.853	1.52E-20	3	Rpl24	#N/A	#N/A
Ndufb9	1.08E-24	0.259722292	0.857	0.803	1.54E-20	3	Ndufb9	#N/A	NDUFB9
Prkcsh	1.39E-24	0.244957737	0.653	0.442	1.99E-20	3	Prkcsh	#N/A	#N/A
Tmem97	1.44E-24	0.213486522	0.559	0.336	2.05E-20	3	Tmem97	#N/A	#N/A
Cd1d1	1.75E-24	0.204722731	0.422	0.228	2.50E-20	3	Cd1d1	#N/A	#N/A
Abcd3	1.96E-24	0.244878105	0.517	0.311	2.81E-20	3	Abcd3	#N/A	#N/A
Eif1	3.19E-24	0.296027548	0.975	0.972	4.56E-20	3	Eif1	#N/A	#N/A
Prdx4	3.25E-24	0.242612252	0.552	0.347	4.64E-20	3	Prdx4	#N/A	#N/A
Rpl35a	3.51E-24	0.243757048	0.981	0.981	5.02E-20	3	Rpl35a	#N/A	#N/A
Calr	3.65E-24	0.323867484	0.776	0.714	5.22E-20	3	Calr	#N/A	#N/A
Dst	4.01E-24	0.242019281	0.459	0.262	5.73E-20	3	Dst	#N/A	#N/A
Ldha	5.64E-24	0.269444595	0.862	0.819	8.06E-20	3	Ldha	#N/A	#N/A
Rpl32	6.81E-24	0.317055141	0.765	0.626	9.74E-20	3	Rpl32	#N/A	#N/A
Psmb3	8.16E-24	0.201869868	0.455	0.255	1.17E-19	3	Psmb3	#N/A	#N/A
Tubb4b	1.14E-23	0.245970509	0.549	0.334	1.63E-19	3	Tubb4b	#N/A	TUBB4B
Uba521	1.26E-23	0.285368532	0.951	0.935	1.79E-19	3	Uba52	#N/A	#N/A
Bdh1	1.52E-23	0.252291317	0.637	0.447	2.18E-19	3	Bdh1	#N/A	#N/A
App	1.97E-23	0.235501702	0.436	0.243	2.81E-19	3	App	#N/A	#N/A
Pah	1.97E-23	0.207685816	0.46	0.256	2.81E-19	3	Pah	#N/A	PAH
Rack1	2.27E-23	0.286042096	0.774	0.689	3.24E-19	3	Rack1	#N/A	#N/A
Fermt2	3.07E-23	0.210266163	0.429	0.236	4.38E-19	3	Fermt2	#N/A	#N/A
Rpl14	3.54E-23	0.253120828	0.751	0.59	5.06E-19	3	Rpl14	#N/A	#N/A
Rpl22	6.84E-23	0.28247401	0.928	0.899	9.78E-19	3	Rpl22	#N/A	#N/A
Eif5	8.32E-23	0.269010548	0.707	0.522	1.19E-18	3	Eif5	#N/A	#N/A
Ephx1	9.67E-23	0.202137245	0.459	0.254	1.38E-18	3	Ephx1	#N/A	#N/A
Edem1	1.57E-22	0.210228368	0.506	0.305	2.25E-18	3	Edem1	#N/A	#N/A
Rpl10a	1.81E-22	0.266927525	0.76	0.615	2.59E-18	3	Rpl10a	#N/A	#N/A
Rps15a	2.24E-22	0.290317412	0.737	0.595	3.20E-18	3	Rps15a	#N/A	#N/A
Rpl17	2.28E-22	0.275195866	0.848	0.793	3.25E-18	3	Rpl17	#N/A	#N/A
Crot	2.38E-22	0.251865801	0.492	0.3	3.41E-18	3	Crot	#N/A	#N/A
Fam25c	2.57E-22	0.409624093	0.333	0.169	3.68E-18	3	Fam25c	#N/A	#N/A
Rex1bd	6.37E-22	0.201136527	0.48	0.282	9.11E-18	3	Rex1bd	#N/A	#N/A
Gpt2	1.90E-21	0.231653054	0.6	0.396	2.72E-17	3	Gpt2	#N/A	#N/A
Mbl2	2.10E-21	0.376958868	0.312	0.158	3.00E-17	3	Mbl2	#N/A	#N/A
Srp19	2.43E-21	0.208554373	0.446	0.257	3.48E-17	3	Srp19	#N/A	#N/A
Pdia4	3.03E-21	0.277094486	0.577	0.377	4.34E-17	3	Pdia4	#N/A	#N/A
Rpl26	3.60E-21	0.239152486	0.723	0.549	5.14E-17	3	Rpl26	#N/A	#N/A
Pabpc1	5.63E-21	0.240374347	0.824	0.745	8.04E-17	3	Pabpc1	#N/A	#N/A
Ppa1	6.17E-21	0.204875724	0.607	0.401	8.82E-17	3	Ppa1	#N/A	#N/A
Serpina10	6.22E-21	0.223267565	0.469	0.284	8.89E-17	3	Serpina10	#N/A	#N/A
Rpl10-ps3	2.42E-20	0.216215392	0.418	0.244	3.46E-16	3	Rpl10-ps3	#N/A	#N/A
Rab2a	2.59E-20	0.222883959	0.584	0.398	3.71E-16	3	Rab2a	#N/A	#N/A
Arpp19	3.10E-20	0.247611698	0.753	0.615	4.43E-16	3	Arpp19	#N/A	#N/A
Trmt112	3.44E-20	0.21421688	0.515	0.327	4.91E-16	3	Trmt112	#N/A	#N/A
Rpl21	3.51E-20	0.237341095	0.813	0.706	5.02E-16	3	Rpl21	#N/A	#N/A
Lamtor2	3.87E-20	0.221682757	0.714	0.549	5.53E-16	3	Lamtor2	#N/A	#N/A
Cyp2a51	3.89E-20	0.243372872	0.295	0.14	5.56E-16	3	Cyp2a5	#N/A	#N/A
Psmb4	7.38E-20	0.21339147	0.711	0.552	1.05E-15	3	Psmb4	#N/A	#N/A
S100a11	9.27E-20	0.216398839	0.254	0.118	1.33E-15	3	S100a11	#N/A	#N/A
Cebpb	9.69E-20	0.238577641	0.614	0.438	1.39E-15	3	Cebpb	CEBPB	#N/A
Abcb4	1.24E-19	0.210206962	0.459	0.276	1.77E-15	3	Abcb4	#N/A	#N/A
Id3	3.50E-19	0.214963302	0.383	0.216	5.00E-15	3	Id3	#N/A	#N/A
Rpl7	4.76E-19	0.233534724	0.801	0.717	6.81E-15	3	Rpl7	#N/A	#N/A
Slc27a2	8.68E-19	0.200608365	0.54	0.353	1.24E-14	3	Slc27a2	#N/A	#N/A
Txn1	8.98E-19	0.23758517	0.776	0.664	1.28E-14	3	Txn1	#N/A	#N/A
Ppib	9.60E-19	0.238059343	0.718	0.571	1.37E-14	3	Ppib	#N/A	#N/A
Rps6	1.02E-18	0.224232242	0.744	0.6	1.45E-14	3	Rps6	#N/A	#N/A
Romo1	1.40E-18	0.211647023	0.919	0.903	2.00E-14	3	Romo1	#N/A	#N/A
Nop10	1.44E-18	0.262489302	0.672	0.533	2.06E-14	3	Nop10	#N/A	#N/A
Rpl5	3.05E-18	0.256548152	0.767	0.699	4.36E-14	3	Rpl5	#N/A	#N/A
Spcs1	9.93E-18	0.291098239	0.792	0.723	1.42E-13	3	Spcs1	#N/A	#N/A
Cycs	2.16E-17	0.200526638	0.894	0.853	3.08E-13	3	Cycs	#N/A	#N/A
Hspd1	5.94E-17	0.216647325	0.877	0.856	8.49E-13	3	Hspd1	#N/A	#N/A
Kyat1	1.55E-16	0.281927583	0.545	0.391	2.22E-12	3	Kyat1	#N/A	#N/A
Rpl23a	2.00E-16	0.200954063	0.631	0.477	2.86E-12	3	Rpl23a	#N/A	#N/A
Dmgdh	2.38E-16	0.228727807	0.372	0.226	3.41E-12	3	Dmgdh	#N/A	#N/A
Ost4	2.55E-16	0.242026719	0.822	0.751	3.65E-12	3	Ost4	#N/A	#N/A
Pdia3	3.38E-16	0.279662946	0.764	0.693	4.83E-12	3	Pdia3	#N/A	#N/A
Acox1	4.51E-16	0.232556274	0.67	0.539	6.45E-12	3	Acox1	#N/A	#N/A
Rpl15	6.94E-16	0.231361167	0.674	0.546	9.92E-12	3	Rpl15	#N/A	#N/A
Gsta3	1.56E-15	0.227573281	0.672	0.531	2.23E-11	3	Gsta3	#N/A	#N/A
Spcs2	2.82E-15	0.257313358	0.723	0.606	4.04E-11	3	Spcs2	#N/A	#N/A
Bhmt2	5.33E-15	0.213370025	0.51	0.353	7.61E-11	3	Bhmt2	#N/A	#N/A
H2afj	7.00E-15	0.212861596	0.718	0.578	1.00E-10	3	H2afj	#N/A	#N/A
Mgst11	9.23E-15	0.326480818	0.963	0.969	1.32E-10	3	Mgst1	#N/A	#N/A
Pdia6	1.27E-14	0.267179051	0.794	0.807	1.81E-10	3	Pdia6	#N/A	#N/A
Orm2	1.38E-14	0.248841859	0.138	0.055	1.97E-10	3	Orm2	#N/A	#N/A
Slc38a4	1.84E-14	0.206781486	0.474	0.32	2.63E-10	3	Slc38a4	#N/A	#N/A
Mfge8	1.91E-14	0.225509425	0.411	0.265	2.73E-10	3	Mfge8	#N/A	#N/A
Cth	1.56E-13	0.310576825	0.483	0.348	2.24E-09	3	Cth	#N/A	#N/A
2200002D01Rik	1.70E-13	0.201653077	0.545	0.389	2.43E-09	3	2200002D01Rik	#N/A	#N/A
Fetub	4.40E-12	0.200917101	0.783	0.748	6.29E-08	3	Fetub	#N/A	#N/A
Meg31	9.27E-12	0.288124662	0.439	0.315	1.33E-07	3	Meg3	#N/A	#N/A
Prlr	1.54E-11	0.205984927	0.33	0.213	2.20E-07	3	Prlr	#N/A	#N/A
Tcea1	4.66E-11	0.200920343	0.663	0.578	6.66E-07	3	Tcea1	#N/A	#N/A
Cyp3a11	8.46E-11	0.47861503	0.765	0.771	1.21E-06	3	Cyp3a11	#N/A	#N/A
Saa2	1.74E-10	0.714726065	0.171	0.088	2.49E-06	3	Saa2	#N/A	#N/A
Aldh1a1	2.11E-10	0.215248777	0.291	0.188	3.01E-06	3	Aldh1a1	#N/A	#N/A
Apoa5	4.11E-10	0.394160948	0.563	0.479	5.87E-06	3	Apoa5	#N/A	#N/A
Saa1	5.93E-09	0.737346348	0.268	0.178	8.48E-05	3	Saa1	#N/A	#N/A
Afp	4.72E-08	0.595156092	0.487	0.421	0.000674448	3	Afp	#N/A	#N/A
Npm1	8.09E-08	0.201138076	0.58	0.494	0.00115619	3	Npm1	#N/A	#N/A
Acaa1b	4.65E-07	0.259697502	0.303	0.219	0.006651633	3	Acaa1b	#N/A	#N/A
Cxcl9	4.46E-06	0.299759248	0.108	0.058	0.063715425	3	Cxcl9	#N/A	#N/A
Hmgcs2	2.89E-05	0.22833024	0.795	0.877	0.412766256	3	Hmgcs2	#N/A	#N/A
Tmsb101	0.000721876	0.294440338	0.45	0.387	1	3	Tmsb10	#N/A	#N/A
Bhmt1	0.0029133	0.357841811	0.441	0.607	1	3	Bhmt	#N/A	#N/A
