source	term_name	term_id	adjusted_p_value	negative_log10_of_adjusted_p_value	Fold_enrichment	term_size	query_size	intersection_size	effective_domain_size	intersections
GO:BP	cellular aldehyde metabolic process	GO:0006081	2.63E-11	10.5794396	9.171467882	58	802	20	21331	ADH5,AGXT,AKR1A1,AKR1C18,ALDH2,ALDH8A1,ALDOA,ALDOB,DHRS4,ESD,GLO1,GRHPR,HAGH,IDH1,IDH2,PARK7,PNKD,RBP4,TALDO1,TPI1
GO:BP	energy derivation by oxidation of organic compounds	GO:0015980	4.07E-11	10.39071628	4.155821384	256	802	40	21331	ATP5D,BLOC1S1,CISD1,COX4I1,COX5A,CYC1,CYCS,CYP1A2,FH1,GNMT,HMGB1,IDH1,IDH2,IDH3B,ISCU,LDHA,MDH1,MDH2,MTCH2,NDUFA10,NDUFA7,NDUFA8,NDUFB6,NDUFB8,NDUFB9,NDUFS2,NDUFS7,NDUFS8,NDUFV1,NDUFV2,PARK7,PPP1CA,PRELID1,SDHB,SDHD,SOD2,SUCLG1,UQCRB,UQCRC1,UQCRFS1
GO:BP	response to organic substance	GO:0010033	7.64E-10	9.116825727	1.609833968	3420	802	207	21331	ACAT1,ACP5,ACTB,ACTG1,ADH5,ADIPOR1,ADRM1,AES,AGT,AGXT,AHSG,AK6,AKR1A1,AKR1C18,AKR1C6,ALAD,ALDH2,ALDOB,ANG,ANGPTL3,ANXA2,ANXA5,APOA1,APOA2,APOM,APRT,ARPC1B,ARPC2,ARPC3,ASS1,ATP5B,ATP5G1,AUP1,BCAP31,BSG,BST2,CALM1,CCL9,CD47,CD63,CD81,CD9,CEBPB,CFB,CFL1,CIB1,CLDN3,CLU,COMT,COX5B,CPB2,CPN1,CSNK2B,CST3,CTSH,CTSL,CXCL1,CXCL13,CYC1,CYP1A2,CYP2A4,CYP2D22,DDOST,DDRGK1,DERL1,DERL2,DGAT2,DNAJC3,ECHDC3,EEF1A1,EIF4EBP1,EIF5A,EIF6,ENO1,ERP44,ESD,FAM210B,FBXO6,FGB,FGG,FIS1,FKBP1A,GAPDH,GCLM,GJB2,GNG12,GNPNAT1,GPI1,GPX1,GPX4,GSS,GSTM3,GSTM7,GSTP1,GSTT1,H2AFZ,H3F3A,H3F3B,HADH,HERPUD1,HMGB1,HMGCL,HPX,HRG,HSD17B2,HSD3B3,HSP90AB1,HSPA8,HSPB8,IDH1,IER2,IFITM2,IFITM3,IFNAR2,IGFBP1,IGFBP2,ISG15,KHK,KRT18,LAMTOR1,LAMTOR2,LAMTOR4,LCN2,LDHA,LGALS9,LITAF,LRG1,LY6D,MGST1,MGST3,MIF,MPC1,MPC2,MRPL15,MT1,NDUFA13,NEDD8,NME2,NR0B2,P4HB,PARK7,PDCD5,PDCD6,PDIA3,PEBP1,PFN1,PHB,PHB2,PLSCR1,PMVK,PON1,PRDX2,PRDX3,PSMB2,QDPR,RAC1,RANBP1,RAP1A,RARRES2,RBP1,RBP4,RHOA,RIDA,RPL10A,RPL3,RPL8,RPLP0,RPS16,RPS2,RPS3,RPS4X,SDF2L1,SDF4,SEC61B,SERPINA12,SERPINA1B,SERPINA1D,SERPINA1E,SERPINA3M,SERPINF1,SFR1,SH3GLB1,SLC10A1,SLC25A5,SLC9A3R1,SLPI,SOD2,SPINT2,SRA1,SRM,STK16,STUB1,TDO2,TMED10,TMED2,TSPO,TUFM,TXN2,TXNDC17,UBE2I,UBE2L3,UGT1A1,UQCRC1,UQCRFS1,VKORC1,XBP1,YBX1
GO:BP	cellular detoxification	GO:1990748	9.85E-11	10.00650381	6.229988093	111	802	26	21331	ADH5,AKR1A1,ALDH2,APOM,CCS,ESD,FABP1,GPX1,GPX4,GSTM2,GSTM7,GSTP1,GSTT1,HP,MGST1,MGST3,PARK7,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,SELENOW,SOD2,TXNDC17
GO:BP	cellular response to toxic substance	GO:0097237	4.62E-10	9.335476956	5.860412528	118	802	26	21331	ADH5,AKR1A1,ALDH2,APOM,CCS,ESD,FABP1,GPX1,GPX4,GSTM2,GSTM7,GSTP1,GSTT1,HP,MGST1,MGST3,PARK7,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,SELENOW,SOD2,TXNDC17
GO:BP	nucleobase-containing small molecule metabolic process	GO:0055086	6.96E-10	9.157621271	2.874062554	546	802	59	21331	ACAT1,ADK,AHCY,AK2,AK6,ALDOA,ALDOB,APRT,ASPDH,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,CYC1,DGAT2,EIF6,ENO1,FBP1,GALK1,GAMT,GAPDH,GLYAT,GNMT,GNPNAT1,GPI1,GUK1,HAAO,HINT1,HMGCL,IDH2,MIF,MPC1,MPC2,MTCH2,NAXE,NME2,NT5C,NUDT4,PARK7,PEMT,PGAM1,PGK1,PMVK,QPRT,RAN,RHOA,SCP2,STOML2,SUCLG1,TDO2,TPI1,TTR,UOX,UPB1,URAH
GO:BP	response to toxic substance	GO:0009636	1.01E-09	8.995748906	4.033190589	244	802	37	21331	ADH5,AKR1A1,ALAD,ALDH2,APOM,ASS1,CCS,CST3,ESD,FABP1,GLYAT,GPX1,GPX4,GSTA3,GSTA4,GSTM2,GSTM7,GSTP1,GSTT1,HP,LCN2,MGST1,MGST3,MT1,PARK7,PEBP1,PON1,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,SELENOW,SLC22A18,SOD2,TXNDC17
GO:BP	mitochondrial respiratory chain complex I assembly	GO:0032981	1.57E-09	8.804675801	9.419861804	48	802	17	21331	NDUFA10,NDUFA11,NDUFA13,NDUFA6,NDUFA8,NDUFAB1,NDUFB10,NDUFB11,NDUFB4,NDUFB5,NDUFB6,NDUFB8,NDUFB9,NDUFS5,NDUFS7,NDUFS8,TMEM126A
GO:BP	NADH dehydrogenase complex assembly	GO:0010257	1.57E-09	8.804675801	9.419861804	48	802	17	21331	NDUFA10,NDUFA11,NDUFA13,NDUFA6,NDUFA8,NDUFAB1,NDUFB10,NDUFB11,NDUFB4,NDUFB5,NDUFB6,NDUFB8,NDUFB9,NDUFS5,NDUFS7,NDUFS8,TMEM126A
GO:BP	mitochondrial respiratory chain complex assembly	GO:0033108	1.66E-09	8.779130401	6.725743113	87	802	22	21331	COA3,COX19,NDUFA10,NDUFA11,NDUFA13,NDUFA6,NDUFA8,NDUFAB1,NDUFB10,NDUFB11,NDUFB4,NDUFB5,NDUFB6,NDUFB8,NDUFB9,NDUFS5,NDUFS7,NDUFS8,SMIM20,TMEM126A,UQCC2,UQCRC1
GO:BP	purine-containing compound metabolic process	GO:0072521	1.67E-09	8.776310895	3.143883789	423	802	50	21331	ACAT1,ADK,AHCY,AK2,AK6,ALDOA,ALDOB,APRT,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,CYC1,DGAT2,EIF6,ENO1,FBP1,GALK1,GAMT,GAPDH,GLYAT,GNMT,GPI1,GUK1,HINT1,HMGCL,MIF,MPC1,MPC2,MTCH2,NME2,NUDT4,PEMT,PGAM1,PGK1,PMVK,RAN,RHOA,SCP2,STOML2,SUCLG1,TDO2,TPI1,TTR,UOX,URAH
GO:BP	cellular protein-containing complex assembly	GO:0034622	2.34E-09	8.630356844	2.274413313	994	802	85	21331	ADRM1,AK6,ALDOB,ANG,ARF1,ARPC1B,ARPC2,ARPC3,ARPC5L,ATP5D,CAPZB,CENPX,CFL1,CHMP2A,CLTA,CLTB,CLU,COA3,COX19,COX7A2,EIF3F,EIF3H,EIF3I,EIF3K,EIF3M,EIF6,FGA,FGB,FGG,FKBP1A,GPX4,GTF2B,H3F3A,H3F3B,HIST1H2BC,HMGB1,HSP90AB1,MRPL20,MRPS7,MSRB1,NDUFA10,NDUFA11,NDUFA13,NDUFA6,NDUFA8,NDUFAB1,NDUFB10,NDUFB11,NDUFB4,NDUFB5,NDUFB6,NDUFB8,NDUFB9,NDUFS5,NDUFS7,NDUFS8,PFN1,POMP,PSMC2,PSMC4,PSMD4,RAC1,RHOA,RPL10-PS3,RPL11,RPL24,RPL3,RPL6,RPLP0,RPS10,RPS14,RPS19,RPS2,RPS3,RPSA,SMIM20,SNRPD2,SNU13,STUB1,SWI5,TMEM126A,UQCC2,UQCRC1,VDAC2,VTN
GO:BP	proton transmembrane transport	GO:1902600	4.25E-09	8.371104296	4.96482128	150	802	28	21331	ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,ATP6V0B,ATP6V0C,ATP6V0D1,ATP6V0E,ATP6V1E1,ATP6V1F,ATP6V1G1,COX4I1,COX5A,COX5B,COX7A2,COX7B,COX8A,CYC1,NDUFA4,NDUFS7,PARK7,PHB2,SLC9A3R1,STOML2
GO:BP	organic substance biosynthetic process	GO:1901576	4.92E-09	8.308131726	1.410075324	5753	802	305	21331	ABHD5,ACAT1,ADK,ADRM1,AES,AGPAT2,AGT,AGXT,AK2,AK6,AKR1A1,AKR1C18,AKR1C20,AKR1C6,ALAD,ALDH8A1,ALDOA,ANG,ANXA4,APOA1,APOA2,APOC1,APRT,ARF4,ASPDH,ASS1,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,C1QBP,CCT5,CCT7,CCT8,CD81,CEBPB,CELA1,CENPX,CERS2,CES2A,CHCHD10,CHCHD2,CHCHD3,CIB1,CLU,CNBP,CNPY2,COA3,CREG1,CST3,CYB5R3,CYC1,CYP2D22,DAD1,DAP,DBI,DDOST,DDRGK1,DDT,DGAT2,DNAJC3,EBP,EDF1,EEF1A1,EEF1D,EIF1,EIF2S1,EIF3F,EIF3H,EIF3I,EIF3K,EIF3M,EIF4E2,EIF4EBP1,EIF5A,EIF6,ELOB,ENO1,ERG28,FABP5,FADS2,FAU,FBP1,FDFT1,FDPS,FOXA3,GAMT,GAPDH,GCLM,GFER,GLMP,GLO1,GLUD1,GNMT,GNPNAT1,GPI1,GSS,GSTM1,GSTM2,GSTM7,GSTP1,GTF2B,GUK1,H2AFJ,H2AFZ,H2-KE6,H3F3A,H3F3B,HAAO,HACD2,HAGH,HINT1,HMGB1,HMGCL,HMGN1,HSBP1,HSD11B1,HSD17B12,HSD17B2,HSD3B3,HSD3B7,HSP90AB1,HSPA8,IDH1,IDH2,IER2,IFI27,IFNAR2,ITM2B,KRTCAP2,KXD1,LDHA,LITAF,MAD2L2,MAP2K2,MGST3,MIF,MLF2,MOCS2,MPC1,MPC2,MPDU1,MRPL12,MRPL14,MRPL15,MRPL17,MRPL20,MRPL21,MRPL22,MRPL30,MRPL34,MRPL35,MRPL43,MRPL55,MRPL58,MRPS10,MRPS12,MRPS14,MRPS15,MRPS16,MRPS17,MRPS18A,MRPS18B,MRPS24,MRPS34,MRPS7,MTHFS,MTHFSL,MYDGF,NACA,NDUFA13,NDUFA7,NDUFAB1,NEDD8,NME2,NR0B2,NT5C,NUDT4,OAZ1,OST4,OSTC,PA2G4,PAIP2,PAM16,PARK7,PCBD1,PCBP1,PEMT,PFDN5,PFN1,PGK1,PGRMC1,PHB,PHB2,PLSCR1,PMVK,POLD4,POLR1D,PPIA,PPP1CA,PRDX2,PRDX3,PRDX5,PSMA6,PSMC2,PSMC4,QDPR,QPRT,RAC1,RBM3,RBP1,RBP4,RHOA,RIDA,RPL10A,RPL10-PS3,RPL11,RPL13,RPL14,RPL15,RPL18,RPL18A,RPL19,RPL21,RPL24,RPL26,RPL27,RPL28,RPL29,RPL3,RPL31,RPL32,RPL34,RPL36,RPL36AL,RPL6,RPL7,RPL8,RPL9-PS6,RPLP0,RPS11,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS24,RPS26,RPS3,RPS3A1,RPS4X,RPS5,RPS6,RPS7,RPSA,RTRAF,SC5D,SCP2,SDF2L1,SELENOK,SEPHS2,SERPINA12,SERPINA1B,SFR1,SH3GLB1,SLC25A39,SLC27A2,SOD2,SPR,SPTSSA,SQSTM1,SRA1,SRM,SSU72,STK16,STOML2,SUMO2,TBRG1,TECR,TM7SF2,TMED2,TMEM14C,TMEM258,TMEM59,TPI1,TSPO,TUFM,UBA52,UBE2I,UBE2L3,UBE2N,UBE2V1,UPB1,UQCC2,XBP1,YBX1,YWHAQ,ZFP706,ZNHIT1
GO:BP	cellular modified amino acid metabolic process	GO:0006575	2.69E-09	8.569574393	4.721406543	169	802	30	21331	AHCY,ASS1,CTSL,GAMT,GCLM,GLO1,GNMT,GPX1,GPX4,GSS,GSTA3,GSTA4,GSTM1,GSTM2,GSTM3,GSTM6,GSTM7,GSTP1,GSTT1,GSTT3,GSTZ1,HAGH,IDH1,MGST1,MTHFS,MTHFSL,PARK7,PEMT,PLSCR1,SOD2
GO:BP	mitochondrial electron transport, NADH to ubiquinone	GO:0006120	3.44E-09	8.463068324	15.19843249	21	802	12	21331	ISCU,NDUFA10,NDUFA7,NDUFA8,NDUFB6,NDUFB8,NDUFB9,NDUFS2,NDUFS8,NDUFV1,NDUFV2,PARK7
GO:BP	proteasomal ubiquitin-independent protein catabolic process	GO:0010499	3.44E-09	8.463068324	15.19843249	21	802	12	21331	PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB5,PSMB6,PSMB8
GO:BP	alcohol metabolic process	GO:0006066	2.14E-08	7.670577452	3.314791656	337	802	42	21331	ADH5,AKR1A1,AKR1C18,AKR1C20,AKR1C6,AKR7A5,ALDH2,ANGPTL3,APOA1,APOA2,APOC1,APOF,CYB5R3,CYP1A2,DGAT2,DHRS4,EBP,FDFT1,FDPS,GALK1,HAO1,HSD3B7,IDH1,IDH2,IDH3B,NPC2,NUDT4,PARK7,PCBD1,PMVK,PON1,QDPR,RBP1,RBP4,RDH7,SC5D,SCP2,SERPINA12,SPR,TM7SF2,TPI1,TTR
GO:BP	response to oxygen-containing compound	GO:1901700	3.78E-08	7.422190748	1.832776796	1814	802	125	21331	ACP5,ACTB,ADH5,ADIPOR1,ADRM1,AGT,AGXT,AHSG,AKR1A1,AKR1C18,AKR1C6,ALAD,ALDH2,ALDOB,ANXA5,APOA2,APOM,APRT,ARPC1B,ARPC2,ASS1,ATP5G1,BSG,CALM1,CCS,CD9,CEBPB,CFL1,CLDN3,CLU,COMT,COX5B,CPB2,CST3,CTSH,CTSL,CXCL1,CXCL13,CYC1,CYP1A2,DGAT2,ECHDC3,EIF4EBP1,EIF6,ESD,FABP1,FAM210B,FBXO6,FIS1,GCLM,GJB2,GNG12,GPI1,GPX1,GPX4,GSS,GSTP1,GSTT1,H2AFZ,HADH,HMGB1,HMGCL,HP,HSD17B2,HSD3B3,HSP90AB1,IGFBP1,IGFBP2,KHK,LAMTOR1,LAMTOR2,LAMTOR4,LCN2,LDHA,LGALS9,LITAF,MGST1,MIF,MPC2,MT1,NDUFA13,NME2,NR0B2,PARK7,PDIA3,PEBP1,PHB,PHB2,PLSCR1,PMVK,PON1,PRDX1,PRDX2,PRDX3,PRDX5,QDPR,RAC1,RANBP1,RAP1A,RARRES2,RBP4,RHOA,RPL10A,RPS2,RPS3,RPS4X,SDF4,SERPINA12,SERPINA1B,SERPINA1D,SERPINA1E,SERPINA3M,SERPINF1,SIGMAR1,SLC10A1,SLC9A3R1,SLPI,SOD2,TDO2,TSPO,TUFM,TXN2,UGT1A1,XBP1,YBX1
GO:BP	small molecule biosynthetic process	GO:0044283	5.58E-09	8.253364544	2.630497931	637	802	63	21331	ACAT1,ADK,AGXT,AKR1A1,AKR1C18,ALDH8A1,ALDOA,APOA1,APOC1,APRT,ASS1,CYB5R3,DGAT2,EBP,EIF6,FABP5,FADS2,FBP1,FDFT1,FDPS,GAMT,GAPDH,GLUD1,GNMT,GPI1,GSTM1,GSTM2,GSTM7,GSTP1,GUK1,H2-KE6,HAAO,HACD2,HINT1,HMGCL,HSD17B12,LDHA,MGST3,MIF,MTHFS,MTHFSL,NDUFAB1,NME2,NT5C,NUDT4,PARK7,PCBD1,PGK1,PMVK,QDPR,RBP1,RBP4,SC5D,SCP2,SEPHS2,SERPINA12,SLC27A2,SPR,TECR,TM7SF2,TPI1,UPB1,VKORC1
GO:BP	organic hydroxy compound metabolic process	GO:1901615	1.74E-08	7.759601914	2.810669022	511	802	54	21331	ADH5,AKR1A1,AKR1C18,AKR1C20,AKR1C6,AKR7A5,ALDH2,ANGPTL3,APOA1,APOA2,APOC1,APOF,COMT,CTSL,CYB5R3,CYP1A2,CYP2D22,DDT,DGAT2,DHRS4,EBP,ERG28,FAH,FDFT1,FDPS,GALK1,GLO1,HAGH,HAO1,HSD3B7,IDH1,IDH2,IDH3B,LDHA,MTCH2,NPC2,NUDT4,PARK7,PCBD1,PMVK,PNKD,PON1,QDPR,RBP1,RBP4,RDH7,SC5D,SCP2,SERPINA12,SLC27A2,SPR,TM7SF2,TPI1,TTR
GO:BP	purine ribonucleotide metabolic process	GO:0009150	1.77E-08	7.752463444	3.277025917	349	802	43	21331	ACAT1,ADK,AK2,AK6,ALDOA,ALDOB,APRT,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,CYC1,DGAT2,EIF6,ENO1,FBP1,GALK1,GAPDH,GLYAT,GPI1,GUK1,HINT1,HMGCL,MIF,MPC1,MPC2,MTCH2,NME2,NUDT4,PGAM1,PGK1,PMVK,RAN,RHOA,SCP2,STOML2,SUCLG1,TDO2,TPI1
GO:BP	nucleotide metabolic process	GO:0009117	4.13E-08	7.384319572	2.884735017	461	802	50	21331	ACAT1,ADK,AK2,AK6,ALDOA,ALDOB,APRT,ASPDH,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,CYC1,DGAT2,EIF6,ENO1,FBP1,GALK1,GAPDH,GLYAT,GPI1,GUK1,HAAO,HINT1,HMGCL,IDH2,MIF,MPC1,MPC2,MTCH2,NAXE,NME2,NT5C,NUDT4,PARK7,PGAM1,PGK1,PMVK,QPRT,RAN,RHOA,SCP2,STOML2,SUCLG1,TDO2,TPI1
GO:BP	negative regulation of proteolysis	GO:0045861	4.59E-08	7.337910476	3.084733398	388	802	45	21331	A2ML1,AHSG,AK6,ALAD,AMBP,ANXA2,BST2,CPB2,CST3,CSTB,CTSZ,DDRGK1,DERL2,F2,FABP1,FETUB,GABARAPL2,GAPDH,GPI1,GPX1,HERPUD1,HRG,HSP90AB1,KNG1,KNG2,PARK7,PEBP1,PRDX3,PRDX5,RPL11,RPS7,SERPINA10,SERPINA12,SERPINA1B,SERPINA1D,SERPINA1E,SERPINA3M,SERPINC1,SERPIND1,SERPINF1,SERPING1,SLPI,SPINT2,TMEM59,VTN
GO:BP	ribonucleotide metabolic process	GO:0009259	5.93E-08	7.227163984	3.159342665	362	802	43	21331	ACAT1,ADK,AK2,AK6,ALDOA,ALDOB,APRT,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,CYC1,DGAT2,EIF6,ENO1,FBP1,GALK1,GAPDH,GLYAT,GPI1,GUK1,HINT1,HMGCL,MIF,MPC1,MPC2,MTCH2,NME2,NUDT4,PGAM1,PGK1,PMVK,RAN,RHOA,SCP2,STOML2,SUCLG1,TDO2,TPI1
GO:BP	steroid metabolic process	GO:0008202	1.17E-07	6.931670882	3.38025338	299	802	38	21331	AFP,AGT,AKR1C18,AKR1C20,AKR1C6,ANGPTL3,APOA1,APOA2,APOC1,APOF,COMT,CYB5R3,CYP1A2,CYP2D22,DGAT2,DHRS4,EBP,ERG28,FDFT1,FDPS,H2-KE6,HSD11B1,HSD17B12,HSD17B2,HSD3B3,HSD3B7,LAMTOR1,NPC2,PMVK,PON1,SC5D,SCP2,SERPINA12,SLC27A2,STUB1,TECR,TM7SF2,TSPO
GO:BP	organophosphate metabolic process	GO:0019637	7.56E-08	7.121643712	2.230924595	918	802	77	21331	ABHD5,ACAT1,ADK,AGPAT2,AK2,AK6,ALDOA,ALDOB,ANGPTL3,APOA1,APOA2,APOC1,APRT,ARF1,ASPDH,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,CD81,CYC1,DBI,DGAT2,EIF6,ENO1,FABP5,FBP1,FDFT1,FDPS,GALK1,GAPDH,GLYAT,GPI1,GUK1,HAAO,HINT1,HMGCL,HSD11B1,IDH1,IDH2,MIF,MOCS2,MPC1,MPC2,MTCH2,NAXE,NME2,NT5C,NUDT4,PARK7,PEMT,PGAM1,PGK1,PGLS,PGM2,PHB2,PLA2G12B,PLSCR1,PMVK,PNPLA7,PON1,QPRT,RAC1,RAN,RHOA,SCP2,SH3GLB1,STOML2,SUCLG1,TALDO1,TDO2,TMEM150A,TPI1
GO:BP	cellular biosynthetic process	GO:0044249	1.29E-07	6.889089807	1.385518413	5663	802	295	21331	ABHD5,ACAT1,ACP5,ADK,ADRM1,AES,AGPAT2,AGT,AGXT,AK2,AK6,AKR1A1,AKR1C18,ALAD,ALDH8A1,ALDOA,ANG,ANXA4,APOA1,APOA2,APOC1,APRT,ARF4,ASPDH,ASS1,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,C1QBP,CCT5,CCT7,CCT8,CD47,CD81,CEBPB,CELA1,CENPX,CERS2,CES2A,CHCHD10,CHCHD2,CHCHD3,CIB1,CLU,CNBP,COA3,CREG1,CST3,CYC1,CYP1A2,CYP2D22,DAD1,DAP,DBI,DDAH1,DDOST,DDRGK1,DDT,DGAT2,DNAJC3,EDF1,EEF1A1,EEF1D,EIF1,EIF2S1,EIF3F,EIF3H,EIF3I,EIF3K,EIF3M,EIF4E2,EIF4EBP1,EIF5A,EIF6,ELOB,ENO1,FABP5,FADS2,FAU,FBP1,FDFT1,FDPS,FOXA3,GAMT,GAPDH,GCLM,GFER,GLMP,GLO1,GLUD1,GNPNAT1,GSS,GSTM1,GSTM2,GSTM7,GSTP1,GTF2B,GUK1,H2AFJ,H2AFZ,H2-KE6,H3F3A,H3F3B,HAAO,HACD2,HAGH,HINT1,HMGB1,HMGCL,HMGN1,HSBP1,HSD17B12,HSD17B2,HSP90AB1,HSPA8,IDH1,IDH2,IER2,IFI27,IFNAR2,ITM2B,KRTCAP2,KXD1,LDHA,LITAF,MAD2L2,MAP2K2,MGST3,MIF,MLF2,MOCS2,MPC1,MPC2,MPDU1,MRPL12,MRPL14,MRPL15,MRPL17,MRPL20,MRPL21,MRPL22,MRPL30,MRPL34,MRPL35,MRPL43,MRPL55,MRPL58,MRPS10,MRPS12,MRPS14,MRPS15,MRPS16,MRPS17,MRPS18A,MRPS18B,MRPS24,MRPS34,MRPS7,MTHFS,MTHFSL,MYDGF,NACA,NDUFA13,NDUFA7,NDUFAB1,NEDD8,NME2,NR0B2,NT5C,NUDT4,OAZ1,OST4,OSTC,PA2G4,PAIP2,PAM16,PARK7,PCBD1,PCBP1,PEMT,PFDN5,PFN1,PGRMC1,PHB,PHB2,PLSCR1,PMVK,POLD4,POLR1D,PPIA,PPP1CA,PRDX2,PRDX3,PRDX5,PSMA6,PSMC2,PSMC4,QDPR,QPRT,RAC1,RBM3,RBP1,RHOA,RIDA,RPL10A,RPL10-PS3,RPL11,RPL13,RPL14,RPL15,RPL18,RPL18A,RPL19,RPL21,RPL24,RPL26,RPL27,RPL28,RPL29,RPL3,RPL31,RPL32,RPL34,RPL36,RPL36AL,RPL6,RPL7,RPL8,RPL9-PS6,RPLP0,RPS11,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS24,RPS26,RPS3,RPS3A1,RPS4X,RPS5,RPS6,RPS7,RPSA,RTRAF,SCP2,SDF2L1,SELENOK,SEPHS2,SERPINA12,SERPINA1B,SFR1,SH3GLB1,SLC25A39,SLC27A2,SOD2,SPR,SPTSSA,SQSTM1,SRA1,SRM,SSU72,STK16,STOML2,SUMO2,TBRG1,TECR,TMED2,TMEM14C,TMEM258,TMEM59,TPI1,TSPO,TUFM,UBA52,UBE2I,UBE2L3,UBE2N,UBE2V1,UPB1,UQCC2,VKORC1,XBP1,YBX1,YWHAQ,ZFP706,ZNHIT1
GO:BP	carbohydrate derivative metabolic process	GO:1901135	8.14E-08	7.089326424	2.186824819	973	802	80	21331	ACAT1,ADK,AHCY,AK2,AK6,AKR1A1,AKR1C18,AKR1C20,AKR1C6,AKR7A5,ALDOA,ALDOB,APCS,APRT,ASGR2,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,CELA1,CES2A,CST3,CTSL,CYC1,DAD1,DDOST,DGAT2,EIF6,ENO1,ERP44,FBP1,FBXO6,GALK1,GAMT,GAPDH,GLYAT,GNMT,GNPNAT1,GPI1,GUK1,HINT1,HMGCL,HSD11B1,ITM2B,KRTCAP2,MIF,MPC1,MPC2,MPDU1,MTCH2,NME2,NT5C,NUDT4,OST4,OSTC,PARK7,PEMT,PGAM1,PGK1,PGLS,PGLYRP2,PGM2,PMVK,RAN,RHOA,SCP2,SDF2L1,SERPINA1B,STOML2,SUCLG1,TALDO1,TDO2,TMEM258,TMEM59,TPI1,UPB1
GO:BP	nucleoside phosphate metabolic process	GO:0006753	8.98E-08	7.046789975	2.823487989	471	802	50	21331	ACAT1,ADK,AK2,AK6,ALDOA,ALDOB,APRT,ASPDH,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,CYC1,DGAT2,EIF6,ENO1,FBP1,GALK1,GAPDH,GLYAT,GPI1,GUK1,HAAO,HINT1,HMGCL,IDH2,MIF,MPC1,MPC2,MTCH2,NAXE,NME2,NT5C,NUDT4,PARK7,PGAM1,PGK1,PMVK,QPRT,RAN,RHOA,SCP2,STOML2,SUCLG1,TDO2,TPI1
GO:BP	ribose phosphate metabolic process	GO:0019693	1.32E-07	6.879611629	3.08270093	371	802	43	21331	ACAT1,ADK,AK2,AK6,ALDOA,ALDOB,APRT,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,CYC1,DGAT2,EIF6,ENO1,FBP1,GALK1,GAPDH,GLYAT,GPI1,GUK1,HINT1,HMGCL,MIF,MPC1,MPC2,MTCH2,NME2,NUDT4,PGAM1,PGK1,PMVK,RAN,RHOA,SCP2,STOML2,SUCLG1,TDO2,TPI1
GO:BP	organic acid catabolic process	GO:0016054	2.43E-07	6.613647795	3.672424587	239	802	33	21331	ACADL,ACADS,ACAT1,AGXT,AHCY,AIG1,AKR1A1,ALDH8A1,DBI,DDAH1,ECH1,ECHDC2,ECHS1,ECI1,ETFA,FABP1,FAH,GCSH,GLUD1,GSTZ1,HAAO,HADH,HAO1,HMGCL,HPD,PHYH,PON1,QDPR,QPRT,SCP2,SLC25A17,SLC27A2,TDO2
GO:BP	carboxylic acid catabolic process	GO:0046395	2.43E-07	6.613647795	3.672424587	239	802	33	21331	ACADL,ACADS,ACAT1,AGXT,AHCY,AIG1,AKR1A1,ALDH8A1,DBI,DDAH1,ECH1,ECHDC2,ECHS1,ECI1,ETFA,FABP1,FAH,GCSH,GLUD1,GSTZ1,HAAO,HADH,HAO1,HMGCL,HPD,PHYH,PON1,QDPR,QPRT,SCP2,SLC25A17,SLC27A2,TDO2
GO:BP	cellular oxidant detoxification	GO:0098869	2.48E-07	6.604711122	5.58542394	100	802	21	21331	APOM,CCS,FABP1,GPX1,GPX4,GSTM7,GSTP1,GSTT1,HP,MGST1,MGST3,PARK7,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,SELENOW,SOD2,TXNDC17
