gene	avg_logFC	p_val_adj	cluster
Nap1l4	0.097531335	9.20E-123	SCT3+0
Tnfrsf12a	0.243054642	1.07E-122	SCT3+0
Spon2	0.087861186	1.39E-122	SCT3+0
Emc3	0.094386289	1.63E-122	SCT3+0
Rps11	-0.191246956	2.90E-122	SCT3+0
Ngf	0.108080504	4.27E-122	SCT3+0
Hmgcs2	0.23055568	4.34E-122	SCT3+0
Vrk3	0.088018779	4.53E-122	SCT3+0
S100a16	0.089931669	4.98E-122	SCT3+0
Rabggta	0.088239056	5.22E-122	SCT3+0
Zfp148	0.079489849	7.26E-122	SCT3+0
Mccc2	0.099973658	8.92E-122	SCT3+0
Actr1b	0.086330192	9.96E-122	SCT3+0
Spr	0.154839112	1.01E-121	SCT3+0
Atic	0.094680716	1.14E-121	SCT3+0
Ptbp1	0.088347194	1.55E-121	SCT3+0
Rplp1	-0.196176886	2.98E-121	SCT3+0
Acd	0.0928491	3.52E-121	SCT3+0
Yars	0.093527542	4.58E-121	SCT3+0
Fbxl6	0.076965733	5.02E-121	SCT3+0
Acat3	0.110080497	5.32E-121	SCT3+0
Krt8	0.396956594	6.12E-121	SCT3+0
Slc25a33	0.097266487	6.44E-121	SCT3+0
Mrpl9	0.101383068	6.70E-121	SCT3+0
Paqr9	0.100264316	7.15E-121	SCT3+0
Atf3	0.961832577	7.87E-121	SCT3+0
Dpp9	0.081257693	7.99E-121	SCT3+0
Samm50	0.144833294	8.38E-121	SCT3+0
Uhrf1bp1l	0.076656542	2.34E-120	SCT3+0
Larp1b	0.081902722	2.74E-120	SCT3+0
Tapbpl	0.082143003	2.75E-120	SCT3+0
Zfand3	0.117935497	2.86E-120	SCT3+0
Cfhr2	0.174709611	3.04E-120	SCT3+0
Rcbtb1	0.078847515	4.04E-120	SCT3+0
Slc30a7	0.090455954	4.30E-120	SCT3+0
Tmem120a	0.153252923	4.47E-120	SCT3+0
Snw1	0.091396245	6.19E-120	SCT3+0
D10Wsu102e	0.092377035	6.59E-120	SCT3+0
Ap2a2	0.081830324	6.85E-120	SCT3+0
Mgrn1	0.081458937	7.23E-120	SCT3+0
Arf3	0.082478157	7.71E-120	SCT3+0
Dld	0.101310125	8.02E-120	SCT3+0
Nrd1	0.088634662	8.20E-120	SCT3+0
Vps37a	0.092093096	8.70E-120	SCT3+0
Sem1	-0.241345672	8.89E-120	SCT3+0
Slc25a3	0.146364554	8.93E-120	SCT3+0
Ndufab1	-0.227373964	9.15E-120	SCT3+0
Hars	0.09335143	1.16E-119	SCT3+0
Gpr180	0.093672304	1.31E-119	SCT3+0
Nck1	0.091058164	1.34E-119	SCT3+0
Pten	0.076820268	1.52E-119	SCT3+0
Nedd4l	0.082641204	1.59E-119	SCT3+0
Chrac1	0.093697171	1.90E-119	SCT3+0
Mcl1	0.074446643	2.07E-119	SCT3+0
Hdhd2	0.093434312	2.25E-119	SCT3+0
F8a	0.087495678	2.69E-119	SCT3+0
St7l	0.089647126	2.88E-119	SCT3+0
Nedd4	0.183369345	3.09E-119	SCT3+0
Gmppa	0.087443047	3.33E-119	SCT3+0
Trappc4	0.121850962	4.11E-119	SCT3+0
Fnbp1l	0.088448114	5.75E-119	SCT3+0
Snrpa	0.095563384	6.48E-119	SCT3+0
Arid4a	0.085208472	8.34E-119	SCT3+0
Rab3ip	0.090681831	8.65E-119	SCT3+0
Slc25a16	0.090588778	1.03E-118	SCT3+0
Tmem160	0.135752465	1.08E-118	SCT3+0
Prpf6	0.085945999	1.10E-118	SCT3+0
Med25	0.085144834	1.16E-118	SCT3+0
Pxmp4	0.090207634	1.24E-118	SCT3+0
Limd1	0.076094809	1.29E-118	SCT3+0
Bnip3l	0.117629642	1.35E-118	SCT3+0
Eif4ebp1	0.2127487	1.40E-118	SCT3+0
Trpc4ap	0.077575743	2.12E-118	SCT3+0
Mvp	0.093418816	2.83E-118	SCT3+0
Ccdc59	0.085583723	3.45E-118	SCT3+0
Stxbp6	0.097087334	3.83E-118	SCT3+0
Nat8f2	0.125671834	4.36E-118	SCT3+0
Tbl1x	0.087759341	4.73E-118	SCT3+0
Rps6	-0.221662918	5.98E-118	SCT3+0
Rfc1	0.083448441	6.33E-118	SCT3+0
Tmem50a	0.176652281	6.96E-118	SCT3+0
Usp14	0.095562309	7.57E-118	SCT3+0
Hamp	0.44237674	9.63E-118	SCT3+0
Tmem256	-0.264440191	9.84E-118	SCT3+0
Ehd1	0.093078712	1.00E-117	SCT3+0
Prmt1	0.092168352	1.05E-117	SCT3+0
Farsb	0.104929562	1.30E-117	SCT3+0
Nop16	0.092155971	1.59E-117	SCT3+0
Ppp5c	0.089807573	1.69E-117	SCT3+0
Tmed1	0.086239352	1.95E-117	SCT3+0
Lman2	0.175879665	2.28E-117	SCT3+0
Tial1	0.093384221	2.84E-117	SCT3+0
Adssl1	0.145253763	2.85E-117	SCT3+0
Ogfr	0.087978899	2.92E-117	SCT3+0
Cmas	0.094460539	3.23E-117	SCT3+0
Cyp3a13	0.106414094	3.52E-117	SCT3+0
Uba2	0.091036068	6.00E-117	SCT3+0
Cyfip1	0.089791577	6.46E-117	SCT3+0
Sec22b	0.11968586	6.77E-117	SCT3+0
Irf7	0.125705907	6.83E-117	SCT3+0
Chd9	0.257530828	6.87E-117	SCT3+0
Igsf5	0.091134606	7.61E-117	SCT3+0
Rab34	0.087023199	8.95E-117	SCT3+0
Nr5a2	0.075772231	9.68E-117	SCT3+0
Mtfp1	0.089828194	1.04E-116	SCT3+0
Grsf1	0.098228829	1.05E-116	SCT3+0
Cflar	0.082197357	1.21E-116	SCT3+0
Nono	0.095726018	1.47E-116	SCT3+0
Bclaf1	0.082863886	1.92E-116	SCT3+0
Ost4	-0.215747754	1.94E-116	SCT3+0
Tm2d2	0.140184592	2.19E-116	SCT3+0
Rtf1	0.083402085	2.22E-116	SCT3+0
Atp6v1h	0.099524832	2.44E-116	SCT3+0
Ankrd11	0.075609772	2.93E-116	SCT3+0
Mars	0.085342202	3.10E-116	SCT3+0
Srsf6	0.090732865	3.13E-116	SCT3+0
Azin1	0.087783398	3.38E-116	SCT3+0
Ncl	0.108319718	3.41E-116	SCT3+0
Tmem106c	0.092041117	3.94E-116	SCT3+0
Ufsp2	0.110482328	4.73E-116	SCT3+0
Cyp2a4	0.411339032	4.79E-116	SCT3+0
Ppif	0.096042055	4.92E-116	SCT3+0
Dgat1	0.081519818	5.46E-116	SCT3+0
Abcc3	0.090602002	5.65E-116	SCT3+0
Tspan9	0.078878775	6.15E-116	SCT3+0
Dhx9	0.087566717	8.66E-116	SCT3+0
Rdx	0.172617597	9.63E-116	SCT3+0
Erlec1	0.092437416	1.01E-115	SCT3+0
Inhbc	0.09260368	1.10E-115	SCT3+0
Bag6	0.079410683	1.23E-115	SCT3+0
Lrrfip1	0.091785157	1.25E-115	SCT3+0
Mphosph10	0.087048612	1.73E-115	SCT3+0
Gm4788	0.181069214	1.92E-115	SCT3+0
Raly	0.093157328	2.55E-115	SCT3+0
Apex1	0.117558244	2.59E-115	SCT3+0
Psmd13	0.162563592	2.66E-115	SCT3+0
Saysd1	0.088837618	2.77E-115	SCT3+0
Abca8b	0.075775393	3.79E-115	SCT3+0
Araf	0.079704808	4.32E-115	SCT3+0
Tfam	0.097198387	5.74E-115	SCT3+0
Pdcd5	-0.238717228	5.90E-115	SCT3+0
Pid1	0.131956361	6.25E-115	SCT3+0
Serpina10	0.181922015	8.80E-115	SCT3+0
Acad8	0.085566624	9.69E-115	SCT3+0
Naglu	0.079215429	1.01E-114	SCT3+0
Ube2e3	0.117321672	1.29E-114	SCT3+0
Tmem11	0.113811914	1.34E-114	SCT3+0
Plin2	0.217458957	1.55E-114	SCT3+0
Sec23a	0.089446061	1.73E-114	SCT3+0
Cyp2c29	0.218347495	1.75E-114	SCT3+0
Azi2	0.091939048	2.27E-114	SCT3+0
Btbd1	0.089442879	2.29E-114	SCT3+0
Myo1e	0.076131992	2.33E-114	SCT3+0
Mup20	0.00056481	2.85E-114	SCT3+0
Ddi2	0.072398798	3.18E-114	SCT3+0
Fbxw2	0.092754769	3.20E-114	SCT3+0
Slc17a3	0.090032868	3.64E-114	SCT3+0
Cops3	0.093535747	3.99E-114	SCT3+0
Fip1l1	0.09116927	4.03E-114	SCT3+0
H2afy	0.087159313	4.30E-114	SCT3+0
Coro1b	0.092350197	4.42E-114	SCT3+0
Sh2d3c	0.080210851	5.49E-114	SCT3+0
Nemf	0.083236033	6.67E-114	SCT3+0
Ndufa5	-0.262871588	7.00E-114	SCT3+0
Cdkn2a	0.117579102	7.36E-114	SCT3+0
Ppan	0.091905313	7.79E-114	SCT3+0
Mphosph8	0.091065964	7.89E-114	SCT3+0
Cdip1	0.086023135	8.08E-114	SCT3+0
Gmds	0.076071994	1.43E-113	SCT3+0
Igbp1	0.080293698	1.92E-113	SCT3+0
Tmem135	0.091408573	2.09E-113	SCT3+0
Etf1	0.09140775	2.50E-113	SCT3+0
Pcnp	0.091224699	2.59E-113	SCT3+0
Mrpl45	0.092535294	2.64E-113	SCT3+0
Sh3d19	0.077865967	2.66E-113	SCT3+0
Kpnb1	0.077118426	2.82E-113	SCT3+0
Ccny	0.087516682	3.19E-113	SCT3+0
Qpct	0.082353399	3.23E-113	SCT3+0
Pgk1	0.187173411	4.10E-113	SCT3+0
Rnf5	0.114762462	4.21E-113	SCT3+0
Fbxo8	0.094459006	4.62E-113	SCT3+0
Ergic3	0.174110021	6.00E-113	SCT3+0
Abhd14a	0.085846522	6.20E-113	SCT3+0
Psmb10	0.099024869	6.44E-113	SCT3+0
Galk1	0.182265162	6.75E-113	SCT3+0
Adrm1	0.189888629	6.85E-113	SCT3+0
Rnpepl1	0.081222572	7.60E-113	SCT3+0
Gorasp2	0.162361092	7.92E-113	SCT3+0
Tap2	0.077745695	8.71E-113	SCT3+0
Crb3	0.085600363	8.83E-113	SCT3+0
Emc9	0.091946572	1.20E-112	SCT3+0
Sgpl1	0.074668014	1.30E-112	SCT3+0
Mat2b	0.090661476	1.56E-112	SCT3+0
Mtif3	0.089853381	1.62E-112	SCT3+0
Gadd45a	0.082636533	1.84E-112	SCT3+0
Abat	0.097537034	1.96E-112	SCT3+0
Spns1	0.074170243	3.09E-112	SCT3+0
Ddx47	0.085721642	3.38E-112	SCT3+0
Dnajc30	0.090160489	3.48E-112	SCT3+0
Pacsin2	0.087481396	3.59E-112	SCT3+0
Gnmt	-0.170534083	3.85E-112	SCT3+0
Stx4a	0.093185279	4.79E-112	SCT3+0
Rpl15	-0.201073697	4.97E-112	SCT3+0
Zfp91	0.083100181	6.19E-112	SCT3+0
Tspan12	0.090470144	7.82E-112	SCT3+0
Rad23a	0.094287769	7.83E-112	SCT3+0
Fgl2	0.081583154	1.16E-111	SCT3+0
Cbr1	-0.299666551	1.17E-111	SCT3+0
H3f3b	0.256502735	1.26E-111	SCT3+0
Cuedc2	0.084590891	1.28E-111	SCT3+0
Nucks1	0.078851151	1.48E-111	SCT3+0
Habp4	0.087183125	1.55E-111	SCT3+0
Nckap1	0.074403925	1.68E-111	SCT3+0
Rela	0.092243429	1.78E-111	SCT3+0
Fez2	0.089002203	1.98E-111	SCT3+0
Cbx3	0.087221922	2.05E-111	SCT3+0
Ccdc86	0.091655199	2.21E-111	SCT3+0
Mier1	0.0804621	3.21E-111	SCT3+0
Tpp2	0.074089583	3.38E-111	SCT3+0
Ddt	-0.188103217	4.37E-111	SCT3+0
Rdh11	0.289556209	4.40E-111	SCT3+0
Josd2	0.083737214	4.76E-111	SCT3+0
Fbxo21	0.080972444	4.88E-111	SCT3+0
Gtpbp4	0.092565376	4.97E-111	SCT3+0
Rapgef4	0.087841516	5.22E-111	SCT3+0
Slc30a6	0.081250221	5.45E-111	SCT3+0
Smim7	0.084278691	6.98E-111	SCT3+0
Vps36	0.088965027	8.32E-111	SCT3+0
Mboat7	0.087655519	8.32E-111	SCT3+0
Nat9	0.089005585	1.31E-110	SCT3+0
Mrps35	0.079447486	1.36E-110	SCT3+0
Hnrnpm	0.090121535	1.39E-110	SCT3+0
Lars	0.084745889	1.39E-110	SCT3+0
Ppp2ca	0.075435492	1.43E-110	SCT3+0
Il17rc	0.08216091	1.84E-110	SCT3+0
Soat2	0.074782125	2.03E-110	SCT3+0
2810004N23Rik	0.082782023	2.60E-110	SCT3+0
Ewsr1	0.092043606	2.72E-110	SCT3+0
Mtfr1	0.091522458	2.77E-110	SCT3+0
Zfp787	0.081318687	4.24E-110	SCT3+0
Asb13	0.084119516	4.28E-110	SCT3+0
Nmt1	0.091144027	4.50E-110	SCT3+0
Pdcd4	0.097572621	4.97E-110	SCT3+0
Cops2	0.096075882	5.03E-110	SCT3+0
Slc17a5	0.075402786	5.78E-110	SCT3+0
Fbxo4	0.089743214	5.79E-110	SCT3+0
Lsr	0.174087171	6.19E-110	SCT3+0
Entpd5	0.097667884	8.16E-110	SCT3+0
Ubl7	0.091755064	9.01E-110	SCT3+0
Gba	0.08288617	9.50E-110	SCT3+0
Cxcl12	0.104667614	9.55E-110	SCT3+0
Ubap2l	0.077295498	1.24E-109	SCT3+0
Prlr	0.117684776	1.36E-109	SCT3+0
Gm17018	0.086772339	1.36E-109	SCT3+0
Psmd9	0.08629575	1.66E-109	SCT3+0
Mpc1	0.140011689	2.06E-109	SCT3+0
Anapc16	0.088004707	3.29E-109	SCT3+0
Acadvl	0.181872439	4.57E-109	SCT3+0
H2-T22	0.183549706	5.16E-109	SCT3+0
Cbr4	0.085784431	5.24E-109	SCT3+0
Acp2	0.081559671	5.74E-109	SCT3+0
Aamp	0.175198509	5.95E-109	SCT3+0
Rps2	0.144223908	6.10E-109	SCT3+0
Utp11	0.087823216	9.48E-109	SCT3+0
Actr2	0.085408896	9.97E-109	SCT3+0
Dusp23	0.092921633	1.04E-108	SCT3+0
Lipa	0.159280142	1.32E-108	SCT3+0
Srsf10	0.082548409	1.95E-108	SCT3+0
Dram2	0.092308598	2.30E-108	SCT3+0
Naa10	0.083712105	2.89E-108	SCT3+0
Pir	0.094188303	3.61E-108	SCT3+0
Tspo	0.184507373	3.93E-108	SCT3+0
Dnajc8	0.089063029	3.98E-108	SCT3+0
Slco2a1	0.0781312	4.36E-108	SCT3+0
Ankrd37	0.095664873	4.48E-108	SCT3+0
Nabp2	0.092578938	4.73E-108	SCT3+0
Ces2c	0.205256885	4.76E-108	SCT3+0
Plrg1	0.086169138	4.92E-108	SCT3+0
Setd5	0.073884258	5.93E-108	SCT3+0
Hsd3b7	0.24724699	5.94E-108	SCT3+0
Ndufaf3	0.079582865	6.04E-108	SCT3+0
Pck1	0.42874583	6.75E-108	SCT3+0
Prkag1	0.082823303	6.80E-108	SCT3+0
Pdlim1	0.088380173	6.93E-108	SCT3+0
Gusb	0.087113694	7.88E-108	SCT3+0
Raf1	0.077841878	8.71E-108	SCT3+0
Psph	0.121782422	1.08E-107	SCT3+0
Nudt21	0.085690493	1.22E-107	SCT3+0
Trip6	0.077317553	1.47E-107	SCT3+0
Pithd1	0.089482953	1.80E-107	SCT3+0
Aldh16a1	0.074646467	1.84E-107	SCT3+0
Trim28	0.073570842	1.85E-107	SCT3+0
Cdc42ep1	0.079672039	2.01E-107	SCT3+0
Cd1d1	0.19036504	2.22E-107	SCT3+0
Mak16	0.089978148	2.40E-107	SCT3+0
Zfyve19	0.077652891	2.48E-107	SCT3+0
Lta4h	0.080943796	2.71E-107	SCT3+0
Casp6	0.087369564	2.81E-107	SCT3+0
Dnajb2	0.084152052	3.07E-107	SCT3+0
Nt5m	0.089663547	3.16E-107	SCT3+0
Napg	0.07986606	3.63E-107	SCT3+0
Ublcp1	0.087635802	4.00E-107	SCT3+0
Ddit3	0.128067258	4.11E-107	SCT3+0
Ppie	0.083736383	4.11E-107	SCT3+0
H2afz	-0.143358853	4.44E-107	SCT3+0
Nsfl1c	0.087362983	4.59E-107	SCT3+0
Pja2	0.083185001	4.67E-107	SCT3+0
Csnk1g3	0.082212229	4.86E-107	SCT3+0
Bfar	0.074976023	5.27E-107	SCT3+0
Lysmd3	0.082655385	5.31E-107	SCT3+0
Nsmce4a	0.089104708	5.87E-107	SCT3+0
Farsa	0.0835887	6.38E-107	SCT3+0
Id2	0.261240516	8.65E-107	SCT3+0
Cast	0.083813265	1.06E-106	SCT3+0
Tnfrsf1a	0.158833578	1.07E-106	SCT3+0
Hfe	0.082402106	1.10E-106	SCT3+0
Manbal	0.087099334	1.14E-106	SCT3+0
Senp6	0.070357708	1.60E-106	SCT3+0
Fgfr1op2	0.076119131	1.61E-106	SCT3+0
Ranbp2	0.067120886	2.18E-106	SCT3+0
Srsf3	0.089261997	2.20E-106	SCT3+0
Dhrs7b	0.074321232	2.46E-106	SCT3+0
Eloa	0.076991903	2.97E-106	SCT3+0
Bok	0.103319447	2.97E-106	SCT3+0
Tmeff2	0.092249532	3.02E-106	SCT3+0
Csn3	0.237314306	3.12E-106	SCT3+0
Qsox1	0.194028728	3.36E-106	SCT3+0
Trmt10c	0.088193846	3.75E-106	SCT3+0
Tpd52	0.089156876	4.01E-106	SCT3+0
Bin1	0.091579448	4.03E-106	SCT3+0
Hook3	0.072496511	4.55E-106	SCT3+0
Slc50a1	0.115214587	6.06E-106	SCT3+0
Maob	0.092809604	6.13E-106	SCT3+0
Ssbp4	0.075475976	6.77E-106	SCT3+0
Dtd2	0.086235002	7.29E-106	SCT3+0
Il1rn	0.207898067	8.00E-106	SCT3+0
Ctu2	0.07604569	1.07E-105	SCT3+0
Timmdc1	0.079923834	1.16E-105	SCT3+0
Snrpb	0.143991824	1.38E-105	SCT3+0
Rbbp7	0.096573842	2.69E-105	SCT3+0
Bet1l	0.074081489	3.10E-105	SCT3+0
Cyb561	0.074043612	3.11E-105	SCT3+0
Pkp2	0.075194069	4.10E-105	SCT3+0
Abhd17c	0.075816431	4.30E-105	SCT3+0
Glod4	0.079871838	4.54E-105	SCT3+0
Ddx3y	0.080304849	9.41E-105	SCT3+0
Cops4	0.084896034	1.02E-104	SCT3+0
Actg1	0.29594399	1.62E-104	SCT3+0
Acad11	0.080724904	1.98E-104	SCT3+0
Plaa	0.08185441	1.98E-104	SCT3+0
Desi1	0.089467851	2.28E-104	SCT3+0
Gfpt1	0.081803364	2.70E-104	SCT3+0
Eif2d	0.079912818	3.22E-104	SCT3+0
Hhex	0.081592252	3.43E-104	SCT3+0
Cyp2d9	0.292821271	4.11E-104	SCT3+0
Tlk1	0.073527774	4.51E-104	SCT3+0
Rnf141	0.084425481	4.88E-104	SCT3+0
Blvrb	-0.306847881	5.83E-104	SCT3+0
Ppara	0.074869687	6.36E-104	SCT3+0
Ppp4r3a	0.075316949	6.39E-104	SCT3+0
Slc17a2	0.080760236	6.98E-104	SCT3+0
Lrrfip2	0.093360272	7.81E-104	SCT3+0
Apopt1	0.075760108	8.21E-104	SCT3+0
Wdr77	0.081306197	8.47E-104	SCT3+0
Ccser2	0.077418973	9.93E-104	SCT3+0
Aldoc	0.082763503	1.11E-103	SCT3+0
Pgd	0.104868578	1.36E-103	SCT3+0
Rhog	0.083356538	1.58E-103	SCT3+0
Borcs6	0.075620739	1.59E-103	SCT3+0
Mrto4	0.084844595	1.63E-103	SCT3+0
Plod1	0.071030411	2.15E-103	SCT3+0
Slc26a1	0.077745871	2.73E-103	SCT3+0
Clic4	0.072162099	2.74E-103	SCT3+0
Pes1	0.082950811	3.02E-103	SCT3+0
Abhd6	0.080943622	3.41E-103	SCT3+0
Gtf2a2	0.07853952	3.59E-103	SCT3+0
Mkln1	0.084950818	3.73E-103	SCT3+0
Tlcd1	0.076087549	4.28E-103	SCT3+0
Ralbp1	0.077509888	4.44E-103	SCT3+0
Sharpin	0.085325947	4.47E-103	SCT3+0
4921524J17Rik	0.081020207	4.94E-103	SCT3+0
Polr1c	0.080546212	5.60E-103	SCT3+0
Lasp1	0.082197637	9.75E-103	SCT3+0
Acnat2	0.134635514	1.03E-102	SCT3+0
Iigp1	0.21173001	1.14E-102	SCT3+0
Elf1	0.069765211	1.17E-102	SCT3+0
Mrpl11	0.07624444	1.26E-102	SCT3+0
Tmbim1	0.083304576	1.34E-102	SCT3+0
Gbf1	0.071773156	1.82E-102	SCT3+0
Abcb7	0.07322557	2.17E-102	SCT3+0
Snrnp40	0.080759532	2.43E-102	SCT3+0
Bloc1s4	0.08319248	2.80E-102	SCT3+0
Mcfd2	0.208691043	3.02E-102	SCT3+0
Knop1	0.082503494	4.16E-102	SCT3+0
Irak2	0.07612907	4.72E-102	SCT3+0
Elf2	0.071965367	4.92E-102	SCT3+0
Gpat4	0.06934874	5.74E-102	SCT3+0
Afmid	0.099731023	6.43E-102	SCT3+0
Zdhhc4	0.080955196	7.14E-102	SCT3+0
Alg3	0.08373011	7.39E-102	SCT3+0
Slc25a5	-0.206186732	7.48E-102	SCT3+0
Tmem5	0.081691348	1.02E-101	SCT3+0
Stbd1	0.085574219	1.03E-101	SCT3+0
Eif3l	0.107199524	1.08E-101	SCT3+0
Ephx1	0.174851653	1.22E-101	SCT3+0
Dhx32	0.07746866	1.33E-101	SCT3+0
Dazap1	0.086222098	1.60E-101	SCT3+0
Gsdmd	0.0874445	1.69E-101	SCT3+0
Rnf130	0.085933656	2.13E-101	SCT3+0
Yeats4	0.082653855	2.35E-101	SCT3+0
Gpr108	0.0733418	2.98E-101	SCT3+0
Pcbp1	0.154808309	3.22E-101	SCT3+0
Grcc10	0.156697616	3.85E-101	SCT3+0
Abce1	0.082915916	4.18E-101	SCT3+0
Ghr	0.084743593	4.35E-101	SCT3+0
Timm8b	-0.270054673	4.66E-101	SCT3+0
Aspg	0.08974295	5.04E-101	SCT3+0
Tprkb	0.082978928	5.65E-101	SCT3+0
Man2b2	0.071513759	5.94E-101	SCT3+0
Impdh2	0.079810739	6.27E-101	SCT3+0
Tra2b	0.080512256	7.66E-101	SCT3+0
Uckl1	0.073247319	8.27E-101	SCT3+0
Yae1d1	0.083464693	8.67E-101	SCT3+0
Usp4	0.072657348	9.04E-101	SCT3+0
Zcchc17	0.080662727	9.15E-101	SCT3+0
Baat	0.103380712	1.10E-100	SCT3+0
Pigs	0.070888817	1.29E-100	SCT3+0
Pitpnb	0.081581307	1.35E-100	SCT3+0
Yy1	0.073291023	1.74E-100	SCT3+0
B4gat1	0.069276288	2.07E-100	SCT3+0
Smpd2	0.071007927	2.21E-100	SCT3+0
Fbxo3	0.083466373	2.24E-100	SCT3+0
Palld	0.080403215	2.33E-100	SCT3+0
Eef2kmt	0.078947157	2.93E-100	SCT3+0
Adss	0.086050749	3.13E-100	SCT3+0
Colec12	0.07882429	3.29E-100	SCT3+0
Alas1	0.102442298	3.51E-100	SCT3+0
Ehhadh	0.136359768	3.89E-100	SCT3+0
Anapc5	0.081473702	4.07E-100	SCT3+0
2010111I01Rik	0.074330849	4.69E-100	SCT3+0
Emc4	0.133964992	4.72E-100	SCT3+0
St3gal4	0.099365883	5.97E-100	SCT3+0
Mdh2	0.178728288	6.49E-100	SCT3+0
Usp10	0.075998723	6.93E-100	SCT3+0
Pon3	0.08260375	8.43E-100	SCT3+0
Clk4	0.071835682	1.15E-99	SCT3+0
Adtrp	0.153318445	1.27E-99	SCT3+0
Nfkbil1	0.070275325	1.40E-99	SCT3+0
Parp3	0.076250148	1.43E-99	SCT3+0
Tmem30b	0.080993147	1.52E-99	SCT3+0
Mocs1	0.07882429	1.64E-99	SCT3+0
Necap1	0.071895808	1.65E-99	SCT3+0
Armcx3	0.072730991	1.79E-99	SCT3+0
Nr4a1	0.087683598	1.81E-99	SCT3+0
Spp1	1.460666595	1.83E-99	SCT3+0
Slc30a10	0.079682875	1.95E-99	SCT3+0
Tiparp	0.075512385	1.95E-99	SCT3+0
Nudt16l1	0.079297529	2.61E-99	SCT3+0
Yaf2	0.082086862	3.02E-99	SCT3+0
Spsb2	0.079472876	3.04E-99	SCT3+0
Mpnd	0.076949601	3.72E-99	SCT3+0
Echdc3	0.153127497	3.73E-99	SCT3+0
Snx24	0.083327769	3.92E-99	SCT3+0
Cers2	0.156165987	4.11E-99	SCT3+0
Ddx42	0.0739659	4.54E-99	SCT3+0
Gpbp1	0.075845607	5.24E-99	SCT3+0
Gls2	0.187311352	5.69E-99	SCT3+0
Cgrrf1	0.079280816	5.75E-99	SCT3+0
Akr1a1	0.149379443	6.52E-99	SCT3+0
Xbp1	0.199310797	9.10E-99	SCT3+0
Jmjd8	0.075087913	1.15E-98	SCT3+0
Ttc32	0.077809622	1.20E-98	SCT3+0
Nap1l1	0.101831171	1.25E-98	SCT3+0
Rars	0.084022651	1.31E-98	SCT3+0
Rnf121	0.077018749	1.60E-98	SCT3+0
Leprot	0.076046323	2.37E-98	SCT3+0
Atp6v1b2	0.073493267	2.50E-98	SCT3+0
Trmt6	0.076426398	2.71E-98	SCT3+0
Dctn6	0.083756452	2.80E-98	SCT3+0
Blmh	0.081736206	3.29E-98	SCT3+0
Kars	0.070259254	4.64E-98	SCT3+0
Tceal9	0.127513961	5.18E-98	SCT3+0
Spag7	0.084758682	5.32E-98	SCT3+0
Unc93b1	0.072568264	5.86E-98	SCT3+0
Syap1	0.076900806	6.19E-98	SCT3+0
Hif1a	0.076672081	7.11E-98	SCT3+0
Rnaseh2a	0.078463235	7.54E-98	SCT3+0
Atp1b3	0.076126758	8.63E-98	SCT3+0
Elavl1	0.07892822	1.15E-97	SCT3+0
Rack1	0.189501217	1.23E-97	SCT3+0
Ppip5k2	0.066240747	1.51E-97	SCT3+0
Gnpat	0.068727796	1.61E-97	SCT3+0
Pdlim7	0.08597407	1.64E-97	SCT3+0
Tufm	0.155578972	2.14E-97	SCT3+0
Chordc1	0.081732511	2.64E-97	SCT3+0
Apmap	0.07367619	2.81E-97	SCT3+0
Taok3	0.067506062	2.86E-97	SCT3+0
Nipa2	0.074118275	3.05E-97	SCT3+0
Cd320	0.069616466	3.26E-97	SCT3+0
Selenom	0.098557645	3.49E-97	SCT3+0
Mpp6	0.083351088	4.20E-97	SCT3+0
Micu2	0.082970452	4.24E-97	SCT3+0
Sdc2	0.104890358	4.37E-97	SCT3+0
Nus1	0.075304469	4.39E-97	SCT3+0
Rnf139	0.074074454	5.06E-97	SCT3+0
Sac3d1	0.072586148	7.52E-97	SCT3+0
Metap2	0.09641252	7.65E-97	SCT3+0
Eif1ad	0.080443677	9.19E-97	SCT3+0
Hnrnpc	0.077838938	9.57E-97	SCT3+0
Pnkp	0.074470438	1.33E-96	SCT3+0
Ppp1r3b	0.069650152	1.37E-96	SCT3+0
Trappc5	0.062058984	1.37E-96	SCT3+0
Scamp5	0.080442641	1.39E-96	SCT3+0
Abhd12	0.073798031	1.47E-96	SCT3+0
Lmbrd2	0.069502018	1.51E-96	SCT3+0
Vat1	0.073221195	1.55E-96	SCT3+0
Gadd45g	0.529204747	1.59E-96	SCT3+0
Uqcc2	-0.267196608	1.62E-96	SCT3+0
Rap1b	0.080402544	1.69E-96	SCT3+0
1700021F05Rik	0.077326812	1.93E-96	SCT3+0
Lsm12	0.088449817	1.94E-96	SCT3+0
2310033P09Rik	0.072261868	2.72E-96	SCT3+0
Asna1	0.077440423	4.22E-96	SCT3+0
Afg3l1	0.075354133	4.43E-96	SCT3+0
Hpd	-0.125523154	4.62E-96	SCT3+0
Setd6	0.075800104	5.59E-96	SCT3+0
Ibtk	0.069344697	7.33E-96	SCT3+0
Slc22a27	0.069651654	7.36E-96	SCT3+0
B2m	0.139544128	7.39E-96	SCT3+0
F11r	0.182817737	8.17E-96	SCT3+0
Rbm8a	0.070904242	8.93E-96	SCT3+0
Pccb	0.073680298	9.78E-96	SCT3+0
Ist1	0.079264343	1.14E-95	SCT3+0
Nab1	0.071834837	1.52E-95	SCT3+0
Ssrp1	0.077100085	1.63E-95	SCT3+0
Dedd	0.075122815	1.72E-95	SCT3+0
