ID	human_organism	human_gene	mouse_organism	mouse_gene
9917	human	STX17	"mouse, laboratory"	Stx17
9921	human	C14orf119	"mouse, laboratory"	1700123O20Rik
9922	human	PEX26	"mouse, laboratory"	Pex26
9924	human	PID1	"mouse, laboratory"	Pid1
9926	human	BANK1	"mouse, laboratory"	Bank1
9927	human	TMEM255A	"mouse, laboratory"	Tmem255a
9928	human	C17orf80	"mouse, laboratory"	D11Wsu47e
9929	human	USP47	"mouse, laboratory"	Usp47
9930	human	SLC35A5	"mouse, laboratory"	Slc35a5
9931	human	MOCOS	"mouse, laboratory"	Mocos
9933	human	CUEDC1	"mouse, laboratory"	Cuedc1
9936	human	CDCA4	"mouse, laboratory"	Cdca4
9938	human	PLEKHB2	"mouse, laboratory"	Plekhb2
9941	human	MRPL20	"mouse, laboratory"	Mrpl20
9942	human	GPATCH2L	"mouse, laboratory"	Gpatch2l
9944	human	ZCWPW1	"mouse, laboratory"	Zcwpw1
9948	human	PDPR	"mouse, laboratory"	Pdpr
9949	human	KANSL3	"mouse, laboratory"	Kansl3
9951	human	TMEM248	"mouse, laboratory"	Tmem248
9952	human	DET1	"mouse, laboratory"	Det1
9954	human	MREG	"mouse, laboratory"	Mreg
9957	human	FEZF2	"mouse, laboratory"	Fezf2
9958	human	TAPBPL	"mouse, laboratory"	Tapbpl
9960	human	ARGLU1	"mouse, laboratory"	Arglu1
9962	human	RADX	"mouse, laboratory"	Radx
9963	human	CCDC186	"mouse, laboratory"	Ccdc186
9966	human	TMEM51	"mouse, laboratory"	Tmem51
9967	human	YEATS2	"mouse, laboratory"	Yeats2
9968	human	NTAQ1	"mouse, laboratory"	Wdyhv1
9970	human	PACS1	"mouse, laboratory"	Pacs1
9971	human	FRMD4A	"mouse, laboratory"	Frmd4a
9972	human	WDR70	"mouse, laboratory"	Wdr70
9973	human	DMAC2	"mouse, laboratory"	Dmac2
9974	human	ATG2B	"mouse, laboratory"	Atg2b
9976	human	GPATCH2	"mouse, laboratory"	Gpatch2
9984	human	ARHGAP17	"mouse, laboratory"	Arhgap17
9985	human	TMEM39A	"mouse, laboratory"	Tmem39a
9986	human	PRPF38B	"mouse, laboratory"	Prpf38b
9987	human	FANCL	"mouse, laboratory"	Fancl
9988	human	AKIRIN2	"mouse, laboratory"	Akirin2
9991	human	TRIM68	"mouse, laboratory"	Trim68
9992	human	ODAD2	"mouse, laboratory"	Odad2
9994	human	SRBD1	"mouse, laboratory"	Srbd1
9995	human	WRAP53	"mouse, laboratory"	Wrap53
9996	human	ZNF358	"mouse, laboratory"	Zfp358
10001	human	HAUS2	"mouse, laboratory"	Haus2
10003	human	EFHC1	"mouse, laboratory"	Efhc1
10004	human	LRRC8D	"mouse, laboratory"	Lrrc8d
10005	human	THAP1	"mouse, laboratory"	Thap1
10006	human	ZDHHC4	"mouse, laboratory"	Zdhhc4
10008	human	MTPAP	"mouse, laboratory"	Mtpap
10009	human	DOK4	"mouse, laboratory"	Dok4
10010	human	TMEM38B	"mouse, laboratory"	Tmem38b
10011	human	LMBR1L	"mouse, laboratory"	Lmbr1l
10015	human	ARMC1	"mouse, laboratory"	Armc1
10017	human	ARHGEF10L	"mouse, laboratory"	Arhgef10l
10018	human	TMEM33	"mouse, laboratory"	Tmem33
10019	human	CEP55	"mouse, laboratory"	Cep55
10021	human	MSL2	"mouse, laboratory"	Msl2
10024	human	PRMT6	"mouse, laboratory"	Prmt6
10026	human	DNAAF2	"mouse, laboratory"	Dnaaf2
10027	human	CEP72	"mouse, laboratory"	Cep72
10028	human	MRPS10	"mouse, laboratory"	Mrps10
10029	human	INTS10	"mouse, laboratory"	Ints10
10030	human	KLHL11	"mouse, laboratory"	Klhl11
10033	human	MRM3	"mouse, laboratory"	Mrm3
10034	human	LINS1	"mouse, laboratory"	Lins1
10036	human	RNF220	"mouse, laboratory"	Rnf220
10037	human	DZANK1	"mouse, laboratory"	Dzank1
10039	human	SLC25A36	"mouse, laboratory"	Slc25a36
10043	human	INTS13	"mouse, laboratory"	Ints13
10044	human	PBRM1	"mouse, laboratory"	Pbrm1
10046	human	APPL2	"mouse, laboratory"	Appl2
10047	human	MAP1S	"mouse, laboratory"	Map1s
10048	human	LGI2	"mouse, laboratory"	Lgi2
10051	human	ATF7IP	"mouse, laboratory"	Atf7ip
10054	human	FAM222B	"mouse, laboratory"	Fam222b
10055	human	SBNO1	"mouse, laboratory"	Sbno1
10056	human	ARL8B	"mouse, laboratory"	Arl8b
10058	human	C1orf112	"mouse, laboratory"	BC055324
10059	human	ATAD3A	"mouse, laboratory"	Atad3a
10061	human	RCBTB1	"mouse, laboratory"	Rcbtb1
10062	human	P3H2	"mouse, laboratory"	P3h2
10066	human	EXD2	"mouse, laboratory"	Exd2
10068	human	TBC1D13	"mouse, laboratory"	Tbc1d13
10069	human	KLHDC8A	"mouse, laboratory"	Klhdc8a
10070	human	CKAP2	"mouse, laboratory"	Ckap2
10071	human	TRIM62	"mouse, laboratory"	Trim62
10072	human	ETNK2	"mouse, laboratory"	Etnk2
10073	human	PNMA8A	"mouse, laboratory"	Pnmal1
10075	human	EDEM2	"mouse, laboratory"	Edem2
10076	human	MOB1A	"mouse, laboratory"	Mob1a
10077	human	PARVA	"mouse, laboratory"	Parva
10078	human	CHFR	"mouse, laboratory"	Chfr
10079	human	SMU1	"mouse, laboratory"	Smu1
10080	human	UBA6	"mouse, laboratory"	Uba6
10081	human	AP5M1	"mouse, laboratory"	Ap5m1
10084	human	STEAP3	"mouse, laboratory"	Steap3
10085	human	CNDP2	"mouse, laboratory"	Cndp2
10086	human	CCAR1	"mouse, laboratory"	Ccar1
10089	human	KIRREL1	"mouse, laboratory"	Kirrel
10094	human	NEIL3	"mouse, laboratory"	Neil3
10096	human	INTS9	"mouse, laboratory"	Ints9
10097	human	PACC1	"mouse, laboratory"	Pacc1
10098	human	WDR12	"mouse, laboratory"	Wdr12
10099	human	PCMTD2	"mouse, laboratory"	Pcmtd2
10100	human	TTC17	"mouse, laboratory"	Ttc17
10102	human	ASXL2	"mouse, laboratory"	Asxl2
10103	human	INAVA	"mouse, laboratory"	Inava
10104	human	MRGBP	"mouse, laboratory"	Mrgbp
10105	human	TMEM143	"mouse, laboratory"	Tmem143
10106	human	TRAPPC14	"mouse, laboratory"	Trappc14
10107	human	TMEM19	"mouse, laboratory"	Tmem19
10108	human	PSPC1	"mouse, laboratory"	Pspc1
10109	human	NUDT15	"mouse, laboratory"	Nudt15
10110	human	TMEM100	"mouse, laboratory"	Tmem100
10112	human	PHF10	"mouse, laboratory"	Phf10
10114	human	ZNF654	"mouse, laboratory"	Zfp654
10116	human	TMEM140	"mouse, laboratory"	Tmem140
10117	human	NGLY1	"mouse, laboratory"	Ngly1
10118	human	MCOLN3	"mouse, laboratory"	Mcoln3
10119	human	UBE2W	"mouse, laboratory"	Ube2w
10120	human	RBM41	"mouse, laboratory"	Rbm41
10122	human	EXOC2	"mouse, laboratory"	Exoc2
10123	human	PRR11	"mouse, laboratory"	Prr11
10124	human	TMEM40	"mouse, laboratory"	Tmem40
10126	human	TBC1D23	"mouse, laboratory"	Tbc1d23
10127	human	BRF2	"mouse, laboratory"	Brf2
10130	human	TBC1D19	"mouse, laboratory"	Tbc1d19
10131	human	CCDC91	"mouse, laboratory"	Ccdc91
10132	human	RNF121	"mouse, laboratory"	Rnf121
10133	human	BRIX1	"mouse, laboratory"	Brix1
10136	human	OLAH	"mouse, laboratory"	Olah
10137	human	C9orf72	"mouse, laboratory"	C9orf72
10139	human	ZNF444	"mouse, laboratory"	Zfp444
10142	human	CPPED1	"mouse, laboratory"	Cpped1
10144	human	CMTR2	"mouse, laboratory"	Cmtr2
10146	human	TMA16	"mouse, laboratory"	Tma16
10147	human	MIS18BP1	"mouse, laboratory"	Mis18bp1
10148	human	TMEM74B	"mouse, laboratory"	Tmem74b
10149	human	C5orf22	"mouse, laboratory"	6030458C11Rik
10151	human	UFSP2	"mouse, laboratory"	Ufsp2
10153	human	AGPAT5	"mouse, laboratory"	Agpat5
10154	human	RSBN1	"mouse, laboratory"	Rsbn1
10155	human	BLOC1S4	"mouse, laboratory"	Bloc1s4
10156	human	LMBRD1	"mouse, laboratory"	Lmbrd1
10157	human	DEPDC1B	"mouse, laboratory"	Depdc1b
10160	human	LRIF1	"mouse, laboratory"	Lrif1
10161	human	SYNJ2BP	"mouse, laboratory"	Synj2bp
10164	human	DDX28	"mouse, laboratory"	Ddx28
10165	human	SHFL	"mouse, laboratory"	Shfl
10168	human	PCID2	"mouse, laboratory"	Pcid2
10173	human	ABHD10	"mouse, laboratory"	Abhd10
10174	human	METTL2A	"mouse, laboratory"	Mettl2
10176	human	SCN3B	"mouse, laboratory"	Scn3b
10178	human	DCP1A	"mouse, laboratory"	Dcp1a
10179	human	ADAP2	"mouse, laboratory"	Adap2
10180	human	COPRS	"mouse, laboratory"	Coprs
10182	human	LAPTM4B	"mouse, laboratory"	Laptm4b
10183	human	LRP2BP	"mouse, laboratory"	Lrp2bp
10184	human	HJURP	"mouse, laboratory"	Hjurp
10185	human	ST7	"mouse, laboratory"	St7
10187	human	FOXJ2	"mouse, laboratory"	Foxj2
10188	human	ADCY10	"mouse, laboratory"	Adcy10
10189	human	SPATA7	"mouse, laboratory"	Spata7
10190	human	TBC1D2	"mouse, laboratory"	Tbc1d2
10194	human	TSNAXIP1	"mouse, laboratory"	Tsnaxip1
10195	human	DOK5	"mouse, laboratory"	Dok5
10196	human	KDM3A	"mouse, laboratory"	Kdm3a
10198	human	PAG1	"mouse, laboratory"	Pag1
10199	human	DCAF6	"mouse, laboratory"	Dcaf6
10200	human	SELENOS	"mouse, laboratory"	Selenos
10202	human	CAND1	"mouse, laboratory"	Cand1
10204	human	CENPJ	"mouse, laboratory"	Cenpj
10206	human	EAPP	"mouse, laboratory"	Eapp
10207	human	NUSAP1	"mouse, laboratory"	Nusap1
10208	human	EAF2	"mouse, laboratory"	Eaf2
10210	human	BRK1	"mouse, laboratory"	Brk1
10211	human	ITFG2	"mouse, laboratory"	Itfg2
10212	human	CISD1	"mouse, laboratory"	Cisd1
10213	human	PLGRKT	"mouse, laboratory"	Plgrkt
10214	human	USE1	"mouse, laboratory"	Use1
10217	human	DENND10	"mouse, laboratory"	Dennd10
10219	human	KIZ	"mouse, laboratory"	Kiz
10220	human	ACTR10	"mouse, laboratory"	Actr10
10222	human	TMEM126B	"mouse, laboratory"	Tmem126b
10224	human	TMEM176A	"mouse, laboratory"	Tmem176a
10225	human	ASH1L	"mouse, laboratory"	Ash1l
10226	human	LGR4	"mouse, laboratory"	Lgr4
10229	human	LRRC59	"mouse, laboratory"	Lrrc59
10231	human	NCBP3	"mouse, laboratory"	Ncbp3
10233	human	GABRQ	"mouse, laboratory"	Gabrq
10234	human	GPALPP1	"mouse, laboratory"	Gpalpp1
10235	human	USP49	"mouse, laboratory"	Usp49
10236	human	AP1AR	"mouse, laboratory"	Ap1ar
10237	human	STRADB	"mouse, laboratory"	Stradb
10238	human	CAMK2N1	"mouse, laboratory"	Camk2n1
10239	human	PARL	"mouse, laboratory"	Parl
10240	human	ETNK1	"mouse, laboratory"	Etnk1
10243	human	TREM1	"mouse, laboratory"	Trem1
10246	human	MACROH2A2	"mouse, laboratory"	Macroh2a2
10250	human	GPRC5D	"mouse, laboratory"	Gprc5d
10251	human	LENEP	"mouse, laboratory"	Lenep
10253	human	MYNN	"mouse, laboratory"	Mynn
10254	human	CYTL1	"mouse, laboratory"	Cytl1
10255	human	ZNF395	"mouse, laboratory"	Zfp395
10257	human	DISC1	"mouse, laboratory"	Disc1
10260	human	SMPD3	"mouse, laboratory"	Smpd3
10261	human	VPS33B	"mouse, laboratory"	Vps33b
10263	human	ABCA5	"mouse, laboratory"	Abca5
10264	human	THSD1	"mouse, laboratory"	Thsd1
10265	human	RNF114	"mouse, laboratory"	Rnf114
10266	human	ZC4H2	"mouse, laboratory"	Zc4h2
10268	human	CEMIP	"mouse, laboratory"	Cemip
10270	human	FAM114A2	"mouse, laboratory"	Fam114a2
10272	human	ELAC1	"mouse, laboratory"	Elac1
10273	human	NXT2	"mouse, laboratory"	Nxt2
10274	human	PRDM5	"mouse, laboratory"	Prdm5
10275	human	TRIM36	"mouse, laboratory"	Trim36
10276	human	ADARB2	"mouse, laboratory"	Adarb2
10278	human	DHTKD1	"mouse, laboratory"	Dhtkd1
10279	human	PIP4P1	"mouse, laboratory"	Pip4p1
10280	human	ELMOD1	"mouse, laboratory"	Elmod1
10282	human	RCC2	"mouse, laboratory"	Rcc2
10284	human	CEP41	"mouse, laboratory"	Cep41
10285	human	CDCA7L	"mouse, laboratory"	Cdca7l
10286	human	IL20	"mouse, laboratory"	Il20
10287	human	IL17RB	"mouse, laboratory"	Il17rb
10289	human	GBP2	"mouse, laboratory"	Gbp2
10290	human	RP9	"mouse, laboratory"	Rp9
10291	human	ELP5	"mouse, laboratory"	Elp5
10292	human	IGFBPL1	"mouse, laboratory"	Igfbpl1
10293	human	BET1L	"mouse, laboratory"	Bet1l
10296	human	RASSF5	"mouse, laboratory"	Rassf5
10297	human	ZNF326	"mouse, laboratory"	Zfp326
10300	human	CLDN6	"mouse, laboratory"	Cldn6
10301	human	SYT6	"mouse, laboratory"	Syt6
10302	human	SYT8	"mouse, laboratory"	Syt8
10303	human	SYT10	"mouse, laboratory"	Syt10
10304	human	PTF1A	"mouse, laboratory"	Ptf1a
10308	human	APOM	"mouse, laboratory"	Apom
10309	human	SH2B2	"mouse, laboratory"	Sh2b2
10310	human	ASAH2	"mouse, laboratory"	Asah2
10311	human	MAGIX	"mouse, laboratory"	Magix
10312	human	AJAP1	"mouse, laboratory"	Ajap1
10313	human	SULF2	"mouse, laboratory"	Sulf2
10314	human	NDUFA12	"mouse, laboratory"	Ndufa12
10315	human	RAB5IF	"mouse, laboratory"	Rab5if
10317	human	KLHL7	"mouse, laboratory"	Klhl7
10318	human	MKKS	"mouse, laboratory"	Mkks
10321	human	PDYN	"mouse, laboratory"	Pdyn
10324	human	SRCIN1	"mouse, laboratory"	Srcin1
10325	human	FUT2	"mouse, laboratory"	Fut2
10327	human	CAMKK1	"mouse, laboratory"	Camkk1
10328	human	PDZRN3	"mouse, laboratory"	Pdzrn3
10338	human	PCDHB6	"mouse, laboratory"	Pcdhb13
10340	human	CLN8	"mouse, laboratory"	Cln8
10343	human	NANS	"mouse, laboratory"	Nans
10344	human	ERRFI1	"mouse, laboratory"	Errfi1
10345	human	UTS2R	"mouse, laboratory"	Uts2r
10346	human	SPACA9	"mouse, laboratory"	Spaca9
10350	human	RIPPLY3	"mouse, laboratory"	Ripply3
10352	human	TREM2	"mouse, laboratory"	Trem2
10354	human	GPR173	"mouse, laboratory"	Gpr173
10355	human	GPR85	"mouse, laboratory"	Gpr85
10356	human	UNC93A	"mouse, laboratory"	Unc93a2
10357	human	TERF2IP	"mouse, laboratory"	Terf2ip
10358	human	DNAJC10	"mouse, laboratory"	Dnajc10
10360	human	SH3TC1	"mouse, laboratory"	Sh3tc1
10361	human	GFOD2	"mouse, laboratory"	Gfod2
10362	human	SASH3	"mouse, laboratory"	Sash3
10363	human	KCTD5	"mouse, laboratory"	Kctd5
10365	human	MOV10	"mouse, laboratory"	Mov10
10367	human	CCSER2	"mouse, laboratory"	Ccser2
10368	human	RETREG1	"mouse, laboratory"	Retreg1
10369	human	ETAA1	"mouse, laboratory"	Etaa1
10371	human	MIOS	"mouse, laboratory"	Mios
10372	human	ZFAND6	"mouse, laboratory"	Zfand6
10373	human	ARMCX6	"mouse, laboratory"	Armcx6
10374	human	MIEF1	"mouse, laboratory"	Mief1
10375	human	TOLLIP	"mouse, laboratory"	Tollip
10377	human	PLEKHA5	"mouse, laboratory"	Plekha5
10378	human	PIMREG	"mouse, laboratory"	Pimreg
10379	human	KRT24	"mouse, laboratory"	Krt24
10380	human	TBC1D16	"mouse, laboratory"	Tbc1d16
10381	human	TMX3	"mouse, laboratory"	Tmx3
10382	human	PRMT7	"mouse, laboratory"	Prmt7
10384	human	TMCO1	"mouse, laboratory"	Tmco1
10387	human	DHX29	"mouse, laboratory"	Dhx29
10389	human	PCDH18	"mouse, laboratory"	Pcdh18
10393	human	CCDC93	"mouse, laboratory"	Ccdc93
10396	human	CCHCR1	"mouse, laboratory"	Cchcr1
10397	human	ROBO4	"mouse, laboratory"	Robo4
10398	human	NDUFB11	"mouse, laboratory"	Ndufb11
10400	human	DDIT4	"mouse, laboratory"	Ddit4
10403	human	MTMR12	"mouse, laboratory"	Mtmr12
10404	human	RNF186	"mouse, laboratory"	Rnf186
10406	human	SDK2	"mouse, laboratory"	Sdk2
10409	human	SGTB	"mouse, laboratory"	Sgtb
10410	human	SPATA6	"mouse, laboratory"	Spata6
10411	human	DLL4	"mouse, laboratory"	Dll4
10413	human	CCNJ	"mouse, laboratory"	Ccnj
10414	human	VSIG10	"mouse, laboratory"	Vsig10
10416	human	MAP10	"mouse, laboratory"	Map10
10417	human	PLEKHA3	"mouse, laboratory"	Plekha3
10420	human	GTPBP2	"mouse, laboratory"	Gtpbp2
10421	human	INKA2	"mouse, laboratory"	Inka2
10425	human	MYDGF	"mouse, laboratory"	Mydgf
10426	human	SMG9	"mouse, laboratory"	Smg9
10428	human	FGF21	"mouse, laboratory"	Fgf21
10430	human	UBFD1	"mouse, laboratory"	Ubfd1
10431	human	KLHL4	"mouse, laboratory"	Klhl4
10433	human	INA	"mouse, laboratory"	Ina
10439	human	CXCR2	"mouse, laboratory"	Cxcr2
10443	human	CD86	"mouse, laboratory"	Cd86
10447	human	TMEM37	"mouse, laboratory"	Tmem37
10448	human	PPT2	"mouse, laboratory"	Ppt2
10449	human	STK19	"mouse, laboratory"	Stk19
10453	human	IL36RN	"mouse, laboratory"	Il36rn
10454	human	CRTAM	"mouse, laboratory"	Crtam
10460	human	OR13J1	"mouse, laboratory"	Olfr71
10462	human	LGALS12	"mouse, laboratory"	Lgals12
10466	human	MSGN1	"mouse, laboratory"	Msgn1
10472	human	MTFR1L	"mouse, laboratory"	Mtfr1l
10473	human	HOXD8	"mouse, laboratory"	Hoxd8
10474	human	CITED4	"mouse, laboratory"	Cited4
10475	human	FSCN3	"mouse, laboratory"	Fscn3
10476	human	SCAMP4	"mouse, laboratory"	Scamp4
10477	human	KIAA1217	"mouse, laboratory"	Etl4
10478	human	GPCPD1	"mouse, laboratory"	Gpcpd1
10480	human	TAS2R1	"mouse, laboratory"	Tas2r119
10481	human	SUSD2	"mouse, laboratory"	Susd2
10482	human	BTNL2	"mouse, laboratory"	Btnl2
10483	human	SERTAD4	"mouse, laboratory"	Sertad4
10485	human	CPXM1	"mouse, laboratory"	Cpxm1
10486	human	IRGC	"mouse, laboratory"	Irgc1
10487	human	GKN1	"mouse, laboratory"	Gkn1
10489	human	PARD3	"mouse, laboratory"	Pard3
10491	human	ABCB9	"mouse, laboratory"	Abcb9
10494	human	SINHCAF	"mouse, laboratory"	Sinhcaf
10495	human	SOCS5	"mouse, laboratory"	Socs5
10496	human	STMN4	"mouse, laboratory"	Stmn4
10499	human	RASSF1	"mouse, laboratory"	Rassf1
10501	human	METTL3	"mouse, laboratory"	Mettl3
10504	human	ASAH1	"mouse, laboratory"	Asah1
10505	human	PDCD10	"mouse, laboratory"	Pdcd10
10506	human	PDCD5	"mouse, laboratory"	Pdcd5-ps
10509	human	P3H1	"mouse, laboratory"	P3h1
10512	human	ANAPC7	"mouse, laboratory"	Anapc7
10513	human	ADRM1	"mouse, laboratory"	Adrm1
10515	human	GKAP1	"mouse, laboratory"	Gkap1
10516	human	DIPK1B	"mouse, laboratory"	Dipk1b
10518	human	NOA1	"mouse, laboratory"	Noa1
10519	human	LTB4R2	"mouse, laboratory"	Ltb4r2
10520	human	TRPV5	"mouse, laboratory"	Trpv5
10522	human	EIF4ENIF1	"mouse, laboratory"	Eif4enif1
10524	human	RPRM	"mouse, laboratory"	Rprm
10525	human	SLC10A3	"mouse, laboratory"	Slc10a3
10527	human	FGF20	"mouse, laboratory"	Fgf20
10529	human	FKBPL	"mouse, laboratory"	Fkbpl
10531	human	CHST7	"mouse, laboratory"	Chst7
10532	human	DIABLO	"mouse, laboratory"	Diablo
10533	human	SEC16A	"mouse, laboratory"	Sec16a
10534	human	CLDND1	"mouse, laboratory"	Cldnd1
10539	human	LAMTOR3	"mouse, laboratory"	Lamtor3
10541	human	CCNL1	"mouse, laboratory"	Ccnl1
10543	human	MAST1	"mouse, laboratory"	Mast1
10544	human	MGST1	"mouse, laboratory"	Mgst1
10548	human	C1QTNF1	"mouse, laboratory"	C1qtnf1
10550	human	ARL10	"mouse, laboratory"	Arl10
10551	human	SON	"mouse, laboratory"	Son
10555	human	TEX101	"mouse, laboratory"	Tex101
10558	human	PHAX	"mouse, laboratory"	Phax
10560	human	MED8	"mouse, laboratory"	Med8
10562	human	GLMP	"mouse, laboratory"	Glmp
10565	human	GFRA4	"mouse, laboratory"	Gfra4
10567	human	PRRC2A	"mouse, laboratory"	Prrc2a
10568	human	ANKRD2	"mouse, laboratory"	Ankrd2
10570	human	IGDCC4	"mouse, laboratory"	Igdcc4
10571	human	ASCL3	"mouse, laboratory"	Ascl3
10572	human	BARHL2	"mouse, laboratory"	Barhl2
10576	human	RNASE4	"mouse, laboratory"	Rnase4
10578	human	PLVAP	"mouse, laboratory"	Plvap
10581	human	SREK1	"mouse, laboratory"	Srek1
10582	human	LEPROT	"mouse, laboratory"	Leprot
10583	human	OR1N1	"mouse, laboratory"	Olfr351
10584	human	FSTL5	"mouse, laboratory"	Fstl5
10585	human	ZC3HAV1	"mouse, laboratory"	Zc3hav1
10586	human	UGGT1	"mouse, laboratory"	Uggt1
10588	human	TM9SF3	"mouse, laboratory"	Tm9sf3
10589	human	SLAMF8	"mouse, laboratory"	Slamf8
10590	human	TCIM	"mouse, laboratory"	Tcim
10591	human	AGPAT3	"mouse, laboratory"	Agpat3
10592	human	WRNIP1	"mouse, laboratory"	Wrnip1
10594	human	TMEM167B	"mouse, laboratory"	Tmem167b
10595	human	SH3GLB2	"mouse, laboratory"	Sh3glb2
10596	human	IFT46	"mouse, laboratory"	Ift46
10597	human	EMC7	"mouse, laboratory"	Emc7
10598	human	GPR137	"mouse, laboratory"	Gpr137
10599	human	C1GALT1	"mouse, laboratory"	C1galt1
10600	human	OTOR	"mouse, laboratory"	Otor
10602	human	SEMA3G	"mouse, laboratory"	Sema3g
10603	human	MCCC1	"mouse, laboratory"	Mccc1
10604	human	NCLN	"mouse, laboratory"	Ncln
10605	human	SPPL2B	"mouse, laboratory"	Sppl2b
10606	human	FEM1C	"mouse, laboratory"	Fem1c
10608	human	PMEPA1	"mouse, laboratory"	Pmepa1
10609	human	ARNTL2	"mouse, laboratory"	Arntl2
10612	human	ENY2	"mouse, laboratory"	Eny2
10613	human	OLFML3	"mouse, laboratory"	Olfml3
10615	human	YAE1	"mouse, laboratory"	Yae1d1
10620	human	C5orf15	"mouse, laboratory"	9530068E07Rik
10622	human	NT5M	"mouse, laboratory"	Nt5m
10623	human	MEPE	"mouse, laboratory"	Mepe
10624	human	OTUD7B	"mouse, laboratory"	Otud7b
10625	human	SLC6A20	"mouse, laboratory"	Slc6a20a
10626	human	RGMA	"mouse, laboratory"	Rgma
10627	human	PARP6	"mouse, laboratory"	Parp6
10628	human	RNPEP	"mouse, laboratory"	Rnpep
10632	human	ADPRM	"mouse, laboratory"	Adprm
10633	human	DTWD1	"mouse, laboratory"	Dtwd1
10634	human	BBX	"mouse, laboratory"	Bbx
10638	human	TOMM22	"mouse, laboratory"	Tomm22
10641	human	CTNNBIP1	"mouse, laboratory"	Ctnnbip1
10642	human	SCAND1	"mouse, laboratory"	Scand1
10644	human	ARHGAP31	"mouse, laboratory"	Arhgap31
10647	human	GMEB1	"mouse, laboratory"	Gmeb1
10648	human	NSMF	"mouse, laboratory"	Nsmf
10649	human	CCL28	"mouse, laboratory"	Ccl28
10650	human	TSPAN32	"mouse, laboratory"	Tspan32
10651	human	INSM2	"mouse, laboratory"	Insm2
10652	human	OR11H4	"mouse, laboratory"	Olfr749
10656	human	CLDN9	"mouse, laboratory"	Cldn9
10658	human	CIAPIN1	"mouse, laboratory"	Ciapin1
10659	human	VPS35L	"mouse, laboratory"	Vps35l
10661	human	PAPPA2	"mouse, laboratory"	Pappa2
10662	human	ANKMY2	"mouse, laboratory"	Ankmy2
10663	human	DOLPP1	"mouse, laboratory"	Dolpp1
10664	human	ANKH	"mouse, laboratory"	Ank
10665	human	SLC12A5	"mouse, laboratory"	Slc12a5
10666	human	RALGAPB	"mouse, laboratory"	Ralgapb
10667	human	ZMIZ1	"mouse, laboratory"	Zmiz1
10669	human	SLC24A2	"mouse, laboratory"	Slc24a2
10670	human	NKIRAS1	"mouse, laboratory"	Nkiras1
10673	human	CNNM1	"mouse, laboratory"	Cnnm1
10676	human	PCNP	"mouse, laboratory"	Pcnp
10678	human	PITHD1	"mouse, laboratory"	Pithd1
10679	human	RPGRIP1	"mouse, laboratory"	Rpgrip1
10680	human	PARP11	"mouse, laboratory"	Parp11
10681	human	UTP3	"mouse, laboratory"	Utp3
10683	human	AVEN	"mouse, laboratory"	Aven
10684	human	SLC22A17	"mouse, laboratory"	Slc22a17
10685	human	C12orf4	"mouse, laboratory"	D6Wsu163e
10687	human	PNPLA2	"mouse, laboratory"	Pnpla2
10688	human	CYSLTR2	"mouse, laboratory"	Cysltr2
10689	human	NAT14	"mouse, laboratory"	Nat14
10695	human	GOPC	"mouse, laboratory"	Gopc
10696	human	LPAR5	"mouse, laboratory"	Lpar5
10698	human	PCDH9	"mouse, laboratory"	Pcdh9
10699	human	CD248	"mouse, laboratory"	Cd248
10700	human	PLXDC1	"mouse, laboratory"	Plxdc1
10702	human	DDX24	"mouse, laboratory"	Ddx24
10703	human	RETN	"mouse, laboratory"	Retn
10705	human	LDAF1	"mouse, laboratory"	Tmem159
10706	human	SCYL3	"mouse, laboratory"	Scyl3
10707	human	LYRM1	"mouse, laboratory"	Lyrm1
10708	human	SMIM8	"mouse, laboratory"	Smim8
10709	human	LYZL6	"mouse, laboratory"	Lyzl6
10710	human	SLURP1	"mouse, laboratory"	Slurp1
10711	human	SLC44A2	"mouse, laboratory"	Slc44a2
10712	human	SMURF1	"mouse, laboratory"	Smurf1
10713	human	PHTF2	"mouse, laboratory"	Phtf2
10714	human	JPH2	"mouse, laboratory"	Jph2
10715	human	GJC2	"mouse, laboratory"	Gjc2
10716	human	SALL4	"mouse, laboratory"	Sall4
10717	human	ASPHD2	"mouse, laboratory"	Asphd2
10719	human	NAV1	"mouse, laboratory"	Nav1
10720	human	KIAA1191	"mouse, laboratory"	4833439L19Rik
10721	human	FAM219B	"mouse, laboratory"	Fam219b
10722	human	NIPAL3	"mouse, laboratory"	Nipal3
10723	human	SELENON	"mouse, laboratory"	Selenon
10724	human	ADGRG6	"mouse, laboratory"	Adgrg6
10725	human	SPRYD7	"mouse, laboratory"	Spryd7
10726	human	THAP11	"mouse, laboratory"	Thap11
10728	human	LYRM2	"mouse, laboratory"	Lyrm2
10730	human	ISL2	"mouse, laboratory"	Isl2
10731	human	ZNF276	"mouse, laboratory"	Zfp276
10733	human	XPO4	"mouse, laboratory"	Xpo4
10735	human	RETNLB	"mouse, laboratory"	Retnlb
10740	human	PBXIP1	"mouse, laboratory"	Pbxip1
10741	human	OSM	"mouse, laboratory"	Osm
10743	human	RTN4	"mouse, laboratory"	Rtn4
10744	human	MCOLN1	"mouse, laboratory"	Mcoln1
10745	human	KAT14	"mouse, laboratory"	Kat14
10746	human	AMHR2	"mouse, laboratory"	Amhr2
10748	human	CMPK2	"mouse, laboratory"	Cmpk2
10753	human	MARCHF7	"mouse, laboratory"	Marchf7
10754	human	AS3MT	"mouse, laboratory"	As3mt
